id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/11/value,assist,qualifier/19/id,qualifier/19/qualifierId
2442455935,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-08-06T12:40:13.212Z,2022-08-06T13:27:47Z,3686995577,194,52t6t7cdsr0fjs9ukmwo9y7rp,3686893297,59,"1, 28, 6, 4, 31, 3, 24, 19, 45, 27, 8, 5, 9, 11, 13, 17, 23, 32, 37, 40",3686893303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686893293,30,"8l1mv5qd9vwade754v3l8epjp, 52t6t7cdsr0fjs9ukmwo9y7rp, cl6720rdjeubt0bc3su0qg3qh, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, 87jamhsc8ps9kh5432u36kjc9, 254i1zsifi2er9rvuxgi9katx, 24vavcwn4hco5je9kdu9ciwgl, 5xhjvappzv6swoof5qpi0yj9, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, 1ywfkwrcysdlvkt859q00kt7t, jd6r9r6qks5t795uvt8x3g0l, 5pnfmmq8b8jxmp1qnf82d8out, f0x3pa532agezdjdzcsp94l49, 7424gvk9hiq5up61dj181y66t, emtrl7rrhp3ybsibf1f89kyj9, dadiwuzf33969g3808sdd9brp, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy",3686995579,197,16256,3686893295,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686893299,130,12,3686893301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442457145,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-08-06T12:42:24.805Z,2022-08-06T13:27:56Z,3686899263,59,"1, 16, 21, 34, 5, 20, 27, 8, 7, 14, 11, 2, 6, 18, 19, 22, 31, 36, 40, 44",3686899267,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686899259,30,"1sjt0nj0232gu88x50c3d16nd, drv9wksjusdgp1np315rokzit, 2ebiw2w6d76sttjh8n8871kgl, ce2pidh4dpd1ccozn2lm3qtw5, 1zo6iikznwkd2vuhqykt7jw7p, djpsc1fvcnrh61c071t00gmad, 6hgj78mr8wy2i5izf8x10ij11, 9j1fd0mz39tl1h5che3f357md, 6yc09eth94qsachf595dyx6fp, 5cw4n6kdaa7imeyaiuo2pnq39, 18b0ti0bsq68842kgbczsbgmh, 7wm8whndx19gcpqxtw9safljp, 5ir834cntiq4qhlw8dqi6rowl, cfdgq8thcoghlh5d0s0pzb1sl, a7x5shoc3g4ne9has4hys20ut, avp82zop4q55b2z62tww92311, 6mijfayg3juwbk0u95h9gd8x6, 5uro3xukpb1lsnwepj06lgzit, 6ufkq71qh9wrfyaez5yi94e09, 9ae74f9dlbqo92m4geu9v8c4q",3686995913,197,11913,3686899261,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686899271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686899265,130,4,3686899269,194,2ebiw2w6d76sttjh8n8871kgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442475977,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-08-06T13:30:13.483Z,2022-08-06T13:30:13Z,3687000941,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442475987,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-08-06T13:30:13.483Z,2022-08-06T18:38:41Z,3687000971,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476047,3,1,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,50.1,50,2022-08-06T13:30:13.571Z,2022-08-06T18:58:58Z,3687001299,140,33.7,3687001301,141,47.2,3687001305,213,3.3,3687001303,212,17.3,3687001297,56,Back,3688862165,178,,3687001307,279,S,,,,6hgj78mr8wy2i5izf8x10ij11,K. Boateng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476051,4,1,1,0,2,f0w62l8zql3tukxsy8fqwp72x,0,35,47.5,2022-08-06T13:30:16.423Z,2022-08-06T18:59:14Z,3687001327,155,,3688862765,178,,3687001333,141,24.7,3687001337,213,5.9,3687001329,56,Center,3687001335,212,42.4,3687001331,140,72.6,3687001339,1,,djpsc1fvcnrh61c071t00gmad,M. Kempf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476053,3,1,1,0,6,a8d2gb2nag8fy0itbuxmcibh2,0,24.2,85.7,2022-08-06T13:30:19.581Z,2022-08-06T18:59:20Z,3687001351,212,22.0,3688863027,388,,3687001349,141,61.5,3687001341,3,,3687001345,56,Back,3687001353,213,5.4,3687001347,140,38.1,,,,3g9riero16s160evc28u3q3u1,Diogo Leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476061,5,1,1,0,8,f0w62l8zql3tukxsy8fqwp72x,0,67.2,41.5,2022-08-06T13:30:22.102Z,2022-08-06T18:59:32Z,3687001393,213,0.6,3687001385,56,Center,3687001389,141,42.2,3687001433,236,,3687001439,233,4,3687001449,286,,3688863443,178,,3687001387,140,67.8,ce2pidh4dpd1ccozn2lm3qtw5,I. Šunjić,3687001391,212,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476067,4,74,1,0,8,a8d2gb2nag8fy0itbuxmcibh2,1,31.8,64.7,2022-08-06T13:30:22.143Z,2022-08-06T18:59:35Z,3687001419,56,Back,3687001421,285,,3688863583,178,,3687001453,233,5,,,,,,,,,,,,,5xhjvappzv6swoof5qpi0yj9,J. Siebatcheu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476087,5,12,1,0,10,a8d2gb2nag8fy0itbuxmcibh2,1,7.6,62.1,2022-08-06T13:30:24.388Z,2022-08-06T18:59:57Z,3688864471,389,,3687001509,140,11.7,3687001513,212,32.9,3687001507,56,Back,3687001511,141,14.2,3687001515,213,4.8,,,,,,,3g9riero16s160evc28u3q3u1,Diogo Leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
