id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/14/value,qualifier/10/value,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/16/value
2544317219,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-05-06T12:41:37.470Z,2023-05-06T13:47:08Z,4254133815,59,"40, 10, 3, 19, 6, 23, 27, 13, 7, 16, 9, 2, 8, 11, 20, 25, 30, 38, 45, 48",4254133813,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4254133811,30,"840353qq4b6ufh0hhm9o0n45x, 3er9krmf0k6dhv6f9ltztfend, egmcpa7j5clzga5m0zvg2f105, 3j2pv0methgc8k8rtqbi079p1, tedxo29s8xx0a71z6sidw7v9, bs6f5ag1f47ropxefrybtaktl, b6woton2db3w4rm67vu69buy2, 4kolmisdpprx0wrahisadl5n9, 1ic5mnwhm510mptrxz04zmtm2, 4zrut521fzw9fddqt74pnl756, avk9yje6h4nndg3cufnbu2imt, 5arng6g4ietx2jwgcd2kpqdpl, bfdtduknquzhr2br7ahlgvvo4, d9jj0525pm3nu9vqewtpo2rpx, d8h5ge9ust20o7us968acnsnp, 19i0qsgzkuzg3b19zogzh7o16, 5q3ft0wiy6lsy937j7nw6msq1, 6xjbcik3a56d0vqy4vrq5eokp, 1ie7ml2v6772ek2u8q7wl1awa, 8b40ap862z6ynvmgah0vjces5",4254133819,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254133817,130,13,4254332665,197,16596,4254133821,194,tedxo29s8xx0a71z6sidw7v9,4254133823,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544327039,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-05-06T12:51:05.658Z,2023-05-06T13:31:55Z,4254184339,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4254326951,197,16257,4254184347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254344047,194,1vv29mash2uijx542ssjk666t,4254184341,59,"1, 18, 26, 5, 31, 3, 20, 19, 27, 17, 8, 2, 11, 13, 23, 25, 28, 37, 40, 45",4254184343,130,12,4254184337,30,"8l1mv5qd9vwade754v3l8epjp, 9kxuwgequrilkom3ru6sdxall, 40rzvcdss138e6futx3bht3o5, 1ywfkwrcysdlvkt859q00kt7t, cab22ojcuhdzdwmbtl20n8i51, 87jamhsc8ps9kh5432u36kjc9, a2l72iohmbq6rjr3rzrsvnwt1, 24vavcwn4hco5je9kdu9ciwgl, cywgibmici8hwp1ad1nhk3ufp, 7424gvk9hiq5up61dj181y66t, 1vv29mash2uijx542ssjk666t, 9qzxygb9hyzag1szans0k2jth, 5pnfmmq8b8jxmp1qnf82d8out, f0x3pa532agezdjdzcsp94l49, emtrl7rrhp3ybsibf1f89kyj9, d3xe46be1ajvxzxzboiaoy385, 52t6t7cdsr0fjs9ukmwo9y7rp, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy, 5xhjvappzv6swoof5qpi0yj9",4254184345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357953,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-05-06T13:30:58.050Z,2023-05-06T22:10:36Z,4254340603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357931,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-05-06T13:30:58.050Z,2023-05-06T13:30:58Z,4254340497,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357991,3,1,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,50.1,50,2023-05-06T13:30:58.077Z,2023-05-07T05:50:17Z,4254340797,279,S,4254340787,56,Center,4254340795,213,5.5,4254340789,140,53.4,4254340791,141,44.6,4254340793,212,5.0,4257368381,178,,,,,1vv29mash2uijx542ssjk666t,R. Khedira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544358023,4,1,1,0,2,a8d2gb2nag8fy0itbuxmcibh2,1,52.7,36.9,2023-05-06T13:31:00.566Z,2023-05-07T05:50:23Z,4254340911,141,40.6,4254340913,212,16.8,4254340907,56,Back,4257368507,178,,4254340915,213,3.0,4254340909,140,36.9,,,,,,,9kxuwgequrilkom3ru6sdxall,J. Juranović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544358053,5,1,1,0,5,a8d2gb2nag8fy0itbuxmcibh2,0,33,43.9,2023-05-06T13:31:03.551Z,2023-05-07T05:50:25Z,4254341061,1,,4254341049,155,,4254341057,212,50.2,4254341053,140,70.9,4254341051,56,Left,4257368549,178,,4254341059,213,0.7,4254341055,141,88.8,87jamhsc8ps9kh5432u36kjc9,P. Jaeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544358057,3,44,1,0,8,ex3psl8e3ajeypwjy4xfltpx6,1,26.4,14,2023-05-06T13:31:06.771Z,2023-05-07T08:00:22Z,4254341083,285,,4254341081,56,Back,4254341101,233,6,,,,,,,,,,,,,,,,3er9krmf0k6dhv6f9ltztfend,A. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544358055,6,44,1,0,8,a8d2gb2nag8fy0itbuxmcibh2,0,73.6,86,2023-05-06T13:31:06.772Z,2023-05-07T05:50:28Z,4254341075,56,Left,4254341077,286,,4254341121,233,3,,,,,,,,,,,,,,,,7424gvk9hiq5up61dj181y66t,K. Behrens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544358069,4,1,1,0,8,ex3psl8e3ajeypwjy4xfltpx6,1,22.4,11.6,2023-05-06T13:31:06.810Z,2023-05-07T08:00:22Z,4254341147,56,Back,4254341149,140,28.3,4254341155,213,1.1,4254341153,212,14.1,4254341151,141,30.3,4257368971,178,,4254341145,3,,,,,3er9krmf0k6dhv6f9ltztfend,A. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
