id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2499109269,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-01-21T13:34:36.570Z,2023-01-21T13:34:36Z,3987069003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987069009,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987069001,130,4,3987068999,59,"1, 20, 6, 27, 3, 5, 22, 31, 23, 39, 16, 2, 4, 7, 12, 29, 32, 33, 38, 40",3987068997,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987069007,197,8139,3987068995,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, acxwc7xxrtyssiy390t859kgl, fr9ac60188vlmtbrcddhxii1, dodddfi0l5i36vlgbaybhzeqy, 6384gzzxuxs6pvmrn8qx4d7u1, d2ykrr75737c8bzlwhjj90vkl, eswxx8pxqyuj7rnpvqawpej1l, aplc9mad75h1k90o3qla9c7l6, b7cso5zljdvzfila9zd4fz4ve, 2mwe6l0eu1tisri3eu26fx8x6, 7e7w34imugzsufvytjxytupd5, 3es8fg7y59lckypu11i68q6s5, 53ozrqkupvt2iyi2xg0swf7px, bjhgmcai5irlexe7oa1g0e5sl, 4sd2zs6d5cd4d9n3oo54lglat, b8if5dg0k9prjik99aiutewh5, en0a6a574x1yvnk8kdxwub949, 2dxsntw3djezptdjqzu0oxi7e",3987069005,194,acxwc7xxrtyssiy390t859kgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499111287,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-01-21T13:38:34.736Z,2023-01-21T14:28:20Z,3987080301,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987080309,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987080307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987080305,130,8,3987240425,197,16250,3987080303,59,"26, 25, 30, 27, 28, 5, 42, 8, 38, 11, 29, 1, 3, 7, 9, 14, 17, 18, 23, 33",3987093549,194,b7ve7k983eaewnupejiow3jdh,3987080299,30,"920yurg08gqayxwc80q9f8ixh, d36na8jr6xcc8eronhy8mcz1m, b7ve7k983eaewnupejiow3jdh, ejnh215cji6xou661kiwcc91x, 84mp3eqt1ckw107hwxpby9cd1, e8dpcth2x1y0zbaovljbgk5hx, 7o11dzx2cccrslutrjl16ik89, f5ln82l8q7gvouj3zhsp5t4gl, 7c6034wb3zsuq9nhxxiahiuol, mugwhiw6mwgjf5797wlnjzdh, arjwwth6yazptr851wu2u6e0a, 3r2j2j3v6kgmauw5yv9j3x1hx, 6o2v57d92t1mejod24gmufcut, r4grdzsip637zvi2uu3nl979, bsyv3fmihshve4jcr11qmtmfp, 7at6knpizbafid4br861pi6zt, 2jk8zu0m0tf7if0pyrkbo82xh, 3w8uk04gxlm4tj4hmsc3msmvp, bh5gxk1kd65fnph0s6kgxt8q2, 2es4ydlcwwasm6mu7rmey5r3e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141201,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-01-21T14:30:11.983Z,2023-01-22T00:55:43Z,3987244997,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141229,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-01-21T14:30:11.983Z,2023-01-21T14:30:13Z,3987245109,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141251,3,1,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,50,50,2023-01-21T14:30:12.003Z,2023-01-22T05:56:55Z,3987245231,279,S,3987245217,140,24.5,3987245221,141,50.4,3989417771,178,,3987245225,212,26.8,3987245209,56,Back,3987245227,213,3.1,,,,acxwc7xxrtyssiy390t859kgl,M. Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141293,4,1,1,0,3,a8l3w3n0j99qjlsxj3jnmgkz1,0,26.1,49.5,2023-01-21T14:30:15.913Z,2023-01-22T05:57:03Z,3987245507,212,58.6,3987245505,141,0.0,3989417869,178,,3987245509,213,5.7,3987245501,56,Right,3987245499,155,,3987245511,1,,3987245503,140,71.1,bfpax581lm91ebz4xgz40a191,K. Casteels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141367,3,5,1,0,9,6k5zscdm9ufw0tguvzyjlp5hq,1,30.9,101.6,2023-01-21T14:30:20.999Z,2023-01-22T05:57:21Z,3987245935,347,,3987245933,56,Back,3987245949,233,5,,,,,,,,,,,,,,,,arjwwth6yazptr851wu2u6e0a,Jeong Woo-Yeong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141295,5,5,1,0,9,a8l3w3n0j99qjlsxj3jnmgkz1,0,69.1,-1.6,2023-01-21T14:30:20.999Z,2023-01-22T05:57:22Z,3987245515,347,,3987245513,56,Right,3987245973,233,3,,,,,,,,,,,,,,,,bfpax581lm91ebz4xgz40a191,K. Casteels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141387,4,1,1,0,16,6k5zscdm9ufw0tguvzyjlp5hq,1,32.2,100,2023-01-21T14:30:28.314Z,2023-01-22T05:57:28Z,3987246071,213,5.4,3987246063,56,Back,3987246067,141,93.0,3987246065,140,37.1,3987246061,107,,3987246069,212,7.7,,,,,,,b7ve7k983eaewnupejiow3jdh,C. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141425,5,1,1,0,17,6k5zscdm9ufw0tguvzyjlp5hq,0,36.9,92,2023-01-21T14:30:29.662Z,2023-01-22T05:57:34Z,3987246267,1,,3987246257,141,64.8,3987246249,157,,3989418161,178,,3987246251,56,Center,3987246259,212,35.3,3987246253,140,65.5,3987246263,213,5.7,arjwwth6yazptr851wu2u6e0a,Jeong Woo-Yeong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
