id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2476368005,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-10-23T14:51:49.176Z,2022-10-23T15:41:08Z,3867154601,194,9xl238e13utd2ondzqi51ka1h,3867149985,59,"13, 23, 2, 41, 4, 27, 6, 30, 24, 9, 11, 1, 7, 8, 15, 17, 19, 20, 29, 40",3867149987,130,18,3867149983,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3867149989,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867348161,197,8110,3867149981,30,"dvo2f7d0yosn404wsrsgeprdh, 2rsdnuf5kuu8kxybsjq7ogbje, 8kydif03gk6apce8xwl9w3ht5, w2jovd0ta6to004lvlri5gtm, 4fvtwbl1hrxgs9lg957rxladx, f3xm12deg7xf3g2n3yk11npat, dgysidzshgxqm3jegaihwi5wq, 9taxidttdt94nmvc3mqhqq0ut, 7lohomjw8xbl5eymcqhrtytw5, 9xl238e13utd2ondzqi51ka1h, 6b7p3ncup75mpop91n0u1mw2d, 8td0ccul6gf7r5benk1pxqrx1, aahyom322jdc6f21960ycuzth, 8n0dskalmx94ofiq6jewa22tx, dpybx98sqm09bqcsuah1zj7px, 58jjd14yvf4d6tvqcz4xo3a7e, at2rbigl1d8bsjw2u6lhfcatx, 1n0y675l767w55pipq5lgj1zp, 5qc0owkwmgk74qy13ft3kpg5, 8czesxhh2bedy0ukqb95rk82d",3867149991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476368775,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-10-23T14:52:42.117Z,2022-10-23T15:21:18Z,3867154057,130,15,3867154055,59,"1, 16, 21, 29, 3, 20, 14, 8, 19, 18, 40, 2, 7, 10, 11, 12, 17, 23, 31, 34",3867154063,194,2ebiw2w6d76sttjh8n8871kgl,3867290561,197,11911,3867154059,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867154065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867154053,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3867154049,30,"1sjt0nj0232gu88x50c3d16nd, drv9wksjusdgp1np315rokzit, 2ebiw2w6d76sttjh8n8871kgl, eg9xhi6wfp1duf01pcsn8vfmd, c2bhdypnqifsl8eiovtfdmyg9, djpsc1fvcnrh61c071t00gmad, 5cw4n6kdaa7imeyaiuo2pnq39, 9j1fd0mz39tl1h5che3f357md, a7x5shoc3g4ne9has4hys20ut, cfdgq8thcoghlh5d0s0pzb1sl, 6ufkq71qh9wrfyaez5yi94e09, 7wm8whndx19gcpqxtw9safljp, 6yc09eth94qsachf595dyx6fp, b2oa5dzw40auj5cgxfrp4b4r9, 18b0ti0bsq68842kgbczsbgmh, 88unrmh29io1zmqzxwjzuqtm2, 6q2mf0qrkt51z28b46wltxal1, djggrnjp9s4p2mlbzhx6arbh1, 6mijfayg3juwbk0u95h9gd8x6, ce2pidh4dpd1ccozn2lm3qtw5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476403527,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-10-23T15:30:36.617Z,2022-10-23T22:04:36Z,3867339361,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476403555,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-10-23T15:30:36.617Z,2022-10-23T15:30:37Z,3867339507,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476403575,3,1,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,50,50,2022-10-23T15:30:36.641Z,2022-10-24T01:02:40Z,3867339635,141,52.1,3867339637,212,17.0,3867339641,279,S,3867339631,56,Back,3867339639,213,3.1,3867339633,140,33.9,3869052443,178,,,,,9j1fd0mz39tl1h5che3f357md,S. Serdar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476403579,4,1,1,0,2,f0w62l8zql3tukxsy8fqwp72x,0,33.9,52.1,2022-10-23T15:30:39.239Z,2022-10-24T01:02:50Z,3867339845,236,,3867339649,141,51.3,3867339651,212,4.1,3867339647,140,37.8,3867339847,233,3,3867339653,213,6.2,3867339851,286,,3869052475,178,,djpsc1fvcnrh61c071t00gmad,M. Kempf,3867339645,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476403601,3,74,1,0,2,cz4a6wmzx2obyisadhgaccx7b,1,67.2,54.3,2022-10-23T15:30:39.342Z,2022-10-24T01:02:47Z,3867339787,285,,3867339785,56,Center,3869052575,178,,3867339873,233,4,,,,,,,,,,,,,9xl238e13utd2ondzqi51ka1h,S. Terodde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476403619,5,52,1,0,6,f0w62l8zql3tukxsy8fqwp72x,1,12.3,35.4,2022-10-23T15:30:43.421Z,2022-10-24T01:02:55Z,3869052759,178,,3868134109,377,,,,,,,,,,,,,,,,,,,,1sjt0nj0232gu88x50c3d16nd,O. Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476403681,6,1,1,0,9,f0w62l8zql3tukxsy8fqwp72x,1,12.3,35.4,2022-10-23T15:30:45.659Z,2022-10-24T01:03:00Z,3867340227,123,,3867340255,287,,3867340233,140,28.3,3867340235,141,77.9,3869052861,178,,3867340231,56,Back,3867340239,213,1.0,3867340241,1,,1sjt0nj0232gu88x50c3d16nd,O. Christensen,3867340237,212,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476403777,7,1,1,0,14,f0w62l8zql3tukxsy8fqwp72x,1,42.2,86.3,2022-10-23T15:30:51.225Z,2022-10-24T01:03:07Z,3867340815,212,23.4,3867340817,213,0.2,3869053063,178,,3867340813,141,91.8,3867340811,140,64.2,3867340809,56,Left,,,,,,,2ebiw2w6d76sttjh8n8871kgl,M. Plattenhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
