id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2468422293,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-10-07T17:36:04.146Z,2022-10-07T18:26:55Z,3825021745,194,cm8po8ez5w9ms01gid6w3kwk5,3825021737,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3825021743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825211913,197,3794,3825021739,59,"1, 29, 11, 34, 22, 5, 6, 27, 14, 10, 8, 3, 7, 13, 16, 20, 25, 26, 33, 37",3825021741,130,12,3825021747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825021735,30,"cm8po8ez5w9ms01gid6w3kwk5, arwidogdfccsjv8fxa1veezf9, 9uthj64y9f77y63tq7did539x, 980t379w5cp7umv1eltwlfca1, elh8kttxq9xfpoqfmpxv9jr2t, 6ki6rv564ybctrajr2xtgyeax, 57c808184l80uuuv7z3flcu6t, ew18qvvupaejxubhqmxmbd39x, 5pousbiuqbus68yekd0mhc5pl, e9c0v3ik308t91njildxzc6vp, f3v95yyj6j7h7qpprxm4zlre1, shbxc528h0udd6rdf3ax2itx, 9dnrpl2c7n769i8nbfnboq2tx, 7hnmtyfmurizitwz1whecjnmy, 3rj7x05qx17n925xfpcrl0jpx, 8um4xh0ekvr4q6uti3ksld8q2, 6yhylu5q0y924amgv7vlodkgl, 5neiwdz7rtkhzj0cneic4xcoa, e8ekkg0yayhhmmhinl0v9une, 6k3daudjhieulsgywbt9uoep6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468425753,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-10-07T17:41:45.859Z,2022-10-07T18:36:49Z,3825216913,197,16263,3825039705,59,"1, 8, 3, 32, 13, 4, 20, 28, 7, 11, 36, 5, 6, 9, 10, 22, 24, 26, 27, 30",3825039709,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825039711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825039703,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3825039701,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, aaoycxwi9jny6flm4apz8a2uh, 6kge6vcoa9ocnh6tb8qznfzkl, 2p48525x4ap9m81g6ode51cyd, b4q9q0qgmtz959rygieg9ln1l, dr0kn3srxtg7nuw99gjoim7e1, 5ndmhtdu5jfgvzuddd7fu2fh1, cjq9g6zgcxk1ceo2xzpe1qnyt, ec5ng4j3rcjwsjz1v05e1z3dh, 1psr9ra8k9j4r94p1xixagzbp, 14fw7p4fzaxprndgxnx0gxgbt, 8kar47kxxc8f20vc9ul2ez3yt, 26nfmfc8p2doisd9p8vtd33dh, d95i3fwjrk3ti4co645mde76x, 9tz07waj55ig7rrlpboei8n3d, eayipmdtzbmjgjouq10nqhcrt, f14n6d52p37nkvoo5n3i52x2h, 7llxni56g8q0yt33vhp1pt3o5",3825039707,130,12,3825218693,194,aaoycxwi9jny6flm4apz8a2uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468460545,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-10-07T18:30:06.571Z,2022-10-08T05:12:14Z,3825224045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468460569,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-10-07T18:30:06.571Z,2022-10-07T18:30:08Z,3825224187,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468460597,3,1,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,50,50,2022-10-07T18:30:06.614Z,2022-10-08T05:19:45Z,3825224333,212,8.5,3825224329,140,41.9,3825224337,279,S,3825224331,141,49.4,3825224335,213,3.2,3825224327,56,Back,3826030143,178,,,,,e9c0v3ik308t91njildxzc6vp,M. Dabbur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468460637,4,1,1,0,1,4l9mrqzmajz5crzlz50mtbt6x,1,42.9,49.4,2022-10-07T18:30:08.332Z,2022-10-08T05:19:48Z,3825224551,56,Center,3825224557,212,10.1,3825224553,140,51.9,3825224555,141,44.3,3826030209,178,,3825224559,213,5.9,,,,,,,f3v95yyj6j7h7qpprxm4zlre1,D. Geiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468460659,5,1,1,0,5,4l9mrqzmajz5crzlz50mtbt6x,1,50.7,45.2,2022-10-07T18:30:11.648Z,2022-10-08T05:19:59Z,3826030565,178,,3825224701,212,12.2,3825224695,56,Back,3825224703,213,3.8,3825224699,141,34.6,3825224697,140,41.3,,,,,,,ew18qvvupaejxubhqmxmbd39x,A. Kramarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468460707,6,1,1,0,6,4l9mrqzmajz5crzlz50mtbt6x,1,44.7,35.5,2022-10-07T18:30:13.410Z,2022-10-08T05:20:04Z,3825224955,213,2.7,3825224949,140,33.9,3826030689,178,,3825224953,212,12.8,3825224951,141,44.1,3825224947,56,Back,,,,,,,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468460733,7,1,1,0,10,4l9mrqzmajz5crzlz50mtbt6x,1,35,34.5,2022-10-07T18:30:16.781Z,2022-10-08T05:20:08Z,3825225101,212,23.6,3825225097,140,43.3,3825225103,213,5.1,3825225099,141,2.3,3825225095,56,Back,3826030803,178,,,,,,,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468460753,8,1,1,0,13,4l9mrqzmajz5crzlz50mtbt6x,0,43,2.5,2022-10-07T18:30:20.036Z,2022-10-08T05:20:12Z,3825225221,155,,3825225227,141,25.6,3826030931,178,,3825225235,1,,3825225223,56,Center,3825225231,213,0.3,3825225225,140,94.7,3825225229,212,56.5,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
