id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,keyPass,qualifier/13/value,qualifier/12/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/18/value,qualifier/19/value
2500283993,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2023-01-24T16:37:55.203Z,2023-01-24T17:51:17Z,3993244193,59,"13, 27, 18, 8, 4, 41, 38, 6, 26, 7, 11, 1, 3, 9, 19, 23, 24, 29, 35, 37",3993244197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993244189,30,"dvo2f7d0yosn404wsrsgeprdh, f3xm12deg7xf3g2n3yk11npat, 6oaqk4pdojnlefa3zubsysmvp, 8n0dskalmx94ofiq6jewa22tx, 4fvtwbl1hrxgs9lg957rxladx, w2jovd0ta6to004lvlri5gtm, e1wv1pujaj9nf92pgs7sm1wtm, dgysidzshgxqm3jegaihwi5wq, ex7y8oe78ewwmibz41qbmwhxx, aahyom322jdc6f21960ycuzth, 6b7p3ncup75mpop91n0u1mw2d, 8td0ccul6gf7r5benk1pxqrx1, 64x38pccgfsuz4ywoveh2ksbu, 9xl238e13utd2ondzqi51ka1h, at2rbigl1d8bsjw2u6lhfcatx, 2rsdnuf5kuu8kxybsjq7ogbje, 7lohomjw8xbl5eymcqhrtytw5, 5qc0owkwmgk74qy13ft3kpg5, bjjll8tgbxink1ly3gmw5w4ph, 58c19piq01hbllnokygtm5l91",3993244199,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993310091,197,6345,3993244195,130,7,3993244191,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3993342285,194,8n0dskalmx94ofiq6jewa22tx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500284917,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-01-24T16:40:14.416Z,2023-01-24T17:27:36Z,3993249299,194,eapihgte8ydc4g6hzygsx2e39,3993249289,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 4qkv71pjmzw66crfaktr6tihh, 1qthvf5krys0pzk24h8wtr9at, eapihgte8ydc4g6hzygsx2e39, 9prtaifv6stlujgywgq4wd08a, avh60ensgiwz1qalvn1bbqkfd, 1s1v1tweyx8wxc9hj2jrnaggl, 2pjr6yz65f4uqvwniy4vphn85, dhhmffih4gl51nlu92hfctqs5, 4gq1u1mqg0qzekh1u5djleeax, 7o3fumeufgigw092b7i5n4f6x, 8l0am8k4pg2s9g9qbkhwte6dx, ckox9w95duwhmt72xxk7lt2vp, cfc7fqq748bz3nklfam2a2fp, 3igg6gfmomgh1t5ohwzbpb5cl, 2uz1cmslnjjzsgfcgji26kqg9, c0rzlb9gffcwfrcpzd40ob7fu, axj39lx25teh62rih6uv9qor9",3993249297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3993249293,59,"21, 39, 23, 27, 4, 32, 17, 24, 11, 19, 7, 8, 9, 10, 13, 16, 22, 25, 44",3993309725,197,7074,3993249301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3993249291,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3993249295,130,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500297349,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-01-24T17:31:00.384Z,2023-01-24T17:31:01Z,3993316571,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500297335,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2023-01-24T17:31:00.384Z,2023-01-24T22:22:53Z,3993316519,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500297359,3,1,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,49.8,49.3,2023-01-24T17:31:00.465Z,2023-01-25T01:08:08Z,3994017435,178,,3993316613,279,S,3993316605,140,30.1,3993316609,212,20.7,3993316607,141,47.5,3993316603,56,Back,3993316611,213,3.2,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500297395,4,1,1,0,3,cz4a6wmzx2obyisadhgaccx7b,1,30.1,47.5,2023-01-24T17:31:03.391Z,2023-01-25T01:08:17Z,3993316837,212,54.8,3994017495,178,,3993316833,140,73.0,3993316829,155,,3993316839,213,0.6,3993316841,1,,3993316831,56,Left,3993316835,141,93.5,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500297409,5,1,1,0,5,cz4a6wmzx2obyisadhgaccx7b,1,73.4,94.2,2023-01-24T17:31:06.176Z,2023-01-25T01:08:25Z,3993316927,140,59.1,3993316929,141,93.9,3994017577,178,,3993316933,213,3.2,3993316925,56,Left,3993316931,212,15.0,,,,,,,6b7p3ncup75mpop91n0u1mw2d,M. Bülter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500297423,6,1,1,0,8,cz4a6wmzx2obyisadhgaccx7b,1,55.3,94.6,2023-01-24T17:31:08.945Z,2023-01-25T01:08:28Z,3993317011,213,3.5,3993317009,212,19.2,3994017635,178,,3993317007,141,85.5,3993317003,56,Back,3993317005,140,38.0,,,,,,,6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500297437,7,2,1,0,9,cz4a6wmzx2obyisadhgaccx7b,1,37.3,82.1,2023-01-24T17:31:10.274Z,2023-01-25T01:08:34Z,3994017689,178,,3993317105,141,78.7,3993317111,1,,3993317261,7,ex7y8oe78ewwmibz41qbmwhxx,3993317101,140,74.4,3993317097,56,Center,,,,,,,w2jovd0ta6to004lvlri5gtm,H. Matriciani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500297459,3,55,1,0,9,9gefq4dz9b2hl8rqrxwrlrzmp,1,32.1,35.5,2023-01-24T17:31:10.275Z,2023-01-25T01:08:34Z,,,,,,,,,,,,,,,,,,,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
