id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2465462381,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-10-01T12:33:14.787Z,2022-10-01T13:29:46Z,3809197831,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809197835,130,17,3809197839,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809197829,30,"7obuhegyo1qcoikt23egcsr85, byn8dfwg5zdefrca7wgn32qne, d7xdtkzw3h749ngi4sobn6kmh, efzokrggje7s9wc6hg75yc6ax, 8kqmsuo668wpuzoyyxf4o2vo5, bd4p670s36cp1dh4fadv84qcq, 78e1qvft3ser2tyayjlmemdp1, az15xx7m923srf9gdbwmiyga1, g3fgd752o63acmmuahdvppm1, 5ph2ln91ycq1qlq03cnqqs9re, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, 7cdiijsvnfc7tafy0zkf4uz9, 9ed74dfr9aeuedaf63l0i7aei, 2x5f35hk2urqlgoito1vgb3yt, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, 3qy1qlzezgfkxeom5n1r9h13p, f5lfo1hz7u5bk494w53arcacq, f2ibn3ej2doay3b4u8ezeix62",3809417789,197,14121,3809409035,194,78e1qvft3ser2tyayjlmemdp1,3809197837,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809197833,59,"1, 36, 33, 2, 20, 35, 17, 15, 9, 29, 27, 5, 8, 11, 19, 21, 22, 25, 26, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465465501,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-10-01T12:37:00.158Z,2022-10-01T13:26:54Z,3809213783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809406975,194,52t6t7cdsr0fjs9ukmwo9y7rp,3809213775,30,"8l1mv5qd9vwade754v3l8epjp, 52t6t7cdsr0fjs9ukmwo9y7rp, emtrl7rrhp3ybsibf1f89kyj9, 3g9riero16s160evc28u3q3u1, d3xe46be1ajvxzxzboiaoy385, 87jamhsc8ps9kh5432u36kjc9, 9qzxygb9hyzag1szans0k2jth, 24vavcwn4hco5je9kdu9ciwgl, 5xhjvappzv6swoof5qpi0yj9, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, 5pnfmmq8b8jxmp1qnf82d8out, f0x3pa532agezdjdzcsp94l49, 602fyni27c129xjs9ziyn5as5, 7424gvk9hiq5up61dj181y66t, 8prrhz0d1i4vxkhgro8p42bxl, 254i1zsifi2er9rvuxgi9katx, 3gq68k18hhnaazwonmkyjik15, cab22ojcuhdzdwmbtl20n8i51, 7446u69ki15qcyq2jtszacm3t",3809213779,59,"1, 28, 23, 4, 25, 3, 2, 19, 45, 27, 8, 11, 13, 14, 17, 21, 24, 26, 31, 37",3809406977,197,16256,3809213781,130,12,3809213785,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809213777,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465503971,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-10-01T13:30:15.880Z,2022-10-01T13:30:16Z,3809419673,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465503983,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-10-01T13:30:15.880Z,2022-10-02T06:10:57Z,3809419755,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504069,3,1,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,49.9,49.9,2022-10-01T13:30:15.896Z,2022-10-02T03:17:42Z,3809420215,56,Back,3809420219,141,48.2,3809420225,279,S,3809420221,212,22.1,3813213139,178,,3809420223,213,3.2,3809420217,140,28.9,,,,9qzxygb9hyzag1szans0k2jth,M. Thorsby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504071,4,1,1,0,3,a8d2gb2nag8fy0itbuxmcibh2,0,31.5,48.2,2022-10-01T13:30:18.978Z,2022-10-02T03:17:47Z,3809420229,155,,3809420241,1,,3809420231,56,Center,3809420235,141,65.5,3809420239,213,0.3,3809420233,140,69.7,3813213353,178,,3809420237,212,41.8,87jamhsc8ps9kh5432u36kjc9,P. Jaeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504091,3,49,1,0,5,c5hderjlkcoaze51e5wgvptk,1,28.8,32.6,2022-10-01T13:30:21.851Z,2022-10-02T03:18:06Z,,,,,,,,,,,,,,,,,,,,,,,,,8kqmsuo668wpuzoyyxf4o2vo5,M. Hasebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504131,4,1,1,0,7,c5hderjlkcoaze51e5wgvptk,1,27.7,27.6,2022-10-01T13:30:23.206Z,2022-10-02T03:18:15Z,3809420553,56,Back,3809420557,141,21.3,3813214243,178,,3809420561,213,5.8,3809420559,212,9.7,3809420555,140,36.0,,,,,,,8kqmsuo668wpuzoyyxf4o2vo5,M. Hasebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504137,5,3,1,0,8,c5hderjlkcoaze51e5wgvptk,0,36.5,15.9,2022-10-01T13:30:24.015Z,2022-10-02T03:18:41Z,3809420573,286,,3811139587,464,,3809420571,56,Back,3813215137,178,,3809420717,233,5,,,,,,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504157,5,7,1,0,9,a8d2gb2nag8fy0itbuxmcibh2,1,63.5,84.1,2022-10-01T13:30:25.147Z,2022-10-02T03:18:52Z,3813215475,178,,3809420657,285,,3811139065,383,,3809420685,233,5,3809420655,56,Left,,,,,,,,,,3g9riero16s160evc28u3q3u1,Diogo Leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
