id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/18/value
2458050605,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-09-10T15:41:42.045Z,2022-09-10T16:31:08Z,3769836017,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769836015,30,"dvo2f7d0yosn404wsrsgeprdh, w2jovd0ta6to004lvlri5gtm, 5qc0owkwmgk74qy13ft3kpg5, 58jjd14yvf4d6tvqcz4xo3a7e, 58ixsja4yf7pskmshzo7ohwfe, 4fvtwbl1hrxgs9lg957rxladx, aahyom322jdc6f21960ycuzth, dgysidzshgxqm3jegaihwi5wq, 9xl238e13utd2ondzqi51ka1h, 7lohomjw8xbl5eymcqhrtytw5, 6b7p3ncup75mpop91n0u1mw2d, 8td0ccul6gf7r5benk1pxqrx1, 8kydif03gk6apce8xwl9w3ht5, 64x38pccgfsuz4ywoveh2ksbu, 8n0dskalmx94ofiq6jewa22tx, bax0ggbhejk7kpcezkyg3hai2, at2rbigl1d8bsjw2u6lhfcatx, 2rsdnuf5kuu8kxybsjq7ogbje, 9taxidttdt94nmvc3mqhqq0ut, 8czesxhh2bedy0ukqb95rk82d",3769985293,197,6345,3769836019,59,"13, 41, 29, 17, 5, 4, 7, 6, 9, 24, 11, 1, 2, 3, 8, 10, 19, 23, 30, 40",3769836021,130,8,3769836025,194,9xl238e13utd2ondzqi51ka1h,3769836027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769836023,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458051593,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-09-10T15:42:53.942Z,2022-09-10T16:30:28Z,3769841497,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769841493,194,82r0liyptyapc8rfuo32qcqtx,3769841489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769992843,197,16235,3769841485,59,"1, 2, 3, 10, 4, 24, 9, 8, 33, 7, 11, 6, 17, 18, 20, 21, 22, 23, 35, 38",3769841481,30,"clmq1s26z0i3lqr1jqnd5wzit, 2earc7j2kp3tveehpnxtv1exh, 6sc9zsev9an853nop6pn6mxg5, 98e7uohj6lcvf59sfssff2y8l, 8ksi5s9he1uxai3lfcq46grf9, b7fqivvacy7mmarlp180k276d, 9xftmtdsxbuu2itzhi3v1xbdh, 82r0liyptyapc8rfuo32qcqtx, d2pco79bmi3f9x3zahtf9q2mt, f2o5hj0e2k3kw0fj1xzom0cet, 2bzdn7cqqonejqmlq85w8z6qd, 4y167h8sn9cnyrvb097lf8lbd, 3nins3wtqjz9vt8q06s087vth, 4oic5vu1qv89061hflasl3r3d, 8gnpf9kwx2n2rqwf1gixc4bth, de3mpa534obonqn4h2v10f6xh, ejww8hjcn4y4hlik863vaw3qh, 719bo3u7wz5doaadx7k45trdh, ep1bhk6t6sudlhjjz20j199ed, brs96wp9u2t10tsqfdwcyhnth",3769841483,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769841487,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458078885,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-09-10T16:30:51.069Z,2022-09-10T22:50:32Z,3769993935,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458078875,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-09-10T16:30:51.069Z,2022-09-10T16:30:50Z,3769993889,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458078915,3,1,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,50,50,2022-09-10T16:30:51.469Z,2022-09-11T07:44:04Z,3769994045,141,56.4,3769994041,56,Back,3769994043,140,37.5,3769994047,212,13.8,3772157063,178,,3769994049,213,2.8,3769994051,279,S,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458078927,4,1,1,0,1,eq1oq6y61xnzq88zu0cnw131z,1,37.5,56.4,2022-09-10T16:30:52.416Z,2022-09-11T04:17:45Z,3769994089,56,Back,3769994097,141,38.2,3769994093,140,27.8,3769994101,212,16.0,3769994105,213,4.0,3772158301,178,,,,,,,,98e7uohj6lcvf59sfssff2y8l,P. Förster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458078959,5,1,1,0,3,eq1oq6y61xnzq88zu0cnw131z,1,27.8,38.2,2022-09-10T16:30:55.057Z,2022-09-11T04:16:28Z,3769994313,140,30.3,3769994317,212,15.6,3769994319,213,4.9,3769994311,56,Back,3769994315,141,15.6,3772158593,178,,,,,,,,8ksi5s9he1uxai3lfcq46grf9,E. Mašović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079009,6,1,1,0,7,eq1oq6y61xnzq88zu0cnw131z,0,30.1,14.3,2022-09-10T16:30:58.950Z,2022-09-11T04:17:50Z,3769994631,1,,3769994627,212,63.5,3769994623,140,89.6,3772159061,178,,3769994621,56,Right,3769994625,141,0.0,3769994619,155,,3769994629,213,6.1,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079059,3,5,1,0,13,cz4a6wmzx2obyisadhgaccx7b,1,14.2,102,2022-09-10T16:31:04.185Z,2022-09-11T04:17:52Z,3769994815,347,,3769994819,233,7,3769994813,56,Back,,,,,,,,,,,,,,,,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079011,7,5,1,0,13,eq1oq6y61xnzq88zu0cnw131z,0,85.8,-2,2022-09-10T16:31:04.185Z,2022-09-11T04:17:53Z,3769994823,233,3,3769994637,56,Right,3769994639,347,,,,,,,,,,,,,,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
