id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2468772687,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-10-08T12:52:44.817Z,2022-10-08T13:53:31Z,3826879651,59,"1, 2, 3, 6, 4, 20, 9, 8, 33, 10, 17, 5, 14, 16, 18, 21, 22, 23, 24, 35",3826879649,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826909587,194,82r0liyptyapc8rfuo32qcqtx,3826879655,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826879657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826879647,30,"clmq1s26z0i3lqr1jqnd5wzit, 2earc7j2kp3tveehpnxtv1exh, 6sc9zsev9an853nop6pn6mxg5, 4y167h8sn9cnyrvb097lf8lbd, 8ksi5s9he1uxai3lfcq46grf9, 8gnpf9kwx2n2rqwf1gixc4bth, 9xftmtdsxbuu2itzhi3v1xbdh, 82r0liyptyapc8rfuo32qcqtx, d2pco79bmi3f9x3zahtf9q2mt, 98e7uohj6lcvf59sfssff2y8l, 3nins3wtqjz9vt8q06s087vth, mwircq9nydmi192o497r9n85, f577akgydk4t6ui45iyab2a22, 11dqnpwlb2clu2v7rnghsrlcl, 4oic5vu1qv89061hflasl3r3d, de3mpa534obonqn4h2v10f6xh, ejww8hjcn4y4hlik863vaw3qh, 719bo3u7wz5doaadx7k45trdh, b7fqivvacy7mmarlp180k276d, ep1bhk6t6sudlhjjz20j199ed",3826879653,130,8,3827011409,197,8147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468773671,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-10-08T12:54:54.240Z,2022-10-08T13:58:12Z,3826884559,59,"1, 6, 33, 8, 35, 2, 29, 26, 21, 19, 27, 5, 11, 15, 17, 22, 25, 28, 36, 40",3827010831,197,16306,3826884555,30,"7obuhegyo1qcoikt23egcsr85, a3ib09ji7qsz6cgj3vmz5qort, d7xdtkzw3h749ngi4sobn6kmh, 7cdiijsvnfc7tafy0zkf4uz9, bd4p670s36cp1dh4fadv84qcq, efzokrggje7s9wc6hg75yc6ax, 5ph2ln91ycq1qlq03cnqqs9re, f5lfo1hz7u5bk494w53arcacq, bgtnbojs8g884mbksh6o4wu6t, 2x5f35hk2urqlgoito1vgb3yt, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, 9ed74dfr9aeuedaf63l0i7aei, az15xx7m923srf9gdbwmiyga1, 78e1qvft3ser2tyayjlmemdp1, 7gni45coa4swn1i66wzpzug9h, 3qy1qlzezgfkxeom5n1r9h13p, 86n8m70b8059d92vcv98nm0dm, byn8dfwg5zdefrca7wgn32qne, f2ibn3ej2doay3b4u8ezeix62",3826884563,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826884565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826884557,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826911567,194,7obuhegyo1qcoikt23egcsr85,3826884561,130,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468798571,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-10-08T13:31:14.211Z,2022-10-08T13:31:14Z,3827017947,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468798601,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-10-08T13:31:14.211Z,2022-10-08T22:56:26Z,3827018091,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468798641,3,1,1,0,0,c5hderjlkcoaze51e5wgvptk,1,50.1,50.3,2022-10-08T13:31:14.356Z,2022-10-09T03:04:09Z,3827018297,212,14.6,3827018293,140,36.5,3827018291,56,Back,3827018299,213,2.9,3830278483,178,,3827018295,141,54.7,3827018301,279,S,,,,bgtnbojs8g884mbksh6o4wu6t,L. Alario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468798679,4,1,1,0,4,c5hderjlkcoaze51e5wgvptk,1,43.9,38.7,2022-10-08T13:31:18.275Z,2022-10-09T03:04:26Z,3827018505,141,9.6,3830278777,178,,3827018509,213,4.4,3827018499,56,Back,3827018503,140,37.0,3827018507,212,21.1,,,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468798749,5,1,1,0,6,c5hderjlkcoaze51e5wgvptk,1,34.6,10.2,2022-10-08T13:31:20.265Z,2022-10-09T03:04:32Z,3827018903,140,25.7,3827018907,212,16.2,3827018905,141,29.7,3827018909,213,2.2,3830278877,178,,3827018901,56,Back,,,,,,,a3ib09ji7qsz6cgj3vmz5qort,K. Jakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468798777,6,1,1,0,9,c5hderjlkcoaze51e5wgvptk,1,24.1,35.3,2022-10-08T13:31:23.467Z,2022-10-09T03:04:43Z,3827019039,141,70.8,3827019035,56,Back,3830279073,178,,3827019041,212,24.1,3827019043,213,1.6,3827019037,140,23.7,,,,,,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468798819,7,1,1,0,11,c5hderjlkcoaze51e5wgvptk,1,24.4,71.7,2022-10-08T13:31:25.555Z,2022-10-09T03:04:52Z,3827019293,213,1.1,3827019287,140,31.3,3827019289,141,91.8,3827019291,212,15.5,3830279225,178,,3827019285,56,Back,,,,,,,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468798871,8,4,1,0,14,c5hderjlkcoaze51e5wgvptk,1,34.8,84.1,2022-10-08T13:31:28.215Z,2022-10-09T03:05:04Z,3827019583,286,,3827019577,56,Back,3827019643,233,4,3827019579,152,,3827019575,13,,3827019581,265,,,,,,,,d7xdtkzw3h749ngi4sobn6kmh,L. Pellegrini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
