id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,keyPass,qualifier/13/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2481689121,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-11-05T13:43:12.157Z,2022-11-05T14:31:49Z,3895274611,130,5,3895274619,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895274613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895274607,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895274605,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, 6384gzzxuxs6pvmrn8qx4d7u1, fr9ac60188vlmtbrcddhxii1, dodddfi0l5i36vlgbaybhzeqy, aplc9mad75h1k90o3qla9c7l6, d2ykrr75737c8bzlwhjj90vkl, embn1jhcly07i6pjcvcdiavo5, acxwc7xxrtyssiy390t859kgl, b7cso5zljdvzfila9zd4fz4ve, 2mwe6l0eu1tisri3eu26fx8x6, 7e7w34imugzsufvytjxytupd5, 3es8fg7y59lckypu11i68q6s5, 53ozrqkupvt2iyi2xg0swf7px, ec04djw7dspowrm7h7wr6e5ed, 40rzvcdss138e6futx3bht3o5, eswxx8pxqyuj7rnpvqawpej1l, 4sd2zs6d5cd4d9n3oo54lglat, b8if5dg0k9prjik99aiutewh5",3895274615,194,acxwc7xxrtyssiy390t859kgl,3895274609,59,"1, 20, 6, 22, 3, 5, 39, 31, 10, 27, 16, 2, 4, 7, 12, 14, 15, 23, 32, 33",3895274617,197,11884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481690281,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-11-05T13:44:25.394Z,2022-11-05T14:32:12Z,3895280379,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895280391,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895280389,197,11885,3895280383,130,17,3895280381,59,"27, 30, 3, 19, 42, 20, 6, 31, 9, 11, 7, 1, 4, 8, 10, 16, 17, 21, 29, 37",3895280387,194,4baqlwfu312pctopy1cx6s2c5,3895280377,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, 6u47fsriz3ejlf72hxtsew5bd, ernbjicg113inzsubzrfm8fyt, 6uurhe88nry4hyelll8ifzd91, az7owi5t4bclkamjsjuyxzv1l, d608s0948uh3owqee7t0en7px, dzolxp2oixtakcrqfyibpu76d, 4rgz5z372h6sbwhpxl69cb6c5, bwqqecmqm76v5b83v1cz891p1, d2gbcc336c4zatpiif4cvm2fp, 2w76r8guf9sacoriu0ivytyax, l469vtpe0jbgg5sq1v2e67e1, d9q12xp4h8nhtjxl5il3vufh1, bvifdvoxv9e8nq8qe37c0gvrp, 24w7jq5qou30k8f76lmr20ju2, amd4rodp6senk2c1mmlsqozpx, d3tfdqfnab7bqxfdh3399y06i, 3n2imac1yp8jppsf36a4qg76y",3895280385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481728297,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-11-05T14:30:49.779Z,2022-11-05T14:30:53Z,3895485691,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481728277,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-11-05T14:30:49.779Z,2022-11-05T19:50:06Z,3895485615,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481728375,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,49.9,49.9,2022-11-05T14:30:49.973Z,2022-11-05T19:57:27Z,3895486019,56,Back,3895486029,212,22.3,3895486021,140,28.7,3895486033,213,3.1,3895486025,141,52.5,3897286309,178,,3895486035,279,S,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481728425,4,1,1,0,3,1c7qokc1j5z50cjj4tcu32haa,0,29.6,58.2,2022-11-05T14:30:53.718Z,2022-11-05T19:57:31Z,3895486303,213,6.2,3895486293,56,Center,3895486301,212,38.9,3895486299,141,50.7,3895486289,155,,3897286365,178,,3895486297,140,66.3,3895486305,1,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481728507,3,1,1,0,6,a8l3w3n0j99qjlsxj3jnmgkz1,0,33.6,48.2,2022-11-05T14:30:56.469Z,2022-11-05T19:57:40Z,3895486709,140,48.0,3897286671,178,,3895486715,213,0.3,3895486705,3,,3895486711,141,55.5,3895486713,212,15.9,3895486707,56,Back,,,,acxwc7xxrtyssiy390t859kgl,M. Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481728525,5,1,1,0,8,1c7qokc1j5z50cjj4tcu32haa,0,48.4,45.2,2022-11-05T14:30:58.448Z,2022-11-05T19:57:47Z,3895486803,56,Center,3895486801,3,,3895486815,213,6.0,3895486805,140,67.4,3895486807,141,37.0,3897286879,178,,3895486811,212,20.7,,,,d608s0948uh3owqee7t0en7px,D. Kohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481728533,4,1,1,0,10,a8l3w3n0j99qjlsxj3jnmgkz1,1,36,67.4,2022-11-05T14:31:00.181Z,2022-11-05T19:58:52Z,3895501837,213,2.7,3895486853,56,Back,3895501835,212,9.0,3895501831,140,28.2,3897288687,178,,3895501833,141,73.0,,,,,,,d2ykrr75737c8bzlwhjj90vkl,Y. Gerhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481728565,5,49,1,0,11,a8l3w3n0j99qjlsxj3jnmgkz1,1,30.7,78.3,2022-11-05T14:31:01.439Z,2022-11-05T19:58:59Z,,,,,,,,,,,,,,,,,,,,,,,,,76h7b6dhpyotolq68f84lqifp,Paulo Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
