id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2500567043,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-01-25T18:32:36.585Z,2023-01-25T19:28:11Z,3994703207,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994703199,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994703205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994773045,197,16262,3994703197,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, 2p48525x4ap9m81g6ode51cyd, 1psr9ra8k9j4r94p1xixagzbp, aaoycxwi9jny6flm4apz8a2uh, 26nfmfc8p2doisd9p8vtd33dh, dr0kn3srxtg7nuw99gjoim7e1, cjq9g6zgcxk1ceo2xzpe1qnyt, 5ndmhtdu5jfgvzuddd7fu2fh1, d95i3fwjrk3ti4co645mde76x, 14fw7p4fzaxprndgxnx0gxgbt, 8kar47kxxc8f20vc9ul2ez3yt, 6kge6vcoa9ocnh6tb8qznfzkl, 630sqbiu7utmkg8yw0h4ky8a2, eayipmdtzbmjgjouq10nqhcrt, 7llxni56g8q0yt33vhp1pt3o5, bitixkzgt5p65rlo2bnllcf6x, ec5ng4j3rcjwsjz1v05e1z3dh, 3h6q9lkwovcu4pynltgnzhy50",3994703201,59,"1, 8, 3, 4, 5, 32, 10, 28, 11, 7, 22, 6, 9, 13, 21, 26, 30, 34, 36, 39",3994773043,194,aaoycxwi9jny6flm4apz8a2uh,3994703203,130,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500568129,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-01-25T18:38:08.953Z,2023-01-25T19:29:24Z,3994709139,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994709141,59,"1, 18, 23, 4, 31, 5, 24, 19, 17, 27, 8, 26, 3, 11, 13, 14, 28, 37, 40, 45",3994774491,194,1vv29mash2uijx542ssjk666t,3994774493,197,16257,3994709137,30,"8l1mv5qd9vwade754v3l8epjp, 9kxuwgequrilkom3ru6sdxall, emtrl7rrhp3ybsibf1f89kyj9, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, 1ywfkwrcysdlvkt859q00kt7t, 254i1zsifi2er9rvuxgi9katx, 24vavcwn4hco5je9kdu9ciwgl, 7424gvk9hiq5up61dj181y66t, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, 40rzvcdss138e6futx3bht3o5, 87jamhsc8ps9kh5432u36kjc9, 5pnfmmq8b8jxmp1qnf82d8out, f0x3pa532agezdjdzcsp94l49, 602fyni27c129xjs9ziyn5as5, 52t6t7cdsr0fjs9ukmwo9y7rp, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy, 5xhjvappzv6swoof5qpi0yj9",3994709147,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994709145,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994709143,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581295,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-01-25T19:31:18.678Z,2023-01-26T03:52:43Z,3994776917,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581307,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-01-25T19:31:18.678Z,2023-01-25T19:31:23Z,3994776963,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581339,3,1,1,0,0,cu0eztmjcsbydyp53aleznorw,1,49.9,50.1,2023-01-25T19:31:18.736Z,2023-01-26T05:00:51Z,3994777103,213,3.2,3995243125,178,,3994777099,141,47.3,3994777105,279,S,3994777097,140,27.8,3994777095,56,Back,3994777101,212,23.3,,,,dr0kn3srxtg7nuw99gjoim7e1,I. Gruev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581357,4,1,1,0,2,cu0eztmjcsbydyp53aleznorw,1,29.7,48.1,2023-01-25T19:31:21.319Z,2023-01-26T05:00:55Z,3994777191,212,48.9,3994777185,56,Center,3994777187,140,73.4,3995243167,178,,3994777183,155,,3994777189,141,23.4,3994777195,1,,3994777193,213,5.9,aaoycxwi9jny6flm4apz8a2uh,M. Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581361,5,44,1,0,7,cu0eztmjcsbydyp53aleznorw,1,75.6,19.4,2023-01-25T19:31:25.687Z,2023-01-26T06:27:48Z,3994777209,56,Right,3994777211,286,,3994777233,233,3,,,,,,,,,,,,,,,,7k7whr0pdbw5wtk7g0cwozw0l,M. Weiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581363,3,44,1,0,7,a8d2gb2nag8fy0itbuxmcibh2,0,24.4,80.6,2023-01-25T19:31:25.688Z,2023-01-26T05:01:18Z,3994777213,56,Back,3994777241,233,5,3994777215,285,,,,,,,,,,,,,,,,,emtrl7rrhp3ybsibf1f89kyj9,N. Gießelmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581369,6,1,1,0,7,cu0eztmjcsbydyp53aleznorw,0,73.6,22.8,2023-01-25T19:31:25.801Z,2023-01-26T06:27:49Z,3994777257,3,,3994777261,140,73.7,3994777265,212,6.4,3995243315,388,,3994777267,213,1.6,3994777259,56,Center,3994777263,141,32.2,,,,7k7whr0pdbw5wtk7g0cwozw0l,M. Weiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581389,4,1,1,0,8,a8d2gb2nag8fy0itbuxmcibh2,0,24.1,63.6,2023-01-25T19:31:27.607Z,2023-01-26T05:01:29Z,3994777361,157,,3994777369,141,73.2,3994777373,212,23.5,3994777375,213,0.3,3995243555,178,,3994777365,140,45.6,3994777363,56,Back,3994777379,1,,254i1zsifi2er9rvuxgi9katx,G. Haraguchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
