id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2449260689,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2022-08-21T12:45:25.508Z,2022-08-21T13:33:00Z,3723051323,130,3,3723051321,59,"20, 2, 14, 28, 15, 4, 7, 47, 21, 23, 11, 1, 3, 6, 17, 18, 24, 29, 33, 37",3723235477,197,11882,3723051325,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3723051317,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 4w8nqkhp6v62vs319a7qckfs9, 3tdsezcgdlm4laybvh4u49cr9, bkonv3y0vn24mpn6j8abjtux, 2hb1dyg1auzdfbi3lg9ysap9m, 8n4b6j21nxf1nf628ugg3xsdl, 8mmecefcbz8wu4jcqqywps5p1, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, f239q43hdwrm7u7mu5jqyk91x, 3saz8njlttx2i4ospcwmmaqga, 6dzx3oyd42ql69tqxqvg8mpxx, g64b8x11ndowv2zj29r9i311, mgwgcv336wb93xvv0pfr6dih, 7rltyxkrvvfg7q1hppl631soa, es3b9j6925m7m9x7cr72mn0mh, cnf7quyillyf560nh14taliw9",3723051319,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3723051329,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3723051327,194,21vfv10e7fh6b2xtcu55ihn11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449262073,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-08-21T12:46:53.950Z,2022-08-21T13:32:37Z,3723058083,30,"7obuhegyo1qcoikt23egcsr85, a3ib09ji7qsz6cgj3vmz5qort, d7xdtkzw3h749ngi4sobn6kmh, 7cdiijsvnfc7tafy0zkf4uz9, bd4p670s36cp1dh4fadv84qcq, efzokrggje7s9wc6hg75yc6ax, g3fgd752o63acmmuahdvppm1, 78e1qvft3ser2tyayjlmemdp1, 2x5f35hk2urqlgoito1vgb3yt, eqtsanns36za56h4pfqhbnh05, 5ph2ln91ycq1qlq03cnqqs9re, 7iqt50eaixxatz08dh54p81gq, 9ed74dfr9aeuedaf63l0i7aei, az15xx7m923srf9gdbwmiyga1, 8kqmsuo668wpuzoyyxf4o2vo5, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, 3qy1qlzezgfkxeom5n1r9h13p, byn8dfwg5zdefrca7wgn32qne, f2ibn3ej2doay3b4u8ezeix62",3723239919,197,14121,3723058085,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3723058089,130,8,3723058095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3723058087,59,"1, 6, 33, 8, 35, 2, 9, 17, 19, 27, 29, 5, 11, 15, 20, 21, 22, 25, 36, 40",3723058093,194,78e1qvft3ser2tyayjlmemdp1,3723058091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449302655,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-08-21T13:30:42.682Z,2022-08-21T19:46:13Z,3723250119,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449302669,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2022-08-21T13:30:42.682Z,2022-08-21T13:30:46Z,3723250165,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449302705,3,1,1,0,0,c5hderjlkcoaze51e5wgvptk,1,50.1,50,2022-08-21T13:30:42.769Z,2022-08-21T19:58:19Z,3723250317,212,13.8,3723250319,213,3.0,3724633465,178,,3723250321,279,S,3723250313,140,37.2,3723250311,56,Back,3723250315,141,53.6,,,,78e1qvft3ser2tyayjlmemdp1,S. Rode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449302711,4,1,1,0,1,c5hderjlkcoaze51e5wgvptk,1,37.2,53.6,2022-08-21T13:30:44.404Z,2022-08-21T19:58:25Z,3723250335,140,52.7,3723250333,56,Center,3724633769,178,,3723250337,141,48.5,3723250341,213,6.1,3723250339,212,16.6,,,,,,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449302715,5,1,1,0,3,c5hderjlkcoaze51e5wgvptk,1,52.7,48.5,2022-08-21T13:30:45.753Z,2022-08-21T19:58:29Z,3724633985,178,,3723250353,212,3.7,3723250349,140,51.6,3723250351,141,53.6,3723250347,56,Center,3723250355,213,1.9,,,,,,,78e1qvft3ser2tyayjlmemdp1,S. Rode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449302725,6,1,1,0,3,c5hderjlkcoaze51e5wgvptk,0,51.6,53.6,2022-08-21T13:30:46.327Z,2022-08-21T19:58:34Z,3723250405,213,5.8,3723250399,140,72.7,3723250397,56,Center,3723250403,212,24.9,3723250401,141,36.8,3724634373,178,,,,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449302727,3,49,1,0,5,8q1ul09cygzswb7tb456bmifv,1,28.6,60,2022-08-21T13:30:47.833Z,2022-08-21T19:58:39Z,,,,,,,,,,,,,,,,,,,,,,,,,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449302755,4,1,1,0,5,8q1ul09cygzswb7tb456bmifv,1,28.6,60,2022-08-21T13:30:47.889Z,2022-08-21T19:58:44Z,3723250535,56,Back,3724634875,178,,3723250539,141,60.6,3723250543,213,0.0,3723250537,140,38.8,3723250541,212,10.7,,,,,,,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
