id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value
2516031329,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-03-05T15:33:50.655Z,2023-03-05T16:37:36Z,4076086763,59,"1, 20, 6, 27, 4, 5, 32, 31, 33, 39, 16, 3, 7, 8, 10, 22, 23, 29, 30, 40",4076086767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076086769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076133479,197,8139,4076086761,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4076133477,194,acxwc7xxrtyssiy390t859kgl,4076086765,130,4,4076086759,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, acxwc7xxrtyssiy390t859kgl, 7e7w34imugzsufvytjxytupd5, dodddfi0l5i36vlgbaybhzeqy, 4sd2zs6d5cd4d9n3oo54lglat, d2ykrr75737c8bzlwhjj90vkl, b8if5dg0k9prjik99aiutewh5, aplc9mad75h1k90o3qla9c7l6, b7cso5zljdvzfila9zd4fz4ve, fr9ac60188vlmtbrcddhxii1, 3es8fg7y59lckypu11i68q6s5, azcv772qzdbz1exafx3od6lt5, embn1jhcly07i6pjcvcdiavo5, 6384gzzxuxs6pvmrn8qx4d7u1, eswxx8pxqyuj7rnpvqawpej1l, bjhgmcai5irlexe7oa1g0e5sl, 5tpy0imb08p2mqeiwrx52532t, 2dxsntw3djezptdjqzu0oxi7e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516037825,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-03-05T15:38:34.261Z,2023-03-05T16:28:34Z,4076349031,197,16306,4076120645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076120637,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4076120633,30,"7obuhegyo1qcoikt23egcsr85, e91s5lp3fvfaav8w8xi7wdx3p, 5mbkc1nqmirbtfml9aklqr5xx, efzokrggje7s9wc6hg75yc6ax, 8kqmsuo668wpuzoyyxf4o2vo5, bd4p670s36cp1dh4fadv84qcq, az15xx7m923srf9gdbwmiyga1, 78e1qvft3ser2tyayjlmemdp1, g3fgd752o63acmmuahdvppm1, 5ph2ln91ycq1qlq03cnqqs9re, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, a3ib09ji7qsz6cgj3vmz5qort, 9ed74dfr9aeuedaf63l0i7aei, 2x5f35hk2urqlgoito1vgb3yt, 7gni45coa4swn1i66wzpzug9h, 3qy1qlzezgfkxeom5n1r9h13p, 42eyoeidtcnf2l4eag73qp36y, byn8dfwg5zdefrca7wgn32qne, f2ibn3ej2doay3b4u8ezeix62",4076120639,59,"1, 24, 32, 2, 20, 35, 15, 17, 9, 29, 27, 5, 6, 11, 19, 22, 25, 30, 36, 40",4076120641,130,17,4076120643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4076136023,194,78e1qvft3ser2tyayjlmemdp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516082719,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-03-05T16:30:08.723Z,2023-03-06T05:54:23Z,4076354991,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516082735,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-03-05T16:30:08.723Z,2023-03-05T16:30:13Z,4076355061,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516082785,3,1,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,50.1,50.1,2023-03-05T16:30:08.777Z,2023-03-06T07:59:39Z,4076355313,279,S,4076355311,213,3.2,4076355307,141,47.9,4076355303,56,Back,4076355309,212,26.2,4077940865,178,,4076355305,140,25.2,,,,acxwc7xxrtyssiy390t859kgl,M. Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516082841,4,1,1,0,3,a8l3w3n0j99qjlsxj3jnmgkz1,0,27.8,47.2,2023-03-05T16:30:12.616Z,2023-03-06T08:00:10Z,4076355615,213,5.9,4077941573,178,,4076355611,141,22.3,4076355617,1,,4076355613,212,50.8,4076355609,140,73.4,4076355607,56,Center,4076355605,155,,bfpax581lm91ebz4xgz40a191,K. Casteels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516292499,857,44,1,0,7,c5hderjlkcoaze51e5wgvptk,1,30.3,66.9,2023-03-05T16:30:15.958Z,2023-03-06T08:37:56Z,4077785571,233,904,4077512325,285,,4077512323,56,Back,,,,,,,,,,,,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516292347,904,44,1,0,7,a8l3w3n0j99qjlsxj3jnmgkz1,0,69.7,33.1,2023-03-05T16:30:15.959Z,2023-03-06T08:00:15Z,4077511593,56,Center,4077785579,233,857,4077511595,286,,,,,,,,,,,,,,,,,aplc9mad75h1k90o3qla9c7l6,P. Wimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516082825,3,1,1,0,7,c5hderjlkcoaze51e5wgvptk,0,30,70.9,2023-03-05T16:30:15.968Z,2023-03-06T08:37:57Z,4076355541,213,4.4,4076355535,140,26.4,4076355531,3,,4076355539,212,11.0,4076355537,141,55.7,4076355533,56,Back,4077941763,388,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516083945,26,61,1,0,7,a8l3w3n0j99qjlsxj3jnmgkz1,1,78.6,40,2023-03-05T16:30:16.015Z,2023-03-06T08:00:26Z,4077941909,15,,4077941911,388,,4076361563,56,Center,,,,,,,,,,,,,,,,b8if5dg0k9prjik99aiutewh5,Omar Marmoush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
