id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2527445299,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-02T12:32:23.212Z,2023-04-02T13:35:14Z,4157398439,130,7,4157398443,194,21vfv10e7fh6b2xtcu55ihn11,4157398437,59,"20, 2, 14, 28, 4, 24, 17, 6, 27, 11, 37, 1, 7, 8, 15, 19, 21, 25, 29, 47",4157398445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157769429,197,16228,4157398441,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157398433,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, 6dzx3oyd42ql69tqxqvg8mpxx, 3saz8njlttx2i4ospcwmmaqga, 6yc09eth94qsachf595dyx6fp, 55z0yap5tml66nes2cchg7ahh, cnf7quyillyf560nh14taliw9, 224uan6ugjt7b2c1zsxrs2pcl, bkonv3y0vn24mpn6j8abjtux, 89s9fm31pcfq7l28kc2kad4kq, 4w8nqkhp6v62vs319a7qckfs9, 2ifp36vdm0d6rb3xc7muuvv11, 8n4b6j21nxf1nf628ugg3xsdl, pjbuqt8wiwm2ql2tfvvcn59m, 7rltyxkrvvfg7q1hppl631soa, 2hb1dyg1auzdfbi3lg9ysap9m",4157398435,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527446813,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-04-02T12:33:43.989Z,2023-04-02T13:31:16Z,4157406489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157406487,194,9bdxi3mvkftmqts59jptqq76d,4157768081,197,12803,4157406477,30,"3z6ekzop4y7cjuatzz9ua74k5, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 1mkbxdrj3myvt6jm4tx8sywgl, 66nvc8a4kd3cyeyj3i474cudx, 514es9hzl2skv9dl5cofgkogl, 9bdxi3mvkftmqts59jptqq76d, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, 7tj7eobo7kmk8egcbfrabe8d1, ao00a4lfe5vs9enjgkuu7vglx, d0qyia80j5079xq5olbttqfl6, 22zaq3o78o5feeogqdsvig02y, 87kc5hjp3ry2z624wty5h7g4q, 8dq80nkl6nbdejj2ti0mb2w6i",4157406481,59,"1, 29, 25, 17, 3, 30, 23, 6, 10, 32, 13, 5, 7, 11, 14, 18, 19, 20, 22, 41",4157406479,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157406483,130,8,4157406485,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527518719,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-02T13:33:56.967Z,2023-04-02T18:42:48Z,4157783405,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527518741,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-04-02T13:33:56.967Z,2023-04-02T13:34:01Z,4157783537,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527518753,3,1,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,50,50,2023-04-02T13:33:56.982Z,2023-04-03T10:46:25Z,4157783637,279,S,4157783631,141,48.5,4157783627,56,Back,4157783629,140,38.5,4160733565,178,,4157783633,212,12.1,4157783635,213,3.2,,,,66nvc8a4kd3cyeyj3i474cudx,M. Thuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527518815,4,1,1,0,2,go76xxm0xyfgqt1h6tcrtimm,1,38.5,48.5,2023-04-02T13:33:59.023Z,2023-04-03T10:47:09Z,4157783941,141,42.1,4157783945,213,3.5,4157783939,140,26.3,4157783943,212,13.5,4157783937,56,Back,4160735095,178,,,,,,,,1mkbxdrj3myvt6jm4tx8sywgl,C. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527518889,5,1,1,0,4,go76xxm0xyfgqt1h6tcrtimm,1,26.3,42.1,2023-04-02T13:34:01.506Z,2023-04-03T10:47:12Z,4157784299,141,76.1,4160735185,178,,4157784297,140,25.3,4157784301,212,23.1,4157784295,56,Back,4157784303,213,1.6,,,,,,,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527518931,6,1,1,0,8,go76xxm0xyfgqt1h6tcrtimm,1,26.7,77.1,2023-04-02T13:34:04.972Z,2023-04-03T10:47:14Z,4157784573,212,15.9,4160735339,178,,4157784569,140,36.5,4157784567,56,Back,4157784571,141,94.9,4157784579,213,0.9,,,,,,,8k5c8po5gx3vnxx36viq08xqt,N. Elvedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527519001,7,1,1,0,10,go76xxm0xyfgqt1h6tcrtimm,0,36.5,94.9,2023-04-02T13:34:07.016Z,2023-04-03T10:47:19Z,4157784847,213,6.0,4160735515,178,,4157784841,140,55.1,4157784845,212,20.3,4157784843,141,87.0,4157784837,56,Left,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaïni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527713851,871,49,1,0,11,8q1ul09cygzswb7tb456bmifv,1,44.2,8.1,2023-04-02T13:34:08.773Z,2023-04-03T10:47:23Z,,,,,,,,,,,,,,,,,,,,,,,,,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
