id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2475334745,1,34,16,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-10-22T12:38:43.843Z,2022-10-22T13:31:00Z,3861714791,130,13,3861714795,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861714785,30,"cg6h7oq0b5zpx1g4brhzyk1xx, 9qo448ueot8pfc5oqo378wag9, a41r2ob5fhirgdwxwox6nr4yx, djha3ac2mfhyb7oia64hq2nd, 5ec2ede9uwbft3wby33mwowyd, cis0z72hgahfnfjduk7hdnz3e, 2cq6ocr7j487do4nrm3sreg9h, 4tev0kk0om8cr1xbwpt8bozit, e4vr28e9cbq3q5nux1jlpuuei, 9ydkbbygq6uocors9kcdnzbop, 8mcf8c8ht32as6xxrf1gb51m2, 9c9v6wjh3fufmds8nm5aqfmcp, 7w63iqek6hmnizlirurla1cr9, 7y6f63pj7horkzhdzbge02rqh, aze5i6ssy55jrc8k9vhrs8o9h, 3ojzrb5okc6i1jf1o7okovnjd, 6rd6a2f1k124dzp1p904yq3h0, czpaltuhh1gskg7zh7k7qyqui, byk5vhf9l112i7hhy1clravp, 9z1hb45wjhq63ebn88b079k2d",3861714787,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3861927685,194,cg6h7oq0b5zpx1g4brhzyk1xx,3861714793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861927687,197,11890,3861714789,59,"1, 30, 5, 12, 4, 6, 10, 8, 23, 19, 21, 7, 11, 17, 22, 24, 29, 32, 36, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475337049,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-10-22T12:40:57.170Z,2022-10-22T14:34:54Z,3861928005,197,8139,3861726799,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, acxwc7xxrtyssiy390t859kgl, fr9ac60188vlmtbrcddhxii1, dodddfi0l5i36vlgbaybhzeqy, 2dxsntw3djezptdjqzu0oxi7e, 6384gzzxuxs6pvmrn8qx4d7u1, b8if5dg0k9prjik99aiutewh5, d2ykrr75737c8bzlwhjj90vkl, b7cso5zljdvzfila9zd4fz4ve, 2mwe6l0eu1tisri3eu26fx8x6, 7e7w34imugzsufvytjxytupd5, embn1jhcly07i6pjcvcdiavo5, 53ozrqkupvt2iyi2xg0swf7px, ec04djw7dspowrm7h7wr6e5ed, 40rzvcdss138e6futx3bht3o5, eswxx8pxqyuj7rnpvqawpej1l, bjhgmcai5irlexe7oa1g0e5sl, 4sd2zs6d5cd4d9n3oo54lglat",3861726803,59,"1, 20, 6, 27, 3, 5, 40, 22, 33, 31, 16, 2, 4, 10, 12, 14, 15, 23, 29, 32",3861726809,194,acxwc7xxrtyssiy390t859kgl,3861726805,130,7,3861726801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3861726811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861726807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375509,2,32,1,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-10-22T13:30:21.245Z,2022-10-23T04:54:38Z,3861936155,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375527,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-10-22T13:30:21.245Z,2022-10-22T13:30:25Z,3861936231,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375557,3,1,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,50,49.7,2022-10-22T13:30:21.287Z,2022-10-23T05:52:05Z,3861936373,213,3.1,3861936369,141,53.0,3861936367,140,25.9,3861936365,56,Back,3865175561,178,,3861936375,279,S,3861936371,212,25.4,,,,d2ykrr75737c8bzlwhjj90vkl,Y. Gerhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375601,4,1,1,0,3,a8l3w3n0j99qjlsxj3jnmgkz1,0,33.6,52.5,2022-10-22T13:30:24.670Z,2022-10-23T02:46:36Z,3861936549,155,,3865175769,178,,3861936565,212,49.0,3861936561,141,24.3,3861936573,1,,3861936569,213,5.9,3861936551,56,Center,3861936555,140,76.5,dodddfi0l5i36vlgbaybhzeqy,M. van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375613,3,44,1,0,6,7ad69ngbpjuyzv96drf8d9sn2,1,24.9,73.8,2022-10-22T13:30:27.645Z,2022-10-23T05:38:07Z,3861936615,285,,3861936613,56,Back,3861936667,233,5,,,,,,,,,,,,,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375607,5,44,1,0,6,a8l3w3n0j99qjlsxj3jnmgkz1,0,75.1,26.2,2022-10-22T13:30:27.646Z,2022-10-23T02:46:43Z,3861936687,233,3,3861936587,286,,3861936585,56,Center,,,,,,,,,,,,,,,,b8if5dg0k9prjik99aiutewh5,Omar Marmoush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375681,4,1,1,0,6,7ad69ngbpjuyzv96drf8d9sn2,1,26.3,71.9,2022-10-22T13:30:27.816Z,2022-10-23T05:38:07Z,3861936903,213,1.2,3861936893,3,,3861936899,141,93.9,3865176177,388,,3861936897,140,31.3,3861936895,56,Back,3861936901,212,15.9,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476017239,1475,43,1,0,9,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-10-22T13:30:30.773Z,2022-10-23T05:55:39Z,3865368167,233,1106,3865368179,144,67,,,,,,,,,,,,,,,,,,,8mcf8c8ht32as6xxrf1gb51m2,A. Adli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
