id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,qualifier/14/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2521465893,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-03-18T13:34:32.815Z,2023-03-18T14:29:12Z,4105191011,197,16500,4104893787,130,4,4104893783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4104893789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104939897,194,3kti58d195gmtzwrjh5nprx05,4104893781,30,"62gct49oglcdzxafhrfucrb2t, 3uqn1adw8rarez1gpen9vng7p, e9u7cmvaem5p7x9px3yq9f179, a4p1m3cqm6z2p1bw97s6k46ad, 5l8wtw156meo2vrtrgasif6jt, 8p2yagsx6ujdbmeonkd3u4c89, 3kti58d195gmtzwrjh5nprx05, 254i1zsifi2er9rvuxgi9katx, 9fd19beamnr8qmhqdvzr7fcyy, 2tdxcr1wkubis5n81sg4pzyz9, 3havaatbnk8p6gc9srgajc25l, 5bzowvtg5vhntcx1w3roriehh, bibz1qxakmbflq73marmo4nop, 5eym30brgmujovaeyb6dhhgfe, d1gc59ozyrrnl82rog6fbm0dm, 9ic8hvnkzj9p0ikh6bwaeoqju, 49epln99aa2797cs2zq3al1t6, 4nn6rxyzy97wl4ppqqnhhxyax, 4xhnmoqgxoheel005ek6ckfs9, 80nniieqtuwjhomwjcebnxyzu",4104893791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104893785,59,"33, 2, 24, 16, 5, 21, 3, 17, 14, 31, 22, 1, 4, 7, 8, 10, 11, 20, 23, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521470283,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-03-18T13:38:10.098Z,2023-03-18T14:45:21Z,4105184325,197,8139,4104917167,130,8,4104917163,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4104917169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104917161,30,"bfpax581lm91ebz4xgz40a191, 2mwe6l0eu1tisri3eu26fx8x6, 76h7b6dhpyotolq68f84lqifp, acxwc7xxrtyssiy390t859kgl, 7e7w34imugzsufvytjxytupd5, dodddfi0l5i36vlgbaybhzeqy, aplc9mad75h1k90o3qla9c7l6, 6384gzzxuxs6pvmrn8qx4d7u1, b8if5dg0k9prjik99aiutewh5, d2ykrr75737c8bzlwhjj90vkl, b7cso5zljdvzfila9zd4fz4ve, fr9ac60188vlmtbrcddhxii1, azcv772qzdbz1exafx3od6lt5, 53ozrqkupvt2iyi2xg0swf7px, 23l48u4w5nj4036whjm3s49gp, eswxx8pxqyuj7rnpvqawpej1l, bjhgmcai5irlexe7oa1g0e5sl, 4sd2zs6d5cd4d9n3oo54lglat, 4xfqhlmr91ekmt75motqxetjo, 2dxsntw3djezptdjqzu0oxi7e",4104935135,194,acxwc7xxrtyssiy390t859kgl,4104917165,59,"1, 2, 6, 27, 4, 5, 39, 22, 33, 31, 16, 3, 8, 12, 20, 23, 29, 32, 36, 40",4104917171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521522973,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-03-18T14:30:34.546Z,2023-03-19T02:31:26Z,4105199429,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521522961,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-03-18T14:30:34.546Z,2023-03-18T14:30:34Z,4105199407,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521523041,3,1,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,50.2,50.4,2023-03-18T14:30:34.607Z,2023-03-19T08:00:35Z,4105199781,279,S,4105199779,213,3.1,4105199777,212,22.1,4105199773,140,29.2,4108907289,178,,4105199771,56,Back,4105199775,141,51.2,,,,acxwc7xxrtyssiy390t859kgl,M. Arnold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521523147,4,1,1,0,4,a8l3w3n0j99qjlsxj3jnmgkz1,1,30.4,52.2,2023-03-18T14:30:39.211Z,2023-03-19T08:00:52Z,4105200289,212,53.3,4105200293,1,,4105200287,141,9.4,4105200283,56,Right,4105200291,213,5.7,4105200281,155,,4105200285,140,72.9,4108907519,178,,bfpax581lm91ebz4xgz40a191,K. Casteels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521523167,5,44,1,0,7,a8l3w3n0j99qjlsxj3jnmgkz1,1,72.1,12.5,2023-03-18T14:30:42.160Z,2023-03-19T14:17:14Z,4105200411,233,3,4105200397,286,,4105200393,56,Right,,,,,,,,,,,,,,,,b8if5dg0k9prjik99aiutewh5,Omar Marmoush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521523155,3,44,1,0,7,3dwlvz6cl4lcavvrg0y2dycrt,0,27.9,87.5,2023-03-18T14:30:42.161Z,2023-03-19T08:00:57Z,4105200327,285,,4105200323,56,Back,4105200431,233,5,,,,,,,,,,,,,,,,e9u7cmvaem5p7x9px3yq9f179,B. Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521523189,6,1,1,0,7,a8l3w3n0j99qjlsxj3jnmgkz1,0,72.9,9.7,2023-03-18T14:30:42.220Z,2023-03-19T14:17:14Z,4105200469,3,,4105200475,141,29.4,4105200471,56,Center,4105200477,212,13.6,4105200473,140,75.2,4105200479,213,1.4,4108907909,388,,,,,b8if5dg0k9prjik99aiutewh5,Omar Marmoush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521523221,4,1,1,0,10,3dwlvz6cl4lcavvrg0y2dycrt,0,24.5,66.7,2023-03-18T14:30:45.059Z,2023-03-19T08:01:21Z,4108908059,388,,4105200647,56,Back,4105200651,141,72.6,4105200649,140,28.4,4105200653,212,5.7,4105200645,3,,4105200655,213,0.8,,,,3kti58d195gmtzwrjh5nprx05,W. Endo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
