id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/10/value,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/21/id,qualifier/21/qualifierId
2544304931,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-05-06T12:28:33.614Z,2023-05-06T12:42:42Z,4254070677,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254070679,194,8kqmsuo668wpuzoyyxf4o2vo5,4254070681,197,16306,4254070675,130,17,4254070671,59,"1, 24, 25, 2, 20, 18, 15, 8, 9, 29, 27, 11, 19, 22, 26, 28, 30, 36, 40, 46",4254070667,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4254070683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254070663,30,"7obuhegyo1qcoikt23egcsr85, e91s5lp3fvfaav8w8xi7wdx3p, 3qy1qlzezgfkxeom5n1r9h13p, efzokrggje7s9wc6hg75yc6ax, 8kqmsuo668wpuzoyyxf4o2vo5, abuvjv3bhb402yf8p92kucez9, az15xx7m923srf9gdbwmiyga1, 7cdiijsvnfc7tafy0zkf4uz9, g3fgd752o63acmmuahdvppm1, 5ph2ln91ycq1qlq03cnqqs9re, eqtsanns36za56h4pfqhbnh05, 9ed74dfr9aeuedaf63l0i7aei, 2x5f35hk2urqlgoito1vgb3yt, 7gni45coa4swn1i66wzpzug9h, f5lfo1hz7u5bk494w53arcacq, 86n8m70b8059d92vcv98nm0dm, 42eyoeidtcnf2l4eag73qp36y, byn8dfwg5zdefrca7wgn32qne, f2ibn3ej2doay3b4u8ezeix62, 9j74va6ftcr9g3nan4b86l1t6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544305041,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-05-06T12:28:42.563Z,2023-05-06T13:38:07Z,4254071195,130,12,4254071191,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4254071197,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254071201,194,cm8po8ez5w9ms01gid6w3kwk5,4254071205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254071193,59,"1, 9, 11, 34, 23, 5, 27, 6, 10, 14, 8, 4, 13, 16, 19, 20, 29, 37, 39, 40",4254331997,197,3794,4254071189,30,"cm8po8ez5w9ms01gid6w3kwk5, bkbmygo5f1glcs6xssawl26z9, 9uthj64y9f77y63tq7did539x, 980t379w5cp7umv1eltwlfca1, a5kkysp7c5f577ji17q5v2k0l, 6ki6rv564ybctrajr2xtgyeax, ew18qvvupaejxubhqmxmbd39x, 57c808184l80uuuv7z3flcu6t, e9c0v3ik308t91njildxzc6vp, 5pousbiuqbus68yekd0mhc5pl, f3v95yyj6j7h7qpprxm4zlre1, 4rrnad6qnutl60z8e1quup6tx, 7hnmtyfmurizitwz1whecjnmy, 3rj7x05qx17n925xfpcrl0jpx, bpprd2haoafk6y0rjans4iytx, 8um4xh0ekvr4q6uti3ksld8q2, arwidogdfccsjv8fxa1veezf9, 6k3daudjhieulsgywbt9uoep6, 6sj31v61vtwwxe5hhwkj80g7o, 6teffw7m19t1b3auxy22y4m0a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357189,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-05-06T13:30:13.100Z,2023-05-06T13:30:13Z,4254337251,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357203,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-05-06T13:30:13.100Z,2023-05-07T03:27:10Z,4254337287,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357259,3,1,1,0,0,c5hderjlkcoaze51e5wgvptk,1,50,50.1,2023-05-06T13:30:13.150Z,2023-05-07T06:36:30Z,4254337519,141,48.5,4254337517,140,33.6,4254337515,56,Back,4254337523,213,3.2,4257434123,178,,4254337525,279,S,4254337521,212,17.3,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357265,4,1,1,0,2,c5hderjlkcoaze51e5wgvptk,0,32,48.7,2023-05-06T13:30:15.558Z,2023-05-07T06:36:35Z,4254337545,56,Center,4254337555,1,,4257434271,178,,4254337549,141,38.0,4254337551,212,39.7,4254337547,140,69.2,4254337543,155,,4254337553,213,6.1,8kqmsuo668wpuzoyyxf4o2vo5,M. Hasebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357285,3,44,1,0,5,4l9mrqzmajz5crzlz50mtbt6x,1,28.4,62,2023-05-06T13:30:18.534Z,2023-05-07T09:49:55Z,4254337611,56,Back,4254337613,285,,4254337629,233,5,,,,,,,,,,,,,,,,a5kkysp7c5f577ji17q5v2k0l,J. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357273,5,44,1,0,5,c5hderjlkcoaze51e5wgvptk,0,71.6,38,2023-05-06T13:30:18.535Z,2023-05-07T06:36:49Z,4254337571,56,Center,4254337573,286,,4254337669,233,3,,,,,,,,,,,,,,,,g3fgd752o63acmmuahdvppm1,R. Kolo Muani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357291,4,1,1,0,5,4l9mrqzmajz5crzlz50mtbt6x,0,26.1,62.3,2023-05-06T13:30:18.576Z,2023-05-07T09:49:55Z,4254337643,56,Back,4254337651,213,6.0,4254337647,141,58.8,4254337649,212,9.7,4254337645,140,35.1,4254337641,3,,4257434667,388,,,,,a5kkysp7c5f577ji17q5v2k0l,J. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357313,6,1,1,0,7,c5hderjlkcoaze51e5wgvptk,0,59.1,42.4,2023-05-06T13:30:20.774Z,2023-05-07T06:36:57Z,4254337763,213,0.6,4254337753,3,,4254337761,212,13.9,4254337755,56,Center,4254337759,141,54.5,4254337757,140,69.8,4257434941,388,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357323,5,44,1,0,9,4l9mrqzmajz5crzlz50mtbt6x,1,33,46,2023-05-06T13:30:22.390Z,2023-05-07T09:49:56Z,4254337793,285,,4254338059,233,7,4254337791,56,Back,,,,,,,,,,,,,,,,f3v95yyj6j7h7qpprxm4zlre1,D. Geiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
