id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/14/value,qualifier/10/value,qualifier/16/value,qualifier/9/value,assist,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2478921351,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2022-10-29T15:41:41.766Z,2022-10-29T16:29:07Z,3880732511,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3880732517,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880732509,30,"9rjd95oqotnalxmv56v7p1r6d, 4vy3j1o829f561jf4fqum7ob9, 3y9nm18as1wxhizq3fyazb2t, emvi36y613e4lqlat3wfdih9l, cd6i7khi5wgsfsg19c9tcjydx, d5mck7rf48chzersephpx29d5, ebj6t5jqzixrnww1z7qofznu2, e83ula4wockmc2xid7185kcq2, eguzzwxdm0fwocax6srpck48a, f4qcgzveslklfi8601tep77x1, 7q96z3aaee5jyccb8pjthi8kp, 2we9yak4ipkr1ljigj20puv6y, 5irixhhyayq9yl7sb2kohjrv9, 4lcyjhvtwieshr4r3a6104qtx, 7lai6ovwsl01gonutejt4mms5, culbbgu1o5fdbl3gxz54rbn4l, 2jrntrq2x714pviioh3jnkted, 4rtps64cca8vrscv80bgyvjf8, 1ltc40nsr2fkx99i5hf7i3mga, 8zl9wv46y5bchktqcwth3z3ai",3880756409,194,cd6i7khi5wgsfsg19c9tcjydx,3880732515,130,8,3880732513,59,"1, 25, 10, 6, 15, 4, 27, 22, 18, 19, 21, 7, 17, 20, 23, 30, 33, 36, 44, 47",3881009205,197,2698,3880732519,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478921521,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-10-29T15:41:45.539Z,2022-10-29T16:29:22Z,3880754409,194,78e1qvft3ser2tyayjlmemdp1,3880733447,130,17,3880733453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3881003771,197,14121,3880733435,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3880733441,59,"1, 26, 33, 2, 6, 35, 15, 17, 9, 29, 27, 4, 5, 8, 11, 18, 19, 21, 22, 40",3880733433,30,"7obuhegyo1qcoikt23egcsr85, f5lfo1hz7u5bk494w53arcacq, d7xdtkzw3h749ngi4sobn6kmh, efzokrggje7s9wc6hg75yc6ax, a3ib09ji7qsz6cgj3vmz5qort, bd4p670s36cp1dh4fadv84qcq, az15xx7m923srf9gdbwmiyga1, 78e1qvft3ser2tyayjlmemdp1, g3fgd752o63acmmuahdvppm1, 5ph2ln91ycq1qlq03cnqqs9re, eqtsanns36za56h4pfqhbnh05, d0ir0lbmkzvkvgjvry5l9z2l1, 7iqt50eaixxatz08dh54p81gq, 7cdiijsvnfc7tafy0zkf4uz9, 9ed74dfr9aeuedaf63l0i7aei, abuvjv3bhb402yf8p92kucez9, 2x5f35hk2urqlgoito1vgb3yt, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, f2ibn3ej2doay3b4u8ezeix62",3880733457,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478975755,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-10-29T16:32:14.253Z,2022-10-29T21:45:19Z,3881021899,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478975759,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2022-10-29T16:32:14.253Z,2022-10-29T16:32:17Z,3881021917,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478975807,3,1,1,0,0,c5hderjlkcoaze51e5wgvptk,1,49.9,49.9,2022-10-29T16:32:14.425Z,2022-10-30T08:27:31Z,3881022171,279,S,3881022161,56,Back,3881022167,212,17.9,3881022165,141,49.2,3882692453,178,,3881022163,140,32.9,3881022169,213,3.2,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478975867,4,1,1,0,2,c5hderjlkcoaze51e5wgvptk,0,33,48.4,2022-10-29T16:32:17.025Z,2022-10-30T08:27:35Z,3881022483,1,,3881022477,141,27.1,3881022471,155,,3881022479,212,51.0,3882692507,178,,3881022473,56,Center,3881022475,140,79.6,3881022481,213,6.0,a3ib09ji7qsz6cgj3vmz5qort,K. Jakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478975895,3,1,1,0,7,dt4pinj0vw0t0cvz7za6mhmzy,1,21.9,76.6,2022-10-29T16:32:21.340Z,2022-10-30T08:27:41Z,3881022617,140,23.7,3881022621,212,7.5,3881022619,141,87.2,3881022623,213,1.3,3881022615,56,Back,3882692599,178,,,,,,,,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478975899,4,49,1,0,7,dt4pinj0vw0t0cvz7za6mhmzy,1,23.7,87.2,2022-10-29T16:32:22.215Z,2022-10-30T08:27:47Z,,,,,,,,,,,,,,,,,,,,,,,,,3y9nm18as1wxhizq3fyazb2t,T. Hazard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478975915,5,1,1,0,8,dt4pinj0vw0t0cvz7za6mhmzy,1,23.7,87.2,2022-10-29T16:32:22.350Z,2022-10-30T08:27:51Z,3881022721,213,5.0,3881022717,141,73.3,3881022719,212,9.8,3881022713,56,Back,3882692749,178,,3881022715,140,26.2,,,,,,,3y9nm18as1wxhizq3fyazb2t,T. Hazard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478975939,6,1,1,0,9,dt4pinj0vw0t0cvz7za6mhmzy,1,25.6,72.7,2022-10-29T16:32:23.272Z,2022-10-30T08:27:58Z,3881022771,140,14.2,3881022777,213,3.0,3881022775,212,12.1,3882692849,178,,3881022769,56,Back,3881022773,141,75.3,,,,,,,emvi36y613e4lqlat3wfdih9l,S. Özcan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
