id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2533551231,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-04-15T12:38:48.080Z,2023-04-15T13:26:40Z,4189871143,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4190102359,197,16596,4189880085,194,tedxo29s8xx0a71z6sidw7v9,4189871151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189871147,130,17,4189871149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189871141,30,"840353qq4b6ufh0hhm9o0n45x, 5arng6g4ietx2jwgcd2kpqdpl, 4gmknefwu0tt33z88tu75xmg9, 3j2pv0methgc8k8rtqbi079p1, tedxo29s8xx0a71z6sidw7v9, bs6f5ag1f47ropxefrybtaktl, b6woton2db3w4rm67vu69buy2, 4kolmisdpprx0wrahisadl5n9, 1ic5mnwhm510mptrxz04zmtm2, 3er9krmf0k6dhv6f9ltztfend, egmcpa7j5clzga5m0zvg2f105, bfdtduknquzhr2br7ahlgvvo4, aybzlrbkvnobkazjsmox975jp, 4zrut521fzw9fddqt74pnl756, d8h5ge9ust20o7us968acnsnp, 9bzlvn0twr2b5z30k30gugw5x, 19i0qsgzkuzg3b19zogzh7o16, 3jqxaa2l6gqwxl2mr8w0yiiy2, 6xjbcik3a56d0vqy4vrq5eokp, 8b40ap862z6ynvmgah0vjces5",4189871145,59,"40, 2, 22, 19, 6, 23, 27, 13, 7, 10, 3, 8, 14, 16, 20, 24, 25, 34, 38, 48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533554659,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-04-15T12:42:19.027Z,2023-04-15T13:27:45Z,4189889545,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 2uz1cmslnjjzsgfcgji26kqg9, 9prtaifv6stlujgywgq4wd08a, eapihgte8ydc4g6hzygsx2e39, 3igg6gfmomgh1t5ohwzbpb5cl, axj39lx25teh62rih6uv9qor9, 7o3fumeufgigw092b7i5n4f6x, 2pjr6yz65f4uqvwniy4vphn85, avh60ensgiwz1qalvn1bbqkfd, 4gq1u1mqg0qzekh1u5djleeax, cfc7fqq748bz3nklfam2a2fp, 1j0a3ml1zglc9s31yentfckb9, dhhmffih4gl51nlu92hfctqs5, 4qkv71pjmzw66crfaktr6tihh, c0rzlb9gffcwfrcpzd40ob7fu, 1qthvf5krys0pzk24h8wtr9at, dyigvzjpa74cw4urhh7fwzs2d",4189889547,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4190107189,197,1458,4189889553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4189889549,59,"21, 39, 22, 32, 4, 16, 44, 8, 11, 17, 7, 13, 18, 19, 23, 25, 27, 37",4189889551,130,13,4189889555,194,eapihgte8ydc4g6hzygsx2e39,4189889557,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597321,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-04-15T13:30:14.910Z,2023-04-16T05:37:36Z,4190117783,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597303,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-04-15T13:30:14.910Z,2023-04-15T13:30:15Z,4190117663,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597355,3,1,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,50.1,49.9,2023-04-15T13:30:15.004Z,2023-04-16T06:23:07Z,4190117949,213,2.8,4190117947,212,21.3,4190117945,141,61.8,4190117941,56,Back,4190117943,140,31.3,4194050871,178,,4190117951,279,S,,,,4kolmisdpprx0wrahisadl5n9,E. Rexhbeçaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597383,4,1,1,0,2,ex3psl8e3ajeypwjy4xfltpx6,0,31.6,59.6,2023-04-15T13:30:17.570Z,2023-04-16T06:23:09Z,4190118075,212,50.6,4190118071,140,77.1,4190118067,155,,4190118079,1,,4190118077,213,5.9,4190118069,56,Center,4190118073,141,35.1,4194050933,178,,3j2pv0methgc8k8rtqbi079p1,F. Uduokhai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597399,3,1,1,0,5,9gefq4dz9b2hl8rqrxwrlrzmp,0,16.6,66.5,2023-04-15T13:30:20.584Z,2023-04-16T06:23:12Z,4190118165,56,Back,4190118171,212,15.3,4190118169,141,80.0,4190118167,140,28.2,4194050999,388,,4190118163,3,,4190118173,213,0.6,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597429,5,2,1,0,7,ex3psl8e3ajeypwjy4xfltpx6,1,67.7,35.9,2023-04-15T13:30:22.312Z,2023-04-16T06:23:42Z,4190118343,140,81.9,4190118339,3,,4190118345,141,39.4,4190118341,56,Center,4194051479,178,,4190118915,7,1ic5mnwhm510mptrxz04zmtm2,,,,,,,b6woton2db3w4rm67vu69buy2,A. Engels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597463,5,55,1,0,7,9gefq4dz9b2hl8rqrxwrlrzmp,1,19.4,70.1,2023-04-15T13:30:22.313Z,2023-04-16T06:23:42Z,,,,,,,,,,,,,,,,,,,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597425,4,43,1,0,9,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-04-15T13:30:24.023Z,2023-04-15T13:30:29Z,4190118317,285,0,4190118675,144,44,4190118431,233,6,4190118315,56,Back,,,,,,,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
