id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2510055507,1,34,16,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2023-02-19T17:43:47.135Z,2023-02-19T18:33:12Z,4044537075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044537063,30,"cg6h7oq0b5zpx1g4brhzyk1xx, cis0z72hgahfnfjduk7hdnz3e, aze5i6ssy55jrc8k9vhrs8o9h, 4tev0kk0om8cr1xbwpt8bozit, 5ec2ede9uwbft3wby33mwowyd, djha3ac2mfhyb7oia64hq2nd, 2cq6ocr7j487do4nrm3sreg9h, 7w63iqek6hmnizlirurla1cr9, 59pu8nnghyxvvt8r3zyndpfpx, 8mcf8c8ht32as6xxrf1gb51m2, 7y6f63pj7horkzhdzbge02rqh, 4foax2b7unlkev1eq6py86lii, a41r2ob5fhirgdwxwox6nr4yx, c0ewvrtk657uw4t5rlv87mq51, jw8lb54ua2iufebwnu8k68t0, e4vr28e9cbq3q5nux1jlpuuei, 6rg37ej1x7pwi7r4aq1107pih, 2k5g68ywtr79lc45wozvifqlm, 4ilnnpfgjfz35lni9ppzd93v9, 9qo448ueot8pfc5oqo378wag9",4044687565,197,16378,4044537069,130,4,4044537073,194,cg6h7oq0b5zpx1g4brhzyk1xx,4044537071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044537067,59,"1, 6, 22, 8, 4, 12, 10, 11, 9, 21, 17, 3, 5, 14, 18, 23, 25, 27, 28, 30",4044537065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510056657,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-02-19T17:45:32.415Z,2023-02-19T18:32:17Z,4044687499,197,6366,4044543939,130,18,4044543941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044543943,194,dzolxp2oixtakcrqfyibpu76d,4044543937,59,"1, 21, 19, 20, 16, 25, 8, 6, 17, 7, 9, 3, 4, 5, 11, 27, 30, 31, 36, 42",4044543935,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4044543945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044543933,30,"d2gbcc336c4zatpiif4cvm2fp, amd4rodp6senk2c1mmlsqozpx, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, bvifdvoxv9e8nq8qe37c0gvrp, dnt7ahwfj8endqngxwfll1tjp, l469vtpe0jbgg5sq1v2e67e1, az7owi5t4bclkamjsjuyxzv1l, am0pcyvtaws1i69jt09dgnsnp, bwqqecmqm76v5b83v1cz891p1, dzolxp2oixtakcrqfyibpu76d, eh9sh9aa10zrp80l6e4l0c7h1, 2w76r8guf9sacoriu0ivytyax, cjok1odm3twxo7sqye3hua6eh, 4rgz5z372h6sbwhpxl69cb6c5, ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, d608s0948uh3owqee7t0en7px, 84uzswqtdoq56g034rg0kk16, ernbjicg113inzsubzrfm8fyt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510084571,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-02-19T18:31:45.396Z,2023-02-19T18:31:45Z,4044696669,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510084589,2,32,1,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2023-02-19T18:31:45.396Z,2023-02-20T06:28:59Z,4044696781,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510084597,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,50,50,2023-02-19T18:31:45.399Z,2023-02-20T10:33:19Z,4044696803,56,Back,4044696813,279,S,4044696809,212,19.5,4044696811,213,3.4,4045929859,178,,4044696807,141,43.3,4044696805,140,31.9,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510084635,4,1,1,0,1,1c7qokc1j5z50cjj4tcu32haa,1,34.8,33.6,2023-02-19T18:31:47.327Z,2023-02-20T08:42:27Z,4044696965,56,Back,4044696967,140,40.9,4044696971,212,19.6,4045930179,178,,4044696969,141,6.4,4044696973,213,5.0,,,,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510084643,5,1,1,0,4,1c7qokc1j5z50cjj4tcu32haa,0,43,10.9,2023-02-19T18:31:49.932Z,2023-02-20T08:44:05Z,4044697005,155,,4044697007,56,Center,4044697011,141,38.8,4044697013,212,39.7,4044697009,140,76.2,4045931407,178,,4044697015,213,0.5,4044697017,1,,dnt7ahwfj8endqngxwfll1tjp,A. Hanche-Olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510084651,3,44,1,0,7,7ad69ngbpjuyzv96drf8d9sn2,1,24.8,62.9,2023-02-19T18:31:52.803Z,2023-02-20T12:21:53Z,4044697049,56,Back,4044697051,285,,4044697065,233,6,,,,,,,,,,,,,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510084655,6,44,1,0,7,1c7qokc1j5z50cjj4tcu32haa,0,75.2,37.1,2023-02-19T18:31:52.804Z,2023-02-20T08:44:40Z,4044697061,56,Center,4044697063,286,,4044697069,233,3,,,,,,,,,,,,,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510084657,4,1,1,0,7,7ad69ngbpjuyzv96drf8d9sn2,1,20.2,66,2023-02-19T18:31:52.810Z,2023-02-20T12:21:53Z,4044697081,212,8.8,4044697083,213,0.1,4044697073,3,,4044697079,141,66.8,4045931565,388,,4044697077,140,28.6,4044697075,56,Back,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
