id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/16/value,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2484534337,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-11-12T13:37:41.838Z,2022-11-12T14:38:10Z,3910116327,194,tedxo29s8xx0a71z6sidw7v9,3910116315,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3910116331,197,16596,3910116335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910116317,59,"1, 2, 22, 19, 4, 6, 8, 13, 11, 7, 9, 10, 14, 16, 20, 21, 23, 24, 26, 40",3910116313,30,"61xxo4zsk6hby0swa756l3wlx, 5arng6g4ietx2jwgcd2kpqdpl, 4gmknefwu0tt33z88tu75xmg9, 3j2pv0methgc8k8rtqbi079p1, afn30dmio6sn1h8l4imwwd711, tedxo29s8xx0a71z6sidw7v9, 8ls8npa774mbrxje10ff46sb9, 4kolmisdpprx0wrahisadl5n9, d9jj0525pm3nu9vqewtpo2rpx, 48xfkorlx0hu677np4669wbth, avk9yje6h4nndg3cufnbu2imt, 3er9krmf0k6dhv6f9ltztfend, aybzlrbkvnobkazjsmox975jp, 4zrut521fzw9fddqt74pnl756, d8h5ge9ust20o7us968acnsnp, 3abavmbqh6vt0xgcx6zo4mgru, bs6f5ag1f47ropxefrybtaktl, 9bzlvn0twr2b5z30k30gugw5x, 3uj9aygyfvo2sm844e72oeesq, 840353qq4b6ufh0hhm9o0n45x",3910116319,130,13,3910116323,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484535355,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-11-12T13:39:11.695Z,2022-11-12T14:31:44Z,3910121405,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910121407,197,8147,3910121401,59,"1, 2, 3, 8, 24, 20, 7, 16, 33, 9, 22, 4, 6, 10, 17, 18, 21, 23, 35, 38",3910121397,30,"clmq1s26z0i3lqr1jqnd5wzit, 2earc7j2kp3tveehpnxtv1exh, 6sc9zsev9an853nop6pn6mxg5, 82r0liyptyapc8rfuo32qcqtx, b7fqivvacy7mmarlp180k276d, 8gnpf9kwx2n2rqwf1gixc4bth, f2o5hj0e2k3kw0fj1xzom0cet, 11dqnpwlb2clu2v7rnghsrlcl, d2pco79bmi3f9x3zahtf9q2mt, 9xftmtdsxbuu2itzhi3v1xbdh, ejww8hjcn4y4hlik863vaw3qh, 8ksi5s9he1uxai3lfcq46grf9, 4y167h8sn9cnyrvb097lf8lbd, 98e7uohj6lcvf59sfssff2y8l, 3nins3wtqjz9vt8q06s087vth, 4oic5vu1qv89061hflasl3r3d, de3mpa534obonqn4h2v10f6xh, 719bo3u7wz5doaadx7k45trdh, ep1bhk6t6sudlhjjz20j199ed, brs96wp9u2t10tsqfdwcyhnth",3910121403,130,4,3910300761,194,82r0liyptyapc8rfuo32qcqtx,3910121399,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3910121409,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484570545,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-11-12T14:30:52.428Z,2022-11-12T14:30:54Z,3910309347,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484570515,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-11-12T14:30:52.428Z,2022-11-12T22:23:52Z,3910309155,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484570561,3,1,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,50,50,2022-11-12T14:30:52.537Z,2022-11-12T22:50:32Z,3910309419,56,Back,3910309423,141,54.3,3910309429,279,S,3910309425,212,23.7,3912745715,178,,3910309427,213,3.0,3910309421,140,27.6,,,,48xfkorlx0hu677np4669wbth,F. Niederlechner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484570617,4,1,1,0,3,ex3psl8e3ajeypwjy4xfltpx6,0,29.8,57.9,2022-11-12T14:30:56.120Z,2022-11-12T22:50:39Z,3910309761,56,Left,3910309767,212,53.8,3912745757,178,,3910309765,141,95.6,3910309759,155,,3910309769,213,0.5,3910309763,140,74.9,3910309771,1,,afn30dmio6sn1h8l4imwwd711,R. Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484570665,3,12,1,0,8,eq1oq6y61xnzq88zu0cnw131z,1,23,6.1,2022-11-12T14:31:00.635Z,2022-11-12T22:52:31Z,3910310061,167,,3910309973,141,0.0,3910309977,213,5.8,3910309971,140,32.4,3912746395,388,,3910309975,212,11.2,3910309969,56,Back,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484570671,4,5,1,0,9,eq1oq6y61xnzq88zu0cnw131z,0,32,-1.5,2022-11-12T14:31:02.325Z,2022-11-12T22:52:40Z,3910310033,347,,3910310619,233,5,3910310031,56,Back,,,,,,,,,,,,,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484570783,5,5,1,0,9,ex3psl8e3ajeypwjy4xfltpx6,1,68,101.5,2022-11-12T14:31:02.325Z,2022-11-12T22:52:40Z,3910310609,233,4,3910310581,56,Left,3910310585,347,,,,,,,,,,,,,,,,,afn30dmio6sn1h8l4imwwd711,R. Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484570813,6,1,1,0,17,ex3psl8e3ajeypwjy4xfltpx6,0,64.1,100,2022-11-12T14:31:10.376Z,2022-11-12T22:52:47Z,3910310731,141,87.1,3910310721,107,,3910310725,56,Left,3910310735,212,24.4,3910310729,140,85.4,3910310739,213,5.9,3910310741,1,,,,,4gmknefwu0tt33z88tu75xmg9,Iago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
