id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2442452241,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-08-06T12:32:58.128Z,2022-08-06T14:40:17Z,3686875719,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686875721,59,"27, 20, 3, 5, 42, 16, 6, 31, 9, 7, 10, 1, 4, 8, 11, 19, 23, 24, 36, 37",3686887805,197,16363,3686875725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686875717,30,"ci1nu5z8aiiikco8af0zk1lud, 6uurhe88nry4hyelll8ifzd91, eh9sh9aa10zrp80l6e4l0c7h1, cjok1odm3twxo7sqye3hua6eh, ernbjicg113inzsubzrfm8fyt, bvifdvoxv9e8nq8qe37c0gvrp, az7owi5t4bclkamjsjuyxzv1l, d608s0948uh3owqee7t0en7px, dzolxp2oixtakcrqfyibpu76d, bwqqecmqm76v5b83v1cz891p1, d9q12xp4h8nhtjxl5il3vufh1, d2gbcc336c4zatpiif4cvm2fp, 2w76r8guf9sacoriu0ivytyax, l469vtpe0jbgg5sq1v2e67e1, 4rgz5z372h6sbwhpxl69cb6c5, 6u47fsriz3ejlf72hxtsew5bd, cfysw0lrk92ogv72c0jh3p6mt, dnv2j39cit2t0t650s3cysj8q, 84uzswqtdoq56g034rg0kk16, 3n2imac1yp8jppsf36a4qg76y",3686875723,130,11,3686875729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686875727,194,ci1nu5z8aiiikco8af0zk1lud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442453495,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-08-06T12:35:34.768Z,2022-08-06T13:28:24Z,3686881449,197,8147,3686996653,194,82r0liyptyapc8rfuo32qcqtx,3686881447,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686881435,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686881441,59,"1, 2, 16, 7, 4, 20, 9, 8, 33, 11, 17, 6, 10, 18, 21, 22, 23, 24, 25, 35",3686881451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686881431,30,"clmq1s26z0i3lqr1jqnd5wzit, 2earc7j2kp3tveehpnxtv1exh, 11dqnpwlb2clu2v7rnghsrlcl, f2o5hj0e2k3kw0fj1xzom0cet, 8ksi5s9he1uxai3lfcq46grf9, 8gnpf9kwx2n2rqwf1gixc4bth, 9xftmtdsxbuu2itzhi3v1xbdh, 82r0liyptyapc8rfuo32qcqtx, d2pco79bmi3f9x3zahtf9q2mt, 2bzdn7cqqonejqmlq85w8z6qd, 3nins3wtqjz9vt8q06s087vth, 4y167h8sn9cnyrvb097lf8lbd, 98e7uohj6lcvf59sfssff2y8l, 4oic5vu1qv89061hflasl3r3d, de3mpa534obonqn4h2v10f6xh, ejww8hjcn4y4hlik863vaw3qh, 719bo3u7wz5doaadx7k45trdh, b7fqivvacy7mmarlp180k276d, 841ov85ua9qtxpygld607ujo4, ep1bhk6t6sudlhjjz20j199ed",3686881445,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442477265,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-08-06T13:32:19.845Z,2022-08-06T13:32:26Z,3687007179,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442477255,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-08-06T13:32:19.845Z,2022-08-07T00:09:53Z,3687007149,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442477349,3,1,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,50,50,2022-08-06T13:32:19.941Z,2022-08-07T02:02:22Z,3687007601,140,30.8,3687007599,56,Back,3687007605,212,20.2,3687007611,279,S,3687007603,141,51.4,3690116401,178,,3687007607,213,3.1,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442477437,4,1,1,0,3,eq1oq6y61xnzq88zu0cnw131z,1,33.2,55.2,2022-08-06T13:32:23.106Z,2022-08-07T02:02:28Z,3687007943,212,39.8,3687007937,56,Left,3690116589,178,,3687007947,1,,3687007939,140,66.7,3687007935,155,,3687007941,141,82.7,3687007945,213,0.5,8ksi5s9he1uxai3lfcq46grf9,E. Mašović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442477447,5,4,1,0,6,eq1oq6y61xnzq88zu0cnw131z,1,69.1,85.2,2022-08-06T13:32:26.540Z,2022-08-07T02:02:41Z,3687007989,13,,3687009091,294,,3687007991,56,Left,3687007997,286,,3687007993,152,,3687008197,233,4,,,,,,,d2pco79bmi3f9x3zahtf9q2mt,P. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442477489,4,4,1,0,6,1c7qokc1j5z50cjj4tcu32haa,0,30.9,14.8,2022-08-06T13:32:26.541Z,2022-08-07T02:02:40Z,3687008159,152,,3687009147,294,,3687008157,56,Back,3687008247,233,5,3687008163,285,,3687008155,13,,3690116945,388,,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442477481,3,43,1,0,7,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-08-06T13:32:27.355Z,2022-08-06T13:32:44Z,3687008839,144,44,3687008139,56,Back,3687008141,285,0,,,,,,,,,,,,,,,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442477875,6,1,1,0,41,eq1oq6y61xnzq88zu0cnw131z,1,70.1,81.9,2022-08-06T13:33:01.069Z,2022-08-07T02:02:55Z,3687010041,5,,3687010045,56,Center,3687010051,212,7.2,3687010043,152,,3690117379,178,,3687010049,141,72.9,3687010053,213,4.1,3687010047,140,66.4,2bzdn7cqqonejqmlq85w8z6qd,T. Asano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
