id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value
2499110961,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-01-21T13:37:52.715Z,2023-01-21T14:35:22Z,3987078331,30,"d2gbcc336c4zatpiif4cvm2fp, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, 6u47fsriz3ejlf72hxtsew5bd, ernbjicg113inzsubzrfm8fyt, 6uurhe88nry4hyelll8ifzd91, d608s0948uh3owqee7t0en7px, l469vtpe0jbgg5sq1v2e67e1, 4rgz5z372h6sbwhpxl69cb6c5, 2w76r8guf9sacoriu0ivytyax, dzolxp2oixtakcrqfyibpu76d, dnt7ahwfj8endqngxwfll1tjp, cjok1odm3twxo7sqye3hua6eh, az7owi5t4bclkamjsjuyxzv1l, bwqqecmqm76v5b83v1cz891p1, d9q12xp4h8nhtjxl5il3vufh1, amd4rodp6senk2c1mmlsqozpx, 3wsyacqj7ci0ga9bzb988v7qh, 74n6zo57y4h14zll0p5ncm3ca, 90wsjxdc3ibvah5gm9tnsjwbu",3987078345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987078347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987078341,130,17,3987169131,194,4baqlwfu312pctopy1cx6s2c5,3987236411,197,16363,3987078335,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987078339,59,"1, 30, 3, 19, 42, 20, 31, 8, 11, 4, 9, 25, 5, 6, 7, 10, 21, 32, 38, 43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499112327,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-01-21T13:40:30.317Z,2023-01-21T14:45:22Z,3987086343,30,"5bzowvtg5vhntcx1w3roriehh, 3uqn1adw8rarez1gpen9vng7p, 1en0bgq0u842snszevlkscxk9, a4p1m3cqm6z2p1bw97s6k46ad, 5l8wtw156meo2vrtrgasif6jt, 8p2yagsx6ujdbmeonkd3u4c89, 9dnne0ny6o6d5c6w3ayoo4vvu, 3kti58d195gmtzwrjh5nprx05, bmrdtenqr84jt4gmw6i7wez11, 9fd19beamnr8qmhqdvzr7fcyy, 9ic8hvnkzj9p0ikh6bwaeoqju, bibz1qxakmbflq73marmo4nop, d1gc59ozyrrnl82rog6fbm0dm, 49epln99aa2797cs2zq3al1t6, 7gzdg0j9usc3yq0dd1ad57sgl, 4nn6rxyzy97wl4ppqqnhhxyax, 3havaatbnk8p6gc9srgajc25l, 80nniieqtuwjhomwjcebnxyzu, 62gct49oglcdzxafhrfucrb2t, b5mpbec03n9qatneviazigfvu",3987086351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987313155,197,16195,3987086353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987086349,130,4,3987086345,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987086347,59,"1, 2, 28, 16, 5, 21, 32, 3, 9, 14, 10, 4, 8, 11, 15, 20, 22, 25, 33, 39",3987169181,194,3kti58d195gmtzwrjh5nprx05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499143223,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-01-21T14:32:57.736Z,2023-01-22T02:54:43Z,3987255177,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499143251,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-01-21T14:32:57.736Z,2023-01-21T14:32:59Z,3987255315,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499143323,3,1,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,49.8,49.6,2023-01-21T14:32:57.970Z,2023-01-22T04:44:53Z,3989355991,178,,3987255607,212,23.7,3987255609,213,3.0,3987255605,141,52.8,3987255601,56,Back,3987255603,140,27.3,3987255611,279,S,,,,9ic8hvnkzj9p0ikh6bwaeoqju,Tiago Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499143357,4,1,1,0,2,3dwlvz6cl4lcavvrg0y2dycrt,1,27.3,55.2,2023-01-21T14:33:00.502Z,2023-01-22T04:45:02Z,3987255775,155,,3987255779,140,68.6,3989356133,178,,3987255777,56,Center,3987255787,1,,3987255785,213,5.9,3987255783,212,47.8,3987255781,141,25.8,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499143367,5,44,1,0,5,3dwlvz6cl4lcavvrg0y2dycrt,1,68.6,23.8,2023-01-21T14:33:03.472Z,2023-01-22T05:31:19Z,3987255971,233,3,3987255833,286,,3987255831,56,Center,,,,,,,,,,,,,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499143395,3,44,1,0,5,1c7qokc1j5z50cjj4tcu32haa,0,31.4,76.2,2023-01-21T14:33:03.473Z,2023-01-22T04:45:20Z,3987255941,56,Back,3987256007,233,5,3987255943,285,,,,,,,,,,,,,,,,,6u47fsriz3ejlf72hxtsew5bd,A. Caci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499143435,6,1,1,0,5,3dwlvz6cl4lcavvrg0y2dycrt,1,68.6,25.8,2023-01-21T14:33:03.529Z,2023-01-22T05:31:19Z,3987256141,3,,3987256147,141,22.5,3989356627,388,,3987256143,56,Center,3987256151,213,6.1,3987256145,140,80.1,3987256149,212,12.3,,,,bmrdtenqr84jt4gmw6i7wez11,S. Guirassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499209547,483,61,1,0,6,3dwlvz6cl4lcavvrg0y2dycrt,0,75.3,24.4,2023-01-21T14:33:04.382Z,2023-01-22T04:45:46Z,3989357015,388,,3987589203,56,Center,3989357013,21,,,,,,,,,,,,,,,,,9fd19beamnr8qmhqdvzr7fcyy,S. Katompa Mvumpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
