id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2526673891,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-04-01T15:36:21.844Z,2023-04-01T16:32:39Z,4153268419,130,8,4153268423,194,4fq74wp7xzwm214veuxqpdz9x,4153268421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153268407,30,"bagn0ce4xunsiz3mezrtqx1p1, yq0cm7vwr0tkv7nvt9vo77bp, 582uvj0i3dvm0zwbou9q68pgp, 4w4ldzomkj7fhrc51iimz8no5, x4qyxhfr2vi007sazoqe5vit, 10zt8rbgbmyqxr1m13wm5gfs9, 4603xrdk721lqhd1ejn62x5n9, 97nv3y9z2ajz6b4ynoo0jn3kl, e5mjphb52suw89189nyca72z9, 4fq74wp7xzwm214veuxqpdz9x, 1u1u438ql6xrordkb65wsxo7p, 4ysxvym6ww4f9d3hflkqsbf11, cotiiu6mjkfx5xa63nhfbdf4l, 29pq64smaxdwlraopnxoleqxh, 3kx4mltrob4yta5g6kr2u8ic5, br2uswvdgoj7ndkx7mnbwgyd, 5ga7g20wsa7oqjbh4ijoeknl6, 7vhnftizqlyu31st2vsmgh6tx, bhsdzppop8jwjsxwftizot1t6, 4skrm2y64va3y5jk70gz4ylpm",4153268411,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4153268427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153268415,59,"27, 5, 19, 8, 2, 4, 10, 6, 13, 25, 11, 7, 17, 22, 23, 26, 38, 40, 42, 44",4153268425,197,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526677547,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-04-01T15:38:19.169Z,2023-04-01T16:26:44Z,4153288653,194,btzfq6521zl3q5uqus8ltov6d,4153288649,130,5,4153288647,59,"1, 17, 26, 22, 25, 4, 19, 13, 9, 23, 11, 6, 8, 15, 18, 20, 21, 27, 33, 43",4153590247,197,2698,4153288651,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153288643,30,"9rjd95oqotnalxmv56v7p1r6d, 5irixhhyayq9yl7sb2kohjrv9, cl6720rdjeubt0bc3su0qg3qh, e83ula4wockmc2xid7185kcq2, 4vy3j1o829f561jf4fqum7ob9, d5mck7rf48chzersephpx29d5, f4qcgzveslklfi8601tep77x1, 6ie5meimavc8kwohr6lrdyket, cy0lv5u16obr2ne4xiins43x1, 7lai6ovwsl01gonutejt4mms5, btzfq6521zl3q5uqus8ltov6d, emvi36y613e4lqlat3wfdih9l, 2nqhczrkd45rdu5fcmq1wjo45, cd6i7khi5wgsfsg19c9tcjydx, eguzzwxdm0fwocax6srpck48a, 4lcyjhvtwieshr4r3a6104qtx, 7q96z3aaee5jyccb8pjthi8kp, ebj6t5jqzixrnww1z7qofznu2, 2jrntrq2x714pviioh3jnkted, c2mwg1uhug0pbgl72uf9b927e",4153288657,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153288645,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526735775,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-04-01T16:30:12.131Z,2023-04-01T16:30:12Z,4153601317,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526735785,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-04-01T16:30:12.131Z,2023-04-02T04:32:57Z,4153601373,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526735831,3,1,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,50,50,2023-04-01T16:30:12.179Z,2023-04-02T06:53:52Z,4153601597,141,52.2,4156262109,178,,4153601601,213,3.1,4153601599,212,19.4,4153601595,140,31.6,4153601605,279,S,4153601593,56,Back,,,,btzfq6521zl3q5uqus8ltov6d,M. Reus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526735841,4,1,1,0,2,dt4pinj0vw0t0cvz7za6mhmzy,0,30.6,52.6,2023-04-01T16:30:14.944Z,2023-04-02T06:53:58Z,4153834375,157,,4153601641,141,50.7,4156262213,178,,4153601645,213,6.1,4153601639,140,36.8,4153601643,212,6.6,4153834383,1,,4153601637,56,Back,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526735835,3,61,1,0,2,apoawtpvac4zqlancmvw4nk4o,1,64.3,43.3,2023-04-01T16:30:15.084Z,2023-04-02T06:54:02Z,4153601613,56,Center,4156262255,178,,,,,,,,,,,,,,,,,,,,4fq74wp7xzwm214veuxqpdz9x,T. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526735899,5,1,1,0,5,dt4pinj0vw0t0cvz7za6mhmzy,0,60.8,50.4,2023-04-01T16:30:18.016Z,2023-04-02T16:22:31Z,4153601991,3,,4153601999,141,46.4,4158671717,178,,4153602001,212,12.8,4153601997,140,72.7,4153601993,168,,4153602003,213,6.1,4153601995,56,Center,btzfq6521zl3q5uqus8ltov6d,M. Reus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526735891,4,1,1,0,7,apoawtpvac4zqlancmvw4nk4o,0,26.5,53,2023-04-01T16:30:19.903Z,2023-04-02T16:23:39Z,4153601933,56,Back,4153601935,140,35.2,4153601941,213,0.0,4153601931,3,,4158676755,178,,4153601939,212,9.1,4153601937,141,53.4,,,,x4qyxhfr2vi007sazoqe5vit,D. Upamecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526735941,6,1,1,0,9,dt4pinj0vw0t0cvz7za6mhmzy,1,63.3,48.7,2023-04-01T16:30:22.104Z,2023-04-02T06:54:21Z,4156262539,388,,4153602205,3,,4153602211,141,62.1,4153602209,140,59.1,4153602215,213,2.0,4153602213,212,10.1,4153602207,56,Center,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
