id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/14/value,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2471647701,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-10-14T17:34:03.346Z,2022-10-14T18:29:59Z,3842450417,197,6345,3842260755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842260753,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842260751,130,5,3842260747,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842260745,30,"dvo2f7d0yosn404wsrsgeprdh, f3xm12deg7xf3g2n3yk11npat, 8kydif03gk6apce8xwl9w3ht5, 9taxidttdt94nmvc3mqhqq0ut, 64x38pccgfsuz4ywoveh2ksbu, 4fvtwbl1hrxgs9lg957rxladx, 7lohomjw8xbl5eymcqhrtytw5, dgysidzshgxqm3jegaihwi5wq, 9xl238e13utd2ondzqi51ka1h, 1n0y675l767w55pipq5lgj1zp, 6b7p3ncup75mpop91n0u1mw2d, 8td0ccul6gf7r5benk1pxqrx1, aahyom322jdc6f21960ycuzth, 8n0dskalmx94ofiq6jewa22tx, 58jjd14yvf4d6tvqcz4xo3a7e, at2rbigl1d8bsjw2u6lhfcatx, 2rsdnuf5kuu8kxybsjq7ogbje, 5qc0owkwmgk74qy13ft3kpg5, 8czesxhh2bedy0ukqb95rk82d, w2jovd0ta6to004lvlri5gtm",3842260749,59,"13, 27, 2, 30, 3, 4, 24, 6, 9, 20, 11, 1, 7, 8, 17, 19, 23, 29, 40, 41",3842265011,194,9xl238e13utd2ondzqi51ka1h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471648445,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-10-14T17:35:49.312Z,2022-10-14T18:31:37Z,3842456749,197,16248,3842264779,59,"1, 29, 11, 34, 22, 5, 6, 14, 10, 33, 8, 3, 7, 13, 16, 20, 25, 26, 37, 39",3842264775,30,"cm8po8ez5w9ms01gid6w3kwk5, arwidogdfccsjv8fxa1veezf9, 9uthj64y9f77y63tq7did539x, 980t379w5cp7umv1eltwlfca1, elh8kttxq9xfpoqfmpxv9jr2t, 6ki6rv564ybctrajr2xtgyeax, 57c808184l80uuuv7z3flcu6t, 5pousbiuqbus68yekd0mhc5pl, e9c0v3ik308t91njildxzc6vp, e8ekkg0yayhhmmhinl0v9une, f3v95yyj6j7h7qpprxm4zlre1, shbxc528h0udd6rdf3ax2itx, 9dnrpl2c7n769i8nbfnboq2tx, 7hnmtyfmurizitwz1whecjnmy, 3rj7x05qx17n925xfpcrl0jpx, 8um4xh0ekvr4q6uti3ksld8q2, 6yhylu5q0y924amgv7vlodkgl, 5neiwdz7rtkhzj0cneic4xcoa, 6k3daudjhieulsgywbt9uoep6, 6sj31v61vtwwxe5hhwkj80g7o",3842264777,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3842264785,194,cm8po8ez5w9ms01gid6w3kwk5,3842264787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3842264781,130,12,3842264783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471682477,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-10-14T18:30:46.946Z,2022-10-14T18:30:50Z,3842453169,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471682471,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-10-14T18:30:46.946Z,2022-10-15T04:31:05Z,3842453109,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471682497,3,1,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,49.9,49.9,2022-10-14T18:30:47.003Z,2022-10-15T04:52:17Z,3842454419,189,,3842453265,213,1.7,3842453257,56,Back,3842453263,212,1.7,3842453267,279,S,3843093653,178,,3842453261,141,52.4,3842453259,140,49.7,e9c0v3ik308t91njildxzc6vp,M. Dabbur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471682525,3,45,1,0,1,cz4a6wmzx2obyisadhgaccx7b,0,42.2,43,2022-10-14T18:30:48.663Z,2022-10-15T04:52:26Z,3842453403,56,Back,3842453453,233,4,3842453405,285,,,,,,,,,,,,,,,,,9xl238e13utd2ondzqi51ka1h,S. Terodde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471682517,4,3,1,0,1,4l9mrqzmajz5crzlz50mtbt6x,1,57.8,57,2022-10-14T18:30:48.663Z,2022-10-15T04:52:26Z,3842453379,286,,3842453377,56,Center,3843093729,178,,3842453433,233,3,3843029717,465,,,,,,,,,,,5pousbiuqbus68yekd0mhc5pl,C. Baumgartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471682521,5,1,1,0,2,4l9mrqzmajz5crzlz50mtbt6x,0,57.6,59.8,2022-10-14T18:30:49.544Z,2022-10-15T04:52:34Z,3843093981,178,,3842453399,212,8.4,3842453401,213,5.8,3842453395,140,64.7,3842453397,141,54.1,3842453393,56,Center,,,,,,,5pousbiuqbus68yekd0mhc5pl,C. Baumgartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471800415,781,67,1,0,3,cz4a6wmzx2obyisadhgaccx7b,1,29.9,50.8,2022-10-14T18:30:50.774Z,2022-10-15T07:28:27Z,3843107209,233,791,,,,,,,,,,,,,,,,,,,,,,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471800413,791,67,1,0,3,4l9mrqzmajz5crzlz50mtbt6x,0,70.1,49.2,2022-10-14T18:30:50.775Z,2022-10-15T05:16:31Z,3843107217,233,781,,,,,,,,,,,,,,,,,,,,,,e9c0v3ik308t91njildxzc6vp,M. Dabbur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
