id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/17/value
2531035013,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-04-09T12:45:47.097Z,2023-04-09T13:29:58Z,4176426819,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176426807,30,"3z6ekzop4y7cjuatzz9ua74k5, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, 514es9hzl2skv9dl5cofgkogl, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, d0qyia80j5079xq5olbttqfl6, 1mkbxdrj3myvt6jm4tx8sywgl, 66nvc8a4kd3cyeyj3i474cudx, 9bdxi3mvkftmqts59jptqq76d, 7tj7eobo7kmk8egcbfrabe8d1, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, 5i8dbjuewybsfgyym63clfw0l, cgzcn8oo03wda4e5o0jxgy4tl, ao00a4lfe5vs9enjgkuu7vglx, 22zaq3o78o5feeogqdsvig02y, 87kc5hjp3ry2z624wty5h7g4q, 7kjhx78gpi6m3r4j1b4jdyh91, 8dq80nkl6nbdejj2ti0mb2w6i",4176426811,59,"1, 29, 25, 32, 3, 30, 19, 6, 10, 13, 14, 5, 7, 8, 11, 18, 20, 22, 23, 41",4176426809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176426817,194,9bdxi3mvkftmqts59jptqq76d,4176426815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176426813,130,8,4176641247,197,11723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531037117,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-04-09T12:47:52.475Z,2023-04-09T13:30:05Z,4176641823,197,8139,4176437049,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176437041,59,"1, 2, 6, 27, 4, 5, 22, 31, 33, 32, 16, 3, 7, 8, 12, 18, 23, 29, 36, 40",4176437047,194,acxwc7xxrtyssiy390t859kgl,4176437045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4176437039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4176437043,130,4,4176437037,30,"bfpax581lm91ebz4xgz40a191, 2mwe6l0eu1tisri3eu26fx8x6, 76h7b6dhpyotolq68f84lqifp, acxwc7xxrtyssiy390t859kgl, 7e7w34imugzsufvytjxytupd5, dodddfi0l5i36vlgbaybhzeqy, 6384gzzxuxs6pvmrn8qx4d7u1, d2ykrr75737c8bzlwhjj90vkl, b8if5dg0k9prjik99aiutewh5, 4sd2zs6d5cd4d9n3oo54lglat, b7cso5zljdvzfila9zd4fz4ve, fr9ac60188vlmtbrcddhxii1, 3es8fg7y59lckypu11i68q6s5, azcv772qzdbz1exafx3od6lt5, 53ozrqkupvt2iyi2xg0swf7px, 8ri0md3tr27a1bn10xmfkgsus, eswxx8pxqyuj7rnpvqawpej1l, bjhgmcai5irlexe7oa1g0e5sl, 4xfqhlmr91ekmt75motqxetjo, 2dxsntw3djezptdjqzu0oxi7e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531079393,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-04-09T13:30:59.540Z,2023-04-10T00:19:25Z,4176645211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531079405,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-04-09T13:30:59.540Z,2023-04-09T13:31:03Z,4176645281,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531079467,3,1,1,0,1,go76xxm0xyfgqt1h6tcrtimm,1,50,49.5,2023-04-09T13:31:01.059Z,2023-04-10T04:48:42Z,4176645583,140,40.9,4176645585,141,56.7,4178856305,178,,4176645591,279,S,4176645579,56,Back,4176645589,213,2.7,4176645587,212,10.7,,,,66nvc8a4kd3cyeyj3i474cudx,M. Thuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531119535,391,1,1,0,3,go76xxm0xyfgqt1h6tcrtimm,1,41.7,57.9,2023-04-09T13:31:03.048Z,2023-04-10T04:48:51Z,4176858055,141,52.0,4176858053,140,38.6,4178856517,178,,4176858057,212,5.2,4176858059,213,4.0,4176858051,56,Back,,,,,,,514es9hzl2skv9dl5cofgkogl,F. Neuhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531119615,392,1,1,0,3,go76xxm0xyfgqt1h6tcrtimm,1,37.2,50.7,2023-04-09T13:31:03.509Z,2023-04-10T04:48:59Z,4178856659,178,,4176858573,213,1.9,4176858569,141,79.9,4176858567,140,31.1,4176858565,56,Back,4176858571,212,20.9,,,,,,,1mkbxdrj3myvt6jm4tx8sywgl,C. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531119991,393,1,1,0,6,go76xxm0xyfgqt1h6tcrtimm,1,32.5,84.5,2023-04-09T13:31:06.467Z,2023-04-10T04:49:15Z,4178857077,178,,4176860893,141,75.1,4176860895,212,8.1,4176860897,213,4.1,4176860889,56,Back,4176860891,140,27.8,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaïni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531079487,4,1,1,0,9,go76xxm0xyfgqt1h6tcrtimm,1,21.2,81,2023-04-09T13:31:08.757Z,2023-04-10T04:49:43Z,4178857251,178,,4176645689,213,3.9,4176645681,56,Back,4176645687,212,23.4,4176645685,141,58.5,4176645683,140,4.3,,,,,,,8k5c8po5gx3vnxx36viq08xqt,N. Elvedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531079503,5,1,1,0,13,go76xxm0xyfgqt1h6tcrtimm,1,4.3,46.3,2023-04-09T13:31:13.354Z,2023-04-10T04:49:52Z,4176645767,212,21.8,4176645761,56,Back,4176645769,213,5.2,4176645765,141,17.4,4176645763,140,13.2,4178858063,178,,,,,,,,3z6ekzop4y7cjuatzz9ua74k5,J. Omlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
