id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/10/value,qualifier/17/value,assist
2478296675,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-10-28T17:31:31.844Z,2022-10-29T02:45:15Z,3877415907,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877415909,59,"1, 8, 3, 13, 5, 4, 20, 28, 11, 7, 10, 6, 9, 21, 22, 26, 27, 30, 36, 39",3877415911,130,19,3877579843,197,16262,3877415905,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, 6kge6vcoa9ocnh6tb8qznfzkl, 1psr9ra8k9j4r94p1xixagzbp, 2p48525x4ap9m81g6ode51cyd, b4q9q0qgmtz959rygieg9ln1l, dr0kn3srxtg7nuw99gjoim7e1, cjq9g6zgcxk1ceo2xzpe1qnyt, 5ndmhtdu5jfgvzuddd7fu2fh1, 26nfmfc8p2doisd9p8vtd33dh, 14fw7p4fzaxprndgxnx0gxgbt, 8kar47kxxc8f20vc9ul2ez3yt, 630sqbiu7utmkg8yw0h4ky8a2, d95i3fwjrk3ti4co645mde76x, eayipmdtzbmjgjouq10nqhcrt, f14n6d52p37nkvoo5n3i52x2h, 7llxni56g8q0yt33vhp1pt3o5, ec5ng4j3rcjwsjz1v05e1z3dh, 3h6q9lkwovcu4pynltgnzhy50",3877415915,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877579841,194,6kge6vcoa9ocnh6tb8qznfzkl,3877415913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478297425,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-10-28T17:33:32.169Z,2022-10-28T18:27:03Z,3877420057,130,2,3877420061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877420059,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877420051,30,"1sjt0nj0232gu88x50c3d16nd, drv9wksjusdgp1np315rokzit, 2ebiw2w6d76sttjh8n8871kgl, eg9xhi6wfp1duf01pcsn8vfmd, c2bhdypnqifsl8eiovtfdmyg9, djpsc1fvcnrh61c071t00gmad, 5cw4n6kdaa7imeyaiuo2pnq39, 9j1fd0mz39tl1h5che3f357md, a7x5shoc3g4ne9has4hys20ut, cfdgq8thcoghlh5d0s0pzb1sl, djggrnjp9s4p2mlbzhx6arbh1, 7wm8whndx19gcpqxtw9safljp, 1zo6iikznwkd2vuhqykt7jw7p, 6yc09eth94qsachf595dyx6fp, b2oa5dzw40auj5cgxfrp4b4r9, 88unrmh29io1zmqzxwjzuqtm2, 6q2mf0qrkt51z28b46wltxal1, ce2pidh4dpd1ccozn2lm3qtw5, bytrobr8rfp9zwbxzopr4vgno, 6ufkq71qh9wrfyaez5yi94e09",3877420623,194,2ebiw2w6d76sttjh8n8871kgl,3877420053,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877420055,59,"1, 16, 21, 29, 3, 20, 14, 8, 19, 18, 23, 2, 5, 7, 10, 12, 17, 34, 39, 40",3877572311,197,11913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478330461,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-10-28T18:32:01.515Z,2022-10-28T18:32:01Z,3877590625,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478330473,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-10-28T18:32:01.515Z,2022-10-29T08:10:46Z,3877590681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478330561,3,1,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,50.1,50.2,2022-10-28T18:32:01.565Z,2022-10-29T08:28:49Z,3877591047,279,S,3877591037,56,Back,3877591039,140,36.7,3878629757,178,,3877591041,141,39.5,3877591043,212,15.8,3877591045,213,3.6,,,,9j1fd0mz39tl1h5che3f357md,S. Serdar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478330577,4,1,1,0,2,f0w62l8zql3tukxsy8fqwp72x,1,36.7,39.5,2022-10-28T18:32:03.526Z,2022-10-29T08:28:58Z,3878629859,178,,3877591159,140,42.1,3877591161,141,6.8,3877591163,212,22.9,3877591157,56,Back,3877591165,213,5.0,,,,,,,a7x5shoc3g4ne9has4hys20ut,S. Jovetić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478330597,5,1,1,0,5,f0w62l8zql3tukxsy8fqwp72x,1,40.1,8,2022-10-28T18:32:07.363Z,2022-10-29T08:29:04Z,3877591271,140,27.3,3878629951,178,,3877591275,212,16.4,3877591273,141,21.9,3877591269,56,Back,3877591277,213,2.5,,,,,,,drv9wksjusdgp1np315rokzit,J. Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478330665,6,1,1,0,7,f0w62l8zql3tukxsy8fqwp72x,1,26.5,23.6,2022-10-28T18:32:09.264Z,2022-10-29T08:29:08Z,3877591675,140,9.1,3877591673,56,Back,3877591677,141,46.6,3877591681,213,2.4,3878629971,178,,3877591679,212,24.1,,,,,,,c2bhdypnqifsl8eiovtfdmyg9,A. Rogel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478330693,7,1,1,0,12,f0w62l8zql3tukxsy8fqwp72x,0,10.6,45.8,2022-10-28T18:32:14.444Z,2022-10-29T08:29:16Z,3877591839,212,49.9,3877591837,141,35.2,3877591835,140,57.6,3877591843,1,,3877591833,56,Center,3878630057,178,,3877591831,155,,3877591841,213,6.1,1sjt0nj0232gu88x50c3d16nd,O. Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478330769,3,1,1,0,16,cu0eztmjcsbydyp53aleznorw,0,39.7,59.7,2022-10-28T18:32:17.520Z,2022-10-29T08:29:21Z,3877592247,213,5.4,3877592237,56,Back,3878630179,388,,3877592239,140,47.1,3877592241,141,46.7,3877592235,3,,3877592243,212,11.8,,,,2p48525x4ap9m81g6ode51cyd,N. Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
