id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/12/value,assist,qualifier/17/value,qualifier/18/value,qualifier/19/value
2448584435,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-08-20T15:44:41.996Z,2022-08-20T16:32:57Z,3719466147,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3719466149,59,"21, 39, 22, 4, 2, 32, 27, 44, 11, 18, 7, 8, 10, 19, 23, 24, 25, 34, 38",3719466157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719466153,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3719666505,197,16394,3719466151,130,19,3719466145,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 2uz1cmslnjjzsgfcgji26kqg9, eapihgte8ydc4g6hzygsx2e39, 95gjm3yk75rmwyneb350zoktm, 9prtaifv6stlujgywgq4wd08a, 1qthvf5krys0pzk24h8wtr9at, axj39lx25teh62rih6uv9qor9, 2pjr6yz65f4uqvwniy4vphn85, 1j0a3ml1zglc9s31yentfckb9, 4gq1u1mqg0qzekh1u5djleeax, 7o3fumeufgigw092b7i5n4f6x, ckox9w95duwhmt72xxk7lt2vp, dhhmffih4gl51nlu92hfctqs5, 4qkv71pjmzw66crfaktr6tihh, 1s1v1tweyx8wxc9hj2jrnaggl, c0rzlb9gffcwfrcpzd40ob7fu, dg4xtfca5bvigpvhahsijl756, 8zmj7mo9zxsoo5trhmmgmgb56",3719466155,194,eapihgte8ydc4g6hzygsx2e39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448584673,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-08-20T15:44:48.838Z,2022-08-20T16:34:49Z,3719467467,30,"8l1mv5qd9vwade754v3l8epjp, 52t6t7cdsr0fjs9ukmwo9y7rp, cl6720rdjeubt0bc3su0qg3qh, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, 87jamhsc8ps9kh5432u36kjc9, f0x3pa532agezdjdzcsp94l49, 24vavcwn4hco5je9kdu9ciwgl, 5xhjvappzv6swoof5qpi0yj9, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, 9qzxygb9hyzag1szans0k2jth, 1ywfkwrcysdlvkt859q00kt7t, 5pnfmmq8b8jxmp1qnf82d8out, 602fyni27c129xjs9ziyn5as5, 7424gvk9hiq5up61dj181y66t, emtrl7rrhp3ybsibf1f89kyj9, 254i1zsifi2er9rvuxgi9katx, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy",3719668045,194,52t6t7cdsr0fjs9ukmwo9y7rp,3719467469,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3719467479,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3719467471,59,"1, 28, 6, 4, 31, 3, 13, 19, 45, 27, 8, 2, 5, 11, 14, 17, 23, 24, 37, 40",3719467473,130,12,3719668047,197,16256,3719467475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623821,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-08-20T16:31:21.522Z,2022-08-20T16:31:22Z,3719670525,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623869,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-08-20T16:31:21.522Z,2022-08-21T01:37:34Z,3719670753,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623885,3,1,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,50,50,2022-08-20T16:31:21.621Z,2022-08-21T01:45:33Z,3719670839,279,S,3719670837,213,3.2,3719670831,140,36.7,3721663195,178,,3719670833,141,48.8,3719670835,212,14.0,3719670829,56,Back,,,,2pjr6yz65f4uqvwniy4vphn85,T. Werner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623903,4,1,1,0,3,9gefq4dz9b2hl8rqrxwrlrzmp,1,37.6,46.6,2022-08-20T16:31:25.231Z,2022-08-21T01:45:40Z,3719670927,213,4.5,3719670919,56,Back,3719670925,212,14.0,3719670921,140,34.6,3719670923,141,26.5,3721663975,178,,,,,,,,axj39lx25teh62rih6uv9qor9,K. Kampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623931,5,1,1,0,6,9gefq4dz9b2hl8rqrxwrlrzmp,1,34.6,26.5,2022-08-20T16:31:27.820Z,2022-08-21T01:45:44Z,3719671069,212,8.5,3719671067,141,32.8,3719671065,140,27.6,3719671071,213,2.6,3721664361,178,,3719671063,56,Back,,,,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448623991,6,1,1,0,8,9gefq4dz9b2hl8rqrxwrlrzmp,1,27.9,29.2,2022-08-20T16:31:30.090Z,2022-08-21T01:45:48Z,3719671249,56,Back,3719671257,213,5.4,3719671255,212,21.6,3719671253,141,5.0,3719671251,140,41.2,3721664533,178,,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449101483,969,83,1,0,11,a8d2gb2nag8fy0itbuxmcibh2,1,61.1,96.2,2022-08-20T16:31:32.571Z,2022-08-21T06:58:25Z,3722261971,399,180167,,,,,,,,,,,,,,,,,,,,,,52t6t7cdsr0fjs9ukmwo9y7rp,C. Trimmel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448624009,7,1,1,0,11,9gefq4dz9b2hl8rqrxwrlrzmp,1,41.7,5.3,2022-08-20T16:31:32.642Z,2022-08-21T01:45:51Z,3719671297,56,Center,3719671299,140,54.7,3719671303,212,20.3,3719671293,155,,3719671301,141,27.3,3721664741,178,,3719671305,213,0.8,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
