id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value
2500566693,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-01-25T18:30:49.585Z,2023-01-25T19:30:09Z,3994701339,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994701337,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994701329,30,"61xxo4zsk6hby0swa756l3wlx, 5arng6g4ietx2jwgcd2kpqdpl, egmcpa7j5clzga5m0zvg2f105, b6woton2db3w4rm67vu69buy2, tedxo29s8xx0a71z6sidw7v9, 3j2pv0methgc8k8rtqbi079p1, 3er9krmf0k6dhv6f9ltztfend, 4kolmisdpprx0wrahisadl5n9, d9jj0525pm3nu9vqewtpo2rpx, 1ic5mnwhm510mptrxz04zmtm2, avk9yje6h4nndg3cufnbu2imt, 6xjbcik3a56d0vqy4vrq5eokp, 1ie7ml2v6772ek2u8q7wl1awa, aybzlrbkvnobkazjsmox975jp, 3yiwkcfbwy0sfnecr9sy9695h, d8h5ge9ust20o7us968acnsnp, bs6f5ag1f47ropxefrybtaktl, 9bzlvn0twr2b5z30k30gugw5x, 5q3ft0wiy6lsy937j7nw6msq1, 840353qq4b6ufh0hhm9o0n45x",3994773849,197,16596,3994701331,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994701333,59,"1, 2, 3, 27, 6, 19, 10, 13, 11, 7, 9, 38, 45, 14, 17, 20, 23, 24, 30, 40",3994701335,130,2,3994773529,194,tedxo29s8xx0a71z6sidw7v9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500567599,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-01-25T18:35:50.693Z,2023-01-25T19:29:10Z,3994706557,130,8,3994706559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994706555,59,"1, 18, 25, 17, 3, 30, 19, 8, 10, 6, 14, 48, 5, 7, 11, 20, 24, 29, 32, 41",3994706551,30,"3z6ekzop4y7cjuatzz9ua74k5, ao00a4lfe5vs9enjgkuu7vglx, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, d0qyia80j5079xq5olbttqfl6, 5i8dbjuewybsfgyym63clfw0l, 66nvc8a4kd3cyeyj3i474cudx, 1mkbxdrj3myvt6jm4tx8sywgl, 7tj7eobo7kmk8egcbfrabe8d1, c3xzgcjooby28l0ntz5uy5rtg, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, 22zaq3o78o5feeogqdsvig02y, dwx1vmtmeiiokfqv18g7cb1lh, 43eq31reskwn9veb3vickralm, 514es9hzl2skv9dl5cofgkogl, 8dq80nkl6nbdejj2ti0mb2w6i",3994706553,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994773509,197,15460,3994773507,194,1mkbxdrj3myvt6jm4tx8sywgl,3994706561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581189,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-01-25T19:31:04.106Z,2023-01-25T19:31:05Z,3994776541,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581183,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-01-25T19:31:04.106Z,2023-01-26T09:20:36Z,3994776515,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581193,3,1,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,50.1,50,2023-01-25T19:31:04.174Z,2023-01-26T09:28:49Z,3994776549,140,30.4,3994776557,279,S,3994776547,56,Back,3994776555,213,3.2,3995400305,178,,3994776553,212,20.7,3994776551,141,49.6,,,,d9jj0525pm3nu9vqewtpo2rpx,M. Berisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581221,4,1,1,0,3,ex3psl8e3ajeypwjy4xfltpx6,0,30.7,49.6,2023-01-25T19:31:07.460Z,2023-01-26T09:28:53Z,3994776681,155,,3994776683,56,Left,3994776685,140,72.8,3994776691,213,0.5,3994776693,1,,3995400329,178,,3994776689,212,49.7,3994776687,141,83.1,tedxo29s8xx0a71z6sidw7v9,J. Gouweleeuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581215,3,44,1,0,6,go76xxm0xyfgqt1h6tcrtimm,1,28.5,22.3,2023-01-25T19:31:10.404Z,2023-01-26T10:31:50Z,3994776717,233,5,3994776653,56,Back,3994776655,285,,,,,,,,,,,,,,,,,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581225,5,44,1,0,6,ex3psl8e3ajeypwjy4xfltpx6,0,71.5,77.7,2023-01-25T19:31:10.405Z,2023-01-26T09:28:56Z,3994776729,233,3,3994776699,56,Center,3994776701,286,,,,,,,,,,,,,,,,,1ic5mnwhm510mptrxz04zmtm2,D. Beljo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581217,4,1,1,0,6,go76xxm0xyfgqt1h6tcrtimm,0,28.6,21.8,2023-01-25T19:31:10.512Z,2023-01-26T10:31:50Z,3994776665,212,10.0,3994776663,141,24.3,3994776661,140,38.0,3995400371,388,,3994776657,3,,3994776659,56,Back,3994776667,213,0.2,,,,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581265,6,1,1,0,7,ex3psl8e3ajeypwjy4xfltpx6,1,65.7,77.9,2023-01-25T19:31:11.858Z,2023-01-26T09:29:07Z,3994776825,213,5.6,3995400397,388,,3994776821,141,60.8,3994776823,212,18.6,3994776815,155,,3994776817,56,Center,3994776819,140,79.5,,,,4kolmisdpprx0wrahisadl5n9,E. Rexhbeçaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
