id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/18/value,assist
2460964895,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-09-17T12:39:13.161Z,2022-09-17T13:30:05Z,3785357515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785406581,194,3kti58d195gmtzwrjh5nprx05,3785357507,30,"5bzowvtg5vhntcx1w3roriehh, 3havaatbnk8p6gc9srgajc25l, e9u7cmvaem5p7x9px3yq9f179, 8p2yagsx6ujdbmeonkd3u4c89, 3uqn1adw8rarez1gpen9vng7p, 5l8wtw156meo2vrtrgasif6jt, 3kti58d195gmtzwrjh5nprx05, 9dnne0ny6o6d5c6w3ayoo4vvu, bmrdtenqr84jt4gmw6i7wez11, 9fd19beamnr8qmhqdvzr7fcyy, a4p1m3cqm6z2p1bw97s6k46ad, d1gc59ozyrrnl82rog6fbm0dm, 9ic8hvnkzj9p0ikh6bwaeoqju, 49epln99aa2797cs2zq3al1t6, 7gzdg0j9usc3yq0dd1ad57sgl, 80nniieqtuwjhomwjcebnxyzu, 1en0bgq0u842snszevlkscxk9, 62gct49oglcdzxafhrfucrb2t, drilzqlcwryze12o4c9zpma96, b5mpbec03n9qatneviazigfvu",3785357509,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785357517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785357511,59,"1, 22, 24, 21, 2, 5, 3, 32, 9, 14, 16, 8, 10, 11, 15, 25, 28, 33, 37, 39",3785573367,197,16195,3785357513,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460968717,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-09-17T12:43:10.345Z,2022-09-17T13:27:24Z,3785377113,30,"7obuhegyo1qcoikt23egcsr85, a3ib09ji7qsz6cgj3vmz5qort, byn8dfwg5zdefrca7wgn32qne, efzokrggje7s9wc6hg75yc6ax, 8kqmsuo668wpuzoyyxf4o2vo5, bd4p670s36cp1dh4fadv84qcq, 78e1qvft3ser2tyayjlmemdp1, 7cdiijsvnfc7tafy0zkf4uz9, g3fgd752o63acmmuahdvppm1, az15xx7m923srf9gdbwmiyga1, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, 9ed74dfr9aeuedaf63l0i7aei, 2x5f35hk2urqlgoito1vgb3yt, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, f5lfo1hz7u5bk494w53arcacq, 86n8m70b8059d92vcv98nm0dm, 6rz47c6i1e4umc7kbh961x5ud, f2ibn3ej2doay3b4u8ezeix62",3785563045,197,16259,3785377121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785377117,59,"1, 6, 36, 2, 20, 35, 17, 8, 9, 15, 27, 5, 11, 19, 21, 22, 26, 28, 31, 40",3785377119,130,17,3785377123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785377115,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785407945,194,78e1qvft3ser2tyayjlmemdp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461007629,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-09-17T13:32:45.172Z,2022-09-17T20:34:48Z,3785585651,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461007653,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-09-17T13:32:45.172Z,2022-09-17T13:32:46Z,3785585753,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461007725,3,1,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,50,49.5,2022-09-17T13:32:45.235Z,2022-09-17T21:49:41Z,3785586063,56,Back,3785586075,212,20.0,3785586069,140,31.5,3785586071,141,56.3,3788251017,178,,3785586079,213,2.9,3785586083,279,S,,,,9fd19beamnr8qmhqdvzr7fcyy,S. Katompa Mvumpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461007789,4,1,1,0,4,3dwlvz6cl4lcavvrg0y2dycrt,0,31.1,57.5,2022-09-17T13:32:49.733Z,2022-09-17T22:02:56Z,3785586385,141,10.1,3785586383,140,67.7,3788270267,178,,3785586391,1,,3785586381,56,Right,3785586379,155,,3785586387,212,50.2,3785586389,213,5.6,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461007823,3,49,1,0,7,c5hderjlkcoaze51e5wgvptk,1,32.6,85.5,2022-09-17T13:32:52.934Z,2022-09-17T22:03:18Z,,,,,,,,,,,,,,,,,,,,,,,,,byn8dfwg5zdefrca7wgn32qne,A. Knauff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461007843,4,3,1,0,9,c5hderjlkcoaze51e5wgvptk,0,37,90.4,2022-09-17T13:32:54.950Z,2022-09-17T22:03:30Z,3785586627,286,,3785586981,233,5,3787061765,464,,3788271119,178,,3785586625,56,Back,,,,,,,,,,byn8dfwg5zdefrca7wgn32qne,A. Knauff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461007903,5,7,1,0,9,3dwlvz6cl4lcavvrg0y2dycrt,1,63,9.6,2022-09-17T13:32:55.100Z,2022-09-17T22:03:40Z,3788271431,178,,3785586945,233,4,3787062115,385,,3785586897,56,Right,3785586899,285,,3785586895,167,,,,,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461008179,5,5,1,0,10,c5hderjlkcoaze51e5wgvptk,1,38.9,101.1,2022-09-17T13:32:55.691Z,2022-09-17T22:03:47Z,3785588359,347,,3785588357,56,Back,3785588409,233,6,,,,,,,,,,,,,,,,byn8dfwg5zdefrca7wgn32qne,A. Knauff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
