id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/11/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/13/value,qualifier/17/value
2442452975,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-08-06T12:34:32.823Z,2022-08-06T13:29:04Z,3686879107,59,"1, 29, 25, 17, 3, 30, 23, 6, 10, 32, 14, 7, 11, 15, 18, 21, 22, 24, 27, 38",3686879109,130,8,3686998159,194,bagn0ce4xunsiz3mezrtqx1p1,3686879105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686879111,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686879103,30,"bagn0ce4xunsiz3mezrtqx1p1, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 1mkbxdrj3myvt6jm4tx8sywgl, 66nvc8a4kd3cyeyj3i474cudx, 514es9hzl2skv9dl5cofgkogl, 7tj7eobo7kmk8egcbfrabe8d1, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, cjbvvgkjx0ume03o3mjgw3ox5, ao00a4lfe5vs9enjgkuu7vglx, slsd8022q9s3uugsafaqt2ol, 87kc5hjp3ry2z624wty5h7g4q, dwx1vmtmeiiokfqv18g7cb1lh, bc5vmdnoyshdi5hcgu8dgqxyi, 2fadtqb0v2zreactvdosbxy50",3686879115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686998161,197,11723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442454605,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-08-06T12:37:45.014Z,2022-08-06T13:28:50Z,3686887017,30,"cm8po8ez5w9ms01gid6w3kwk5, shbxc528h0udd6rdf3ax2itx, arwidogdfccsjv8fxa1veezf9, 6ki6rv564ybctrajr2xtgyeax, elh8kttxq9xfpoqfmpxv9jr2t, 1po7tmdv73zfjentt0p20wdlh, 57c808184l80uuuv7z3flcu6t, 5pousbiuqbus68yekd0mhc5pl, ew18qvvupaejxubhqmxmbd39x, e8ekkg0yayhhmmhinl0v9une, c1nt67z429kirthuhkdxouor9, 9dnrpl2c7n769i8nbfnboq2tx, e9c0v3ik308t91njildxzc6vp, 3rj7x05qx17n925xfpcrl0jpx, 8um4xh0ekvr4q6uti3ksld8q2, 6yhylu5q0y924amgv7vlodkgl, 980t379w5cp7umv1eltwlfca1, 65v1s740zfmpwkc0z1v3aisd0, 6k3daudjhieulsgywbt9uoep6, 6sj31v61vtwwxe5hhwkj80g7o",3686887019,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686997717,197,16294,3686887029,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686887027,194,cm8po8ez5w9ms01gid6w3kwk5,3686887025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686887021,59,"1, 3, 29, 5, 22, 38, 6, 14, 27, 33, 18, 7, 10, 16, 20, 25, 34, 35, 37, 39",3686887023,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476283,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-08-06T13:30:51.172Z,2022-08-06T13:30:51Z,3687002537,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476291,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-08-06T13:30:51.172Z,2022-08-07T02:17:34Z,3687002565,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476387,3,1,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,50.1,50,2022-08-06T13:30:51.228Z,2022-08-07T04:12:08Z,3687003007,56,Back,3687003009,140,42.8,3687003019,213,3.0,3687003021,279,S,3690421707,178,,3687003015,212,7.7,3687003011,141,51.2,,,,ew18qvvupaejxubhqmxmbd39x,A. Kramarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443109577,702,43,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-08-06T13:30:51.832Z,2022-08-07T04:12:46Z,3690410825,178,0,3690422833,144,82,,,,,,,,,,,,,,,,,,,c1nt67z429kirthuhkdxouor9,D. Samassékou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476393,4,1,1,0,1,4l9mrqzmajz5crzlz50mtbt6x,1,42.8,51.2,2022-08-06T13:30:52.749Z,2022-08-07T04:13:42Z,3687003043,213,3.2,3687003037,140,25.4,3687003039,141,50.0,3687003041,212,18.3,3690422353,178,,3687003035,56,Back,,,,,,,c1nt67z429kirthuhkdxouor9,D. Samassékou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443109649,703,43,1,0,2,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-08-06T13:30:53.948Z,2022-08-07T04:12:48Z,3690411239,178,0,3690422903,144,82,,,,,,,,,,,,,,,,,,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443109659,704,43,1,0,3,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-08-06T13:30:54.880Z,2022-08-07T04:12:50Z,3690422949,144,82,3690411293,178,0,,,,,,,,,,,,,,,,,,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442476397,5,1,1,0,4,4l9mrqzmajz5crzlz50mtbt6x,1,29.3,53.1,2022-08-06T13:30:55.784Z,2022-08-07T04:13:50Z,3687003057,212,13.9,3687003059,213,1.8,3690425163,178,,3687003055,141,72.9,3687003053,140,26.0,3687003051,56,Back,,,,,,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
