id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2485275543,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-11-13T13:47:57.970Z,2022-11-13T14:37:10Z,3913992869,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913992867,130,17,3913992861,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, 6uurhe88nry4hyelll8ifzd91, ernbjicg113inzsubzrfm8fyt, bvifdvoxv9e8nq8qe37c0gvrp, l469vtpe0jbgg5sq1v2e67e1, d608s0948uh3owqee7t0en7px, dzolxp2oixtakcrqfyibpu76d, az7owi5t4bclkamjsjuyxzv1l, d3tfdqfnab7bqxfdh3399y06i, d2gbcc336c4zatpiif4cvm2fp, 2w76r8guf9sacoriu0ivytyax, bwqqecmqm76v5b83v1cz891p1, d9q12xp4h8nhtjxl5il3vufh1, 4rgz5z372h6sbwhpxl69cb6c5, 24w7jq5qou30k8f76lmr20ju2, 6u47fsriz3ejlf72hxtsew5bd, amd4rodp6senk2c1mmlsqozpx, 3n2imac1yp8jppsf36a4qg76y",3913992865,59,"27, 30, 3, 20, 42, 16, 8, 31, 9, 6, 29, 1, 4, 7, 10, 11, 17, 19, 21, 37",3914200325,197,11885,3913992863,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3913992873,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913992871,194,4baqlwfu312pctopy1cx6s2c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485275621,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-11-13T13:48:03.552Z,2022-11-13T14:28:13Z,3913993247,194,7obuhegyo1qcoikt23egcsr85,3913993241,59,"1, 26, 36, 2, 6, 35, 15, 8, 9, 29, 27, 5, 11, 17, 18, 19, 21, 28, 33, 40",3913993249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914115881,197,16259,3913993239,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3913993237,30,"7obuhegyo1qcoikt23egcsr85, f5lfo1hz7u5bk494w53arcacq, byn8dfwg5zdefrca7wgn32qne, efzokrggje7s9wc6hg75yc6ax, a3ib09ji7qsz6cgj3vmz5qort, bd4p670s36cp1dh4fadv84qcq, az15xx7m923srf9gdbwmiyga1, 7cdiijsvnfc7tafy0zkf4uz9, g3fgd752o63acmmuahdvppm1, 5ph2ln91ycq1qlq03cnqqs9re, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, 9ed74dfr9aeuedaf63l0i7aei, 78e1qvft3ser2tyayjlmemdp1, abuvjv3bhb402yf8p92kucez9, 2x5f35hk2urqlgoito1vgb3yt, bgtnbojs8g884mbksh6o4wu6t, 86n8m70b8059d92vcv98nm0dm, d7xdtkzw3h749ngi4sobn6kmh, f2ibn3ej2doay3b4u8ezeix62",3913993245,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3913993243,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485319589,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-11-13T14:31:28.424Z,2022-11-14T02:10:35Z,3914210469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485319549,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-11-13T14:31:28.424Z,2022-11-13T14:31:28Z,3914210273,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485319603,3,1,1,0,0,c5hderjlkcoaze51e5wgvptk,1,50,48.7,2022-11-13T14:31:28.445Z,2022-11-14T02:30:37Z,3914210535,212,20.9,3914210533,141,52.6,3914210531,140,30.3,3914210537,213,3.0,3914210539,279,S,3916081789,178,,3914210529,56,Back,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485319629,4,43,1,0,2,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-11-13T14:31:31.024Z,2022-11-13T15:30:28Z,3914210665,212,10.0,3914490185,144,1,3914210659,56,Back,3914210663,141,61.4,3914210667,213,2.8,3914210661,140,26.7,,,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485319681,5,1,1,0,2,c5hderjlkcoaze51e5wgvptk,0,26.6,61.4,2022-11-13T14:31:31.382Z,2022-11-14T02:30:45Z,3914210949,56,Center,3914210947,155,,3916081837,178,,3914210955,212,47.8,3914210953,141,35.7,3914210957,213,5.9,3914210951,140,69.0,3914210959,1,,a3ib09ji7qsz6cgj3vmz5qort,K. Jakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485319755,3,1,1,0,5,1c7qokc1j5z50cjj4tcu32haa,1,27.4,61.2,2022-11-13T14:31:34.372Z,2022-11-14T02:30:51Z,3914211287,56,Back,3916081853,388,,3914211289,140,28.8,3914211293,212,6.5,3914211295,213,4.9,3914211285,3,,3914211291,141,51.9,,,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485319759,4,44,1,0,8,1c7qokc1j5z50cjj4tcu32haa,1,30.2,57.4,2022-11-13T14:31:36.473Z,2022-11-14T06:41:23Z,3914211371,233,6,3914211311,56,Back,3914211313,285,,,,,,,,,,,,,,,,,l469vtpe0jbgg5sq1v2e67e1,L. Barreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485319737,6,44,1,0,8,c5hderjlkcoaze51e5wgvptk,0,69.8,42.6,2022-11-13T14:31:36.474Z,2022-11-14T02:31:10Z,3914211389,233,4,3914211201,286,,3914211197,56,Center,,,,,,,,,,,,,,,,g3fgd752o63acmmuahdvppm1,R. Kolo Muani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
