id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2445439897,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-08-13T15:36:26.178Z,2022-08-14T00:25:25Z,3702771847,130,2,3703040709,194,9xl238e13utd2ondzqi51ka1h,3702771841,30,"dvo2f7d0yosn404wsrsgeprdh, f3xm12deg7xf3g2n3yk11npat, 8kydif03gk6apce8xwl9w3ht5, dgysidzshgxqm3jegaihwi5wq, cfpaejad8i9p2r1fj0wx0g222, 4fvtwbl1hrxgs9lg957rxladx, bax0ggbhejk7kpcezkyg3hai2, 9taxidttdt94nmvc3mqhqq0ut, 6b7p3ncup75mpop91n0u1mw2d, 9xl238e13utd2ondzqi51ka1h, 5qc0owkwmgk74qy13ft3kpg5, aahyom322jdc6f21960ycuzth, 8td0ccul6gf7r5benk1pxqrx1, 8n0dskalmx94ofiq6jewa22tx, 58jjd14yvf4d6tvqcz4xo3a7e, 1n0y675l767w55pipq5lgj1zp, bjjll8tgbxink1ly3gmw5w4ph, 8czesxhh2bedy0ukqb95rk82d, w2jovd0ta6to004lvlri5gtm, 9e4xq8tojxnrntko58ni4s7sa",3702771845,59,"13, 27, 2, 6, 33, 4, 10, 30, 11, 9, 29, 7, 1, 8, 17, 20, 35, 40, 41, 42",3703040711,197,6345,3702771849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702771843,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3702771851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445443497,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-08-13T15:38:24.381Z,2022-08-13T16:30:53Z,3702791575,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702791571,130,8,3702791569,59,"1, 29, 25, 17, 3, 30, 23, 6, 10, 32, 14, 5, 7, 11, 18, 20, 21, 24, 27, 38",3703043135,197,11724,3702791555,30,"bagn0ce4xunsiz3mezrtqx1p1, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 1mkbxdrj3myvt6jm4tx8sywgl, 66nvc8a4kd3cyeyj3i474cudx, 514es9hzl2skv9dl5cofgkogl, 7tj7eobo7kmk8egcbfrabe8d1, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, ao00a4lfe5vs9enjgkuu7vglx, 22zaq3o78o5feeogqdsvig02y, slsd8022q9s3uugsafaqt2ol, dwx1vmtmeiiokfqv18g7cb1lh, bc5vmdnoyshdi5hcgu8dgqxyi, 2fadtqb0v2zreactvdosbxy50",3702791557,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3702791573,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3703043133,194,bagn0ce4xunsiz3mezrtqx1p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445491427,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-08-13T16:31:51.483Z,2022-08-13T16:31:51Z,3703046101,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445491445,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-08-13T16:31:51.483Z,2022-08-14T10:30:03Z,3703046189,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445491501,3,1,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,50,50,2022-08-13T16:31:51.591Z,2022-08-14T11:05:11Z,3703046451,140,39.7,3703046455,212,13.4,3703046457,213,3.8,3703046459,279,S,3703046449,56,Back,3706026107,178,,3703046453,141,38.3,,,,66nvc8a4kd3cyeyj3i474cudx,M. Thuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445491533,4,1,1,0,3,go76xxm0xyfgqt1h6tcrtimm,1,38.4,37.4,2022-08-13T16:31:54.597Z,2022-08-14T11:05:21Z,3703046613,212,7.4,3706026537,178,,3703046607,56,Back,3703046609,140,31.9,3703046611,141,33.3,3703046615,213,3.5,,,,,,,1mkbxdrj3myvt6jm4tx8sywgl,C. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445491565,5,1,1,0,7,go76xxm0xyfgqt1h6tcrtimm,1,33.8,37.7,2022-08-13T16:31:59.254Z,2022-08-14T11:05:29Z,3703046787,140,31.6,3703046785,56,Back,3706026817,178,,3703046789,141,62.0,3703046797,213,1.7,3703046793,212,16.7,,,,,,,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445491587,6,1,1,0,10,go76xxm0xyfgqt1h6tcrtimm,1,30.4,63.6,2022-08-13T16:32:02.438Z,2022-08-14T11:05:36Z,3706027145,178,,3703046937,56,Back,3703046941,141,49.1,3703046945,213,3.7,3703046939,140,15.7,3703046943,212,18.3,,,,,,,8k5c8po5gx3vnxx36viq08xqt,N. Elvedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445491643,7,1,1,0,13,go76xxm0xyfgqt1h6tcrtimm,1,15.7,49.1,2022-08-13T16:32:04.954Z,2022-08-14T11:05:41Z,3703047243,212,21.5,3706027343,178,,3703047239,140,28.4,3703047245,213,5.4,3703047241,141,24.3,3703047237,56,Back,,,,,,,bagn0ce4xunsiz3mezrtqx1p1,Y. Sommer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445491663,8,1,1,0,17,go76xxm0xyfgqt1h6tcrtimm,1,31.9,33.4,2022-08-13T16:32:09.254Z,2022-08-14T11:05:45Z,3703047357,141,67.9,3703047355,140,33.9,3703047361,213,1.5,3703047359,212,23.6,3703047353,56,Back,3706027531,178,,,,,,,,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
