id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,assist,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2483656145,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-11-09T18:37:09.773Z,2022-11-09T19:29:19Z,3905556293,59,"1, 26, 36, 2, 6, 35, 15, 8, 9, 29, 27, 5, 11, 18, 19, 21, 22, 28, 33, 40",3905588849,197,14121,3905697731,194,7obuhegyo1qcoikt23egcsr85,3905556289,30,"7obuhegyo1qcoikt23egcsr85, f5lfo1hz7u5bk494w53arcacq, byn8dfwg5zdefrca7wgn32qne, efzokrggje7s9wc6hg75yc6ax, a3ib09ji7qsz6cgj3vmz5qort, bd4p670s36cp1dh4fadv84qcq, az15xx7m923srf9gdbwmiyga1, 7cdiijsvnfc7tafy0zkf4uz9, g3fgd752o63acmmuahdvppm1, 5ph2ln91ycq1qlq03cnqqs9re, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, 9ed74dfr9aeuedaf63l0i7aei, abuvjv3bhb402yf8p92kucez9, 2x5f35hk2urqlgoito1vgb3yt, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, 86n8m70b8059d92vcv98nm0dm, d7xdtkzw3h749ngi4sobn6kmh, f2ibn3ej2doay3b4u8ezeix62",3905556291,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3905556297,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905556299,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905556295,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483658521,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-11-09T18:40:31.608Z,2022-11-09T20:11:03Z,3905567383,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905589269,197,16294,3905567381,130,12,3905567375,30,"cm8po8ez5w9ms01gid6w3kwk5, shbxc528h0udd6rdf3ax2itx, 9uthj64y9f77y63tq7did539x, 6ki6rv564ybctrajr2xtgyeax, elh8kttxq9xfpoqfmpxv9jr2t, 5neiwdz7rtkhzj0cneic4xcoa, 65v1s740zfmpwkc0z1v3aisd0, ew18qvvupaejxubhqmxmbd39x, 5pousbiuqbus68yekd0mhc5pl, e8ekkg0yayhhmmhinl0v9une, f3v95yyj6j7h7qpprxm4zlre1, 9dnrpl2c7n769i8nbfnboq2tx, 7hnmtyfmurizitwz1whecjnmy, 3rj7x05qx17n925xfpcrl0jpx, 8um4xh0ekvr4q6uti3ksld8q2, 6yhylu5q0y924amgv7vlodkgl, arwidogdfccsjv8fxa1veezf9, 980t379w5cp7umv1eltwlfca1, cuyxfn9e3wl88o04sjjv812i, 1yjv2fht4kuph088zlgwfwup6",3905567379,59,"1, 3, 11, 5, 22, 26, 35, 27, 14, 33, 8, 7, 13, 16, 20, 25, 29, 34, 36, 44",3905567377,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3905567387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3905567385,194,cm8po8ez5w9ms01gid6w3kwk5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483686291,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-11-09T19:30:27.524Z,2022-11-10T08:04:10Z,3905699341,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483686301,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-11-09T19:30:27.524Z,2022-11-09T19:30:28Z,3905699389,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483686319,3,1,1,0,0,c5hderjlkcoaze51e5wgvptk,1,50,49.8,2022-11-09T19:30:27.554Z,2022-11-10T09:25:36Z,3905699473,141,49.7,3905699471,140,33.8,3905699469,56,Back,3905699475,212,17.0,3905699479,279,S,3905699477,213,3.1,3906803775,178,,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483686345,4,1,1,0,2,c5hderjlkcoaze51e5wgvptk,1,31.5,47,2022-11-09T19:30:30.199Z,2022-11-10T09:25:45Z,3905699583,1,,3905699571,155,,3905699573,56,Center,3905699581,213,5.9,3905699577,141,27.7,3905699579,212,36.1,3905699575,140,63.5,3906804781,178,,a3ib09ji7qsz6cgj3vmz5qort,K. Jakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483686361,5,1,1,0,5,c5hderjlkcoaze51e5wgvptk,0,63.5,29.5,2022-11-09T19:30:32.778Z,2022-11-10T09:25:48Z,3905699673,212,8.2,3905699669,141,32.2,3905699665,56,Center,3905699667,140,71.1,3906804869,388,,3905699663,168,,3905699661,3,,3905699677,213,0.2,5ph2ln91ycq1qlq03cnqqs9re,J. Lindstrøm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483686365,3,49,1,0,5,4l9mrqzmajz5crzlz50mtbt6x,1,27.6,69.4,2022-11-09T19:30:33.472Z,2022-11-10T09:25:52Z,,,,,,,,,,,,,,,,,,,,,,,,,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483686385,4,1,1,0,7,4l9mrqzmajz5crzlz50mtbt6x,0,28.6,69,2022-11-09T19:30:34.959Z,2022-11-10T09:25:55Z,3905699799,141,75.9,3905699805,1,,3905699795,56,Center,3905699797,140,61.4,3905699801,212,34.8,3906804991,178,,3905699803,213,0.1,3905699793,155,,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483686395,6,1,1,0,9,c5hderjlkcoaze51e5wgvptk,0,36.3,19.6,2022-11-09T19:30:37.074Z,2022-11-10T09:25:58Z,3905699859,157,,3905699867,212,7.3,3905699869,213,0.3,3905699865,141,23.1,3905699871,1,,3905699863,140,42.9,3905699861,56,Back,3906805075,178,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
