id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist
2518239379,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-03-11T13:35:12.280Z,2023-03-11T14:34:04Z,4087823205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088126731,197,14121,4087823201,59,"1, 24, 32, 2, 20, 35, 17, 8, 9, 19, 27, 5, 6, 11, 15, 21, 22, 25, 30, 40",4087823197,30,"7obuhegyo1qcoikt23egcsr85, e91s5lp3fvfaav8w8xi7wdx3p, 5mbkc1nqmirbtfml9aklqr5xx, efzokrggje7s9wc6hg75yc6ax, 8kqmsuo668wpuzoyyxf4o2vo5, bd4p670s36cp1dh4fadv84qcq, 78e1qvft3ser2tyayjlmemdp1, 7cdiijsvnfc7tafy0zkf4uz9, g3fgd752o63acmmuahdvppm1, 2x5f35hk2urqlgoito1vgb3yt, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, a3ib09ji7qsz6cgj3vmz5qort, 9ed74dfr9aeuedaf63l0i7aei, az15xx7m923srf9gdbwmiyga1, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, 3qy1qlzezgfkxeom5n1r9h13p, 42eyoeidtcnf2l4eag73qp36y, f2ibn3ej2doay3b4u8ezeix62",4087823209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087823207,194,78e1qvft3ser2tyayjlmemdp1,4087823199,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087823203,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518244091,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-03-11T13:39:35.077Z,2023-03-11T14:20:18Z,4087847967,30,"62gct49oglcdzxafhrfucrb2t, 3uqn1adw8rarez1gpen9vng7p, e9u7cmvaem5p7x9px3yq9f179, a4p1m3cqm6z2p1bw97s6k46ad, 5l8wtw156meo2vrtrgasif6jt, 8p2yagsx6ujdbmeonkd3u4c89, 3kti58d195gmtzwrjh5nprx05, 254i1zsifi2er9rvuxgi9katx, 49epln99aa2797cs2zq3al1t6, 2tdxcr1wkubis5n81sg4pzyz9, 9ic8hvnkzj9p0ikh6bwaeoqju, 5bzowvtg5vhntcx1w3roriehh, bibz1qxakmbflq73marmo4nop, 5eym30brgmujovaeyb6dhhgfe, d1gc59ozyrrnl82rog6fbm0dm, 9fd19beamnr8qmhqdvzr7fcyy, 4nn6rxyzy97wl4ppqqnhhxyax, 3havaatbnk8p6gc9srgajc25l, 4xhnmoqgxoheel005ek6ckfs9, 1en0bgq0u842snszevlkscxk9",4087847971,59,"33, 2, 24, 16, 5, 21, 3, 17, 11, 31, 10, 1, 4, 7, 8, 14, 20, 22, 23, 28",4087847975,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087847969,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087847977,194,3kti58d195gmtzwrjh5nprx05,4087847973,130,4,4088055947,197,16196,4087847979,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292509,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-03-11T14:30:22.573Z,2023-03-11T14:30:22Z,4088105129,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292527,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-03-11T14:30:22.573Z,2023-03-11T22:20:41Z,4088105219,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292579,3,1,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,49.8,50.1,2023-03-11T14:30:22.746Z,2023-03-12T00:52:24Z,4090908937,178,,4088105523,279,S,4088105515,140,29.4,4088105521,213,2.9,4088105519,212,21.9,4088105517,141,57.0,4088105513,56,Back,,,,254i1zsifi2er9rvuxgi9katx,G. Haraguchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292635,4,1,1,0,3,3dwlvz6cl4lcavvrg0y2dycrt,1,30.4,57.9,2023-03-11T14:30:26.415Z,2023-03-12T00:52:32Z,4088105795,212,50.7,4090910667,178,,4088105791,140,64.1,4088105799,1,,4088105797,213,5.5,4088105793,141,4.6,4088105787,155,,4088105789,56,Right,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292643,5,1,1,0,6,3dwlvz6cl4lcavvrg0y2dycrt,0,64.1,4.4,2023-03-11T14:30:29.572Z,2023-03-12T00:53:15Z,4088105841,213,0.4,4088105835,140,69.9,4088105831,168,,4088105829,3,,4088105839,212,6.6,4088105833,56,Right,4088105837,141,8.3,4090913521,388,,2tdxcr1wkubis5n81sg4pzyz9,Gil Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292681,3,49,1,0,8,c5hderjlkcoaze51e5wgvptk,1,31.2,88.4,2023-03-11T14:30:30.701Z,2023-03-12T00:53:43Z,,,,,,,,,,,,,,,,,,,,,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292707,4,1,1,0,10,c5hderjlkcoaze51e5wgvptk,0,31.2,88.4,2023-03-11T14:30:32.695Z,2023-03-12T00:53:51Z,4088106187,212,14.0,4088106183,140,41.8,4090915443,178,,4088106189,213,0.7,4088106181,56,Back,4088106185,141,100.0,,,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292713,5,5,1,0,11,c5hderjlkcoaze51e5wgvptk,0,41.8,101.4,2023-03-11T14:30:34.026Z,2023-03-12T00:54:05Z,4088106217,347,,4088106531,233,6,4088106213,56,Back,,,,,,,,,,,,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292761,6,5,1,0,11,3dwlvz6cl4lcavvrg0y2dycrt,1,58.2,-1.4,2023-03-11T14:30:34.026Z,2023-03-12T00:54:05Z,4088106471,233,5,4088106457,56,Right,4088106459,347,,,,,,,,,,,,,,,,,2tdxcr1wkubis5n81sg4pzyz9,Gil Dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292887,7,1,1,0,18,3dwlvz6cl4lcavvrg0y2dycrt,1,58.5,0,2023-03-11T14:30:41.348Z,2023-03-12T00:54:10Z,4088107095,212,17.4,4088107087,107,,4088107091,140,43.1,4088107089,56,Back,4088107093,141,8.2,4088107097,213,2.8,,,,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292951,8,1,1,0,21,3dwlvz6cl4lcavvrg0y2dycrt,1,42.6,8.3,2023-03-11T14:30:43.865Z,2023-03-12T00:54:15Z,4088107409,140,30.9,4088107421,213,1.9,4090916897,178,,4088107413,141,59.1,4088107425,1,,4088107403,56,Back,4088107417,212,36.7,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518293013,9,1,1,0,25,3dwlvz6cl4lcavvrg0y2dycrt,1,31.6,64.6,2023-03-11T14:30:47.876Z,2023-03-12T00:54:21Z,4090917159,178,,4088107749,213,1.4,4088107743,140,35.6,4088107747,212,22.4,4088107745,141,96.9,4088107741,56,Back,,,,,,,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
