id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2476031653,1467,43,1,0,13,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-10-22T16:31:33.673Z,2022-10-23T06:30:54Z,3865426215,178,0,3865426387,144,82,,,,,,,,,,,,,,,,,,,au5tbnn48ve4kqnuu3dhmk296,K. Koné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665611,9,1,1,0,13,go76xxm0xyfgqt1h6tcrtimm,1,42.2,78.9,2022-10-22T16:31:33.681Z,2022-10-23T05:53:15Z,3863453093,213,3.5,3863453089,212,12.3,3865365583,178,,3863453079,56,Back,3863453085,141,72.9,3863453083,140,31.1,,,,,,,au5tbnn48ve4kqnuu3dhmk296,K. Koné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665665,10,1,1,0,15,go76xxm0xyfgqt1h6tcrtimm,1,32.4,67.3,2022-10-22T16:31:36.229Z,2022-10-23T05:53:15Z,3863453335,213,4.4,3863453331,212,24.5,3863453327,141,33.1,3863453325,140,25.2,3863453323,56,Back,3865365601,178,,,,,,,,8k5c8po5gx3vnxx36viq08xqt,N. Elvedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665695,11,1,1,0,18,go76xxm0xyfgqt1h6tcrtimm,1,25.2,27.9,2022-10-22T16:31:38.742Z,2022-10-23T05:53:17Z,3863453469,213,5.2,3865365625,178,,3863453461,56,Back,3863453465,141,4.0,3863453463,140,34.0,3863453467,212,18.7,,,,,,,ckjid5lfgbx8tdyoi32vbwn9x,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665727,12,1,1,0,21,go76xxm0xyfgqt1h6tcrtimm,1,31.4,7.4,2022-10-22T16:31:41.405Z,2022-10-23T05:53:20Z,3863453683,213,3.1,3863453665,140,15.5,3865365715,178,,3863453671,141,8.4,3863453679,212,16.7,3863453659,56,Back,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665781,13,1,1,0,23,go76xxm0xyfgqt1h6tcrtimm,1,14.1,12.7,2022-10-22T16:31:43.660Z,2022-10-23T05:53:24Z,3863453937,56,Back,3863453941,141,36.3,3865365759,178,,3863453945,213,2.2,3863453939,140,2.7,3863453943,212,20.0,,,,,,,ckjid5lfgbx8tdyoi32vbwn9x,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665803,14,1,1,0,25,go76xxm0xyfgqt1h6tcrtimm,1,2.7,36.3,2022-10-22T16:31:46.291Z,2022-10-23T05:53:29Z,3863454057,212,17.7,3863454049,56,Back,3863454055,141,28.6,3865365875,178,,3863454053,140,18.8,3863454059,213,6.0,,,,,,,slsd8022q9s3uugsafaqt2ol,T. Sippel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476031929,1483,43,1,0,27,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-10-22T16:31:47.357Z,2022-10-23T06:31:33Z,3865427291,178,0,3865427465,144,82,,,,,,,,,,,,,,,,,,,5i8dbjuewybsfgyym63clfw0l,J. Weigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665839,15,1,1,0,27,go76xxm0xyfgqt1h6tcrtimm,1,18.8,28.6,2022-10-22T16:31:47.371Z,2022-10-23T05:53:37Z,3865365977,178,,3863454209,212,19.7,3863454205,140,8.4,3863454203,56,Back,3863454207,141,4.5,3863454211,213,4.1,,,,,,,5i8dbjuewybsfgyym63clfw0l,J. Weigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665863,16,1,1,0,29,go76xxm0xyfgqt1h6tcrtimm,1,8.4,4.5,2022-10-22T16:31:49.900Z,2022-10-23T05:53:43Z,3863454345,140,19.7,3863454351,213,6.2,3865366041,178,,3863454343,56,Back,3863454347,141,3.5,3863454349,212,11.9,,,,,,,ckjid5lfgbx8tdyoi32vbwn9x,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
