id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId
2521063723,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-03-17T18:33:27.823Z,2023-03-17T19:29:52Z,4102809533,30,"3z6ekzop4y7cjuatzz9ua74k5, 43eq31reskwn9veb3vickralm, 22zaq3o78o5feeogqdsvig02y, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 1mkbxdrj3myvt6jm4tx8sywgl, 66nvc8a4kd3cyeyj3i474cudx, 514es9hzl2skv9dl5cofgkogl, 9bdxi3mvkftmqts59jptqq76d, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, 7tj7eobo7kmk8egcbfrabe8d1, ao00a4lfe5vs9enjgkuu7vglx, d0qyia80j5079xq5olbttqfl6, slsd8022q9s3uugsafaqt2ol, 87kc5hjp3ry2z624wty5h7g4q, c3xzgcjooby28l0ntz5uy5rtg",4102809537,59,"1, 29, 20, 17, 3, 30, 23, 6, 10, 32, 13, 5, 7, 11, 14, 18, 19, 21, 22, 48",4103049097,197,11723,4102809535,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102809541,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102809539,130,8,4102809545,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102809543,194,9bdxi3mvkftmqts59jptqq76d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521065979,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-03-17T18:36:08.518Z,2023-03-23T11:57:03Z,4102820575,30,"7llxni56g8q0yt33vhp1pt3o5, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, 3h6q9lkwovcu4pynltgnzhy50, 2p48525x4ap9m81g6ode51cyd, 1psr9ra8k9j4r94p1xixagzbp, d95i3fwjrk3ti4co645mde76x, 14fw7p4fzaxprndgxnx0gxgbt, 5ndmhtdu5jfgvzuddd7fu2fh1, cjq9g6zgcxk1ceo2xzpe1qnyt, dr0kn3srxtg7nuw99gjoim7e1, 9i46dpapurzdzvd7nz3be7kl, 3spzxmms300isjmf03yses12i, b4q9q0qgmtz959rygieg9ln1l, 630sqbiu7utmkg8yw0h4ky8a2, 8m16s3wr5bpmmx2776ow96has, eayipmdtzbmjgjouq10nqhcrt, 5za1oqcgg6o78mth7jdcqs1uy, e97o3wf8ul0g3lwlmdp80exre, 5jj7ybunxj9w72lia5ftzfbvt",4102820581,130,12,4102820579,59,"30, 8, 3, 39, 4, 5, 22, 6, 7, 11, 28, 17, 19, 20, 21, 25, 26, 31, 33, 38",4102820577,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4102820587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4102820583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4103052379,197,8115,4102820585,194,cjq9g6zgcxk1ceo2xzpe1qnyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521110761,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-03-17T19:31:10.655Z,2023-03-18T06:49:14Z,4103055059,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521110809,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-03-17T19:31:10.655Z,2023-03-17T19:31:13Z,4103055285,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521110823,3,1,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,50,50,2023-03-17T19:31:10.707Z,2023-03-18T06:57:33Z,4103055391,56,Back,4104070299,178,,4103055397,212,13.9,4103055393,140,36.8,4103055399,213,3.2,4103055401,279,S,4103055395,141,49.7,,,,66nvc8a4kd3cyeyj3i474cudx,M. Thuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521110871,4,1,1,0,3,go76xxm0xyfgqt1h6tcrtimm,1,36.1,49.9,2023-03-17T19:31:13.867Z,2023-03-18T06:57:39Z,4103055631,213,4.7,4103055627,141,15.3,4103055623,56,Back,4103055629,212,23.6,4104070349,178,,4103055625,140,35.1,,,,,,,1mkbxdrj3myvt6jm4tx8sywgl,C. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521110939,5,1,1,0,5,go76xxm0xyfgqt1h6tcrtimm,1,35.1,15.2,2023-03-17T19:31:16.527Z,2023-03-18T06:57:42Z,4103055989,56,Back,4103055995,212,8.9,4103055997,213,2.0,4103055993,141,27.0,4103055991,140,31.4,4104070367,178,,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521110983,6,1,1,0,11,go76xxm0xyfgqt1h6tcrtimm,1,34.5,38,2023-03-17T19:31:22.427Z,2023-03-18T06:57:44Z,4103056221,140,32.2,4104070397,178,,4103056219,56,Back,4103056227,213,1.7,4103056223,141,73.6,4103056225,212,24.3,,,,,,,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521111029,7,1,1,0,14,go76xxm0xyfgqt1h6tcrtimm,1,32.2,73.6,2023-03-17T19:31:24.748Z,2023-03-18T06:57:46Z,4104070427,178,,4103056477,141,78.2,4103056473,56,Back,4103056475,140,39.0,4103056481,213,0.4,4103056479,212,7.8,,,,,,,8k5c8po5gx3vnxx36viq08xqt,N. Elvedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521111069,8,1,1,0,17,go76xxm0xyfgqt1h6tcrtimm,1,39.5,64.5,2023-03-17T19:31:28.048Z,2023-03-18T06:57:49Z,4103056689,212,18.9,4103056665,56,Back,4103056693,213,4.4,4103056673,140,34.3,4104070467,178,,4103056681,141,37.9,,,,,,,au5tbnn48ve4kqnuu3dhmk296,K. Koné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
