id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/14/value,assist,qualifier/16/value
2501277967,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-01-28T13:37:02.433Z,2023-01-28T14:34:55Z,3998379591,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3998379607,194,aaoycxwi9jny6flm4apz8a2uh,3998379585,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, 2p48525x4ap9m81g6ode51cyd, 1psr9ra8k9j4r94p1xixagzbp, aaoycxwi9jny6flm4apz8a2uh, 14fw7p4fzaxprndgxnx0gxgbt, ec5ng4j3rcjwsjz1v05e1z3dh, cjq9g6zgcxk1ceo2xzpe1qnyt, 5ndmhtdu5jfgvzuddd7fu2fh1, d95i3fwjrk3ti4co645mde76x, 8kar47kxxc8f20vc9ul2ez3yt, 6kge6vcoa9ocnh6tb8qznfzkl, 3spzxmms300isjmf03yses12i, 630sqbiu7utmkg8yw0h4ky8a2, eayipmdtzbmjgjouq10nqhcrt, dr0kn3srxtg7nuw99gjoim7e1, 7llxni56g8q0yt33vhp1pt3o5, bitixkzgt5p65rlo2bnllcf6x, 3h6q9lkwovcu4pynltgnzhy50",3998379603,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998379599,130,19,3998379595,59,"1, 8, 3, 4, 5, 32, 6, 36, 11, 7, 22, 9, 13, 19, 21, 26, 28, 30, 34, 39",3998631537,197,16262,3998379613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501280147,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-01-28T13:39:17.389Z,2023-01-28T14:39:40Z,3998390739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3998390743,130,5,3998390753,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998390751,194,acxwc7xxrtyssiy390t859kgl,3998390741,59,"1, 20, 6, 32, 3, 5, 39, 31, 23, 27, 16, 2, 4, 7, 12, 17, 29, 33, 38, 40",3998390737,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, 4sd2zs6d5cd4d9n3oo54lglat, fr9ac60188vlmtbrcddhxii1, dodddfi0l5i36vlgbaybhzeqy, aplc9mad75h1k90o3qla9c7l6, d2ykrr75737c8bzlwhjj90vkl, eswxx8pxqyuj7rnpvqawpej1l, acxwc7xxrtyssiy390t859kgl, b7cso5zljdvzfila9zd4fz4ve, 2mwe6l0eu1tisri3eu26fx8x6, 7e7w34imugzsufvytjxytupd5, 3es8fg7y59lckypu11i68q6s5, 53ozrqkupvt2iyi2xg0swf7px, 9i46dpapurzdzvd7nz3be7kl, bjhgmcai5irlexe7oa1g0e5sl, b8if5dg0k9prjik99aiutewh5, en0a6a574x1yvnk8kdxwub949, 2dxsntw3djezptdjqzu0oxi7e",3998390747,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998617599,197,18171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501321485,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-01-28T14:30:52.148Z,2023-01-28T14:30:54Z,3998611157,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501321457,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-01-28T14:30:52.148Z,2023-01-28T23:33:47Z,3998611009,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501321505,3,1,1,0,0,cu0eztmjcsbydyp53aleznorw,1,50,50,2023-01-28T14:30:52.150Z,2023-01-29T04:14:02Z,3998611285,140,30.9,3998611289,212,20.2,3998611283,56,Back,3998611293,279,S,3998611287,141,46.6,3998611291,213,3.3,4001276301,178,,,,,5ndmhtdu5jfgvzuddd7fu2fh1,M. Ducksch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501321585,4,1,1,0,3,cu0eztmjcsbydyp53aleznorw,1,32.1,44.8,2023-01-28T14:30:55.447Z,2023-01-29T04:14:07Z,3998611737,212,51.9,3998611731,141,4.1,3998611741,213,5.7,4001276387,178,,3998611727,140,73.9,3998611723,155,,3998611745,1,,3998611725,56,Right,aaoycxwi9jny6flm4apz8a2uh,M. Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501321593,5,61,1,0,6,cu0eztmjcsbydyp53aleznorw,0,73.9,4.1,2023-01-28T14:30:58.987Z,2023-01-29T04:14:12Z,4001276499,178,,3998611775,56,Right,,,,,,,,,,,,,,,,,,,cjq9g6zgcxk1ceo2xzpe1qnyt,N. Füllkrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501321803,3,5,1,0,8,a8l3w3n0j99qjlsxj3jnmgkz1,1,28,101.4,2023-01-28T14:31:00.724Z,2023-01-29T04:14:15Z,3998612851,56,Back,3998612881,233,6,3998612853,347,,,,,,,,,,,,,,,,,eswxx8pxqyuj7rnpvqawpej1l,J. Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501321627,6,5,1,0,8,cu0eztmjcsbydyp53aleznorw,0,72,-1.4,2023-01-28T14:31:00.724Z,2023-01-29T04:14:17Z,3998611913,347,,3998612903,233,3,3998611911,56,Right,,,,,,,,,,,,,,,,7k7whr0pdbw5wtk7g0cwozw0l,M. Weiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501321827,4,1,1,0,19,a8l3w3n0j99qjlsxj3jnmgkz1,0,29.8,100,2023-01-28T14:31:11.564Z,2023-01-29T04:14:34Z,3998612933,56,Back,3998612941,213,5.9,3998612931,107,,3998612939,212,12.3,3998612935,140,40.7,3998612937,141,95.0,,,,,,,76h7b6dhpyotolq68f84lqifp,Paulo Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
