id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/17/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2533818237,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-04-15T15:41:41.033Z,2023-04-15T16:29:16Z,4191551985,197,4900,4191270139,59,"1, 29, 25, 17, 3, 30, 23, 8, 10, 32, 14, 5, 6, 7, 11, 13, 18, 19, 20, 41",4191270141,130,8,4191551983,194,7kjhx78gpi6m3r4j1b4jdyh91,4191270143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191270133,30,"3z6ekzop4y7cjuatzz9ua74k5, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 5i8dbjuewybsfgyym63clfw0l, 66nvc8a4kd3cyeyj3i474cudx, 514es9hzl2skv9dl5cofgkogl, 7tj7eobo7kmk8egcbfrabe8d1, ckjid5lfgbx8tdyoi32vbwn9x, 1mkbxdrj3myvt6jm4tx8sywgl, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, 9bdxi3mvkftmqts59jptqq76d, ao00a4lfe5vs9enjgkuu7vglx, d0qyia80j5079xq5olbttqfl6, 22zaq3o78o5feeogqdsvig02y, 8dq80nkl6nbdejj2ti0mb2w6i",4191270137,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4191270145,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533830253,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-04-15T15:48:01.274Z,2023-04-15T16:29:01Z,4191551005,197,14121,4191335469,130,17,4191335471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191335463,30,"7obuhegyo1qcoikt23egcsr85, e91s5lp3fvfaav8w8xi7wdx3p, 3qy1qlzezgfkxeom5n1r9h13p, a3ib09ji7qsz6cgj3vmz5qort, 8kqmsuo668wpuzoyyxf4o2vo5, bd4p670s36cp1dh4fadv84qcq, 78e1qvft3ser2tyayjlmemdp1, 7cdiijsvnfc7tafy0zkf4uz9, g3fgd752o63acmmuahdvppm1, 2x5f35hk2urqlgoito1vgb3yt, az15xx7m923srf9gdbwmiyga1, 9ed74dfr9aeuedaf63l0i7aei, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, f5lfo1hz7u5bk494w53arcacq, 86n8m70b8059d92vcv98nm0dm, 42eyoeidtcnf2l4eag73qp36y, byn8dfwg5zdefrca7wgn32qne, f2ibn3ej2doay3b4u8ezeix62, 9j74va6ftcr9g3nan4b86l1t6",4191335473,194,78e1qvft3ser2tyayjlmemdp1,4191335467,59,"1, 24, 25, 6, 20, 35, 17, 8, 9, 19, 15, 11, 21, 22, 26, 28, 30, 36, 40, 46",4191335475,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4191335465,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533871947,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-04-15T16:30:15.109Z,2023-04-15T16:30:18Z,4191555463,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533871931,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-04-15T16:30:15.109Z,2023-04-16T05:23:22Z,4191555375,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533871987,3,1,1,0,0,c5hderjlkcoaze51e5wgvptk,1,50.1,50,2023-04-15T16:30:15.123Z,2023-04-16T06:25:08Z,4191555663,212,23.9,4191555657,56,Back,4191555665,213,2.6,4191555667,279,S,4194052871,178,,4191555659,140,31.0,4191555661,141,69.1,,,,78e1qvft3ser2tyayjlmemdp1,S. Rode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533871995,4,1,1,0,2,c5hderjlkcoaze51e5wgvptk,1,31.1,69.1,2023-04-15T16:30:17.393Z,2023-04-16T06:25:12Z,4191555697,213,4.7,4191555689,56,Back,4191555695,212,11.7,4191555693,141,51.9,4191555691,140,31.1,4194052959,178,,,,,,,,a3ib09ji7qsz6cgj3vmz5qort,K. Jakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872021,5,1,1,0,4,c5hderjlkcoaze51e5wgvptk,0,31.9,51.8,2023-04-15T16:30:19.480Z,2023-04-16T06:25:20Z,4191555815,212,35.7,4191555809,56,Center,4191555817,213,6.1,4191555813,141,41.6,4194053109,178,,4191555811,140,65.3,4191555819,1,,4191555807,155,,8kqmsuo668wpuzoyyxf4o2vo5,M. Hasebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872037,3,1,1,0,6,go76xxm0xyfgqt1h6tcrtimm,0,33.3,59.9,2023-04-15T16:30:21.432Z,2023-04-16T06:25:26Z,4191555899,3,,4191555909,213,5.8,4191555903,140,43.8,4191555905,141,51.0,4194053195,388,,4191555901,56,Back,4191555907,212,12.6,,,,au5tbnn48ve4kqnuu3dhmk296,K. Koné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872063,6,1,1,0,7,c5hderjlkcoaze51e5wgvptk,0,55.8,48.2,2023-04-15T16:30:22.847Z,2023-04-16T06:25:32Z,4191556055,213,0.8,4191556039,56,Center,4191556043,140,67.8,4191556051,212,17.8,4191556033,3,,4194053261,388,,4191556047,141,66.6,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533872101,4,1,1,0,9,go76xxm0xyfgqt1h6tcrtimm,1,32,38.7,2023-04-15T16:30:24.619Z,2023-04-16T06:25:42Z,4191556239,1,,4194053377,178,,4191556231,140,46.2,4191556229,56,Back,4191556227,157,,4191556233,141,52.1,4191556235,212,17.5,4191556237,213,0.5,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
