id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value
2534646763,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-04-16T14:35:40.356Z,2023-04-16T15:47:25Z,4195655739,130,12,4195655741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195655733,30,"8l1mv5qd9vwade754v3l8epjp, 9kxuwgequrilkom3ru6sdxall, 40rzvcdss138e6futx3bht3o5, 1ywfkwrcysdlvkt859q00kt7t, cab22ojcuhdzdwmbtl20n8i51, 87jamhsc8ps9kh5432u36kjc9, a2l72iohmbq6rjr3rzrsvnwt1, 24vavcwn4hco5je9kdu9ciwgl, 7424gvk9hiq5up61dj181y66t, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, 9qzxygb9hyzag1szans0k2jth, 3g9riero16s160evc28u3q3u1, 5pnfmmq8b8jxmp1qnf82d8out, emtrl7rrhp3ybsibf1f89kyj9, 52t6t7cdsr0fjs9ukmwo9y7rp, dadiwuzf33969g3808sdd9brp, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy, 5xhjvappzv6swoof5qpi0yj9",4195655735,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4195655743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195686349,194,1vv29mash2uijx542ssjk666t,4195885785,197,16256,4195655737,59,"1, 18, 26, 5, 31, 3, 20, 19, 17, 27, 8, 2, 4, 11, 23, 28, 32, 37, 40, 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534650627,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-04-16T14:38:57.358Z,2023-04-16T15:49:09Z,4195674861,59,"1, 18, 3, 4, 20, 31, 6, 7, 33, 11, 22, 2, 9, 10, 17, 21, 24, 28, 29, 30",4195686819,194,clmq1s26z0i3lqr1jqnd5wzit,4195674859,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4195674863,130,4,4195674865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195885811,197,16236,4195674867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4195674857,30,"clmq1s26z0i3lqr1jqnd5wzit, 4oic5vu1qv89061hflasl3r3d, 6sc9zsev9an853nop6pn6mxg5, 8ksi5s9he1uxai3lfcq46grf9, 8gnpf9kwx2n2rqwf1gixc4bth, 6qujoqysad60h70f3ac5n9ch6, 4y167h8sn9cnyrvb097lf8lbd, f2o5hj0e2k3kw0fj1xzom0cet, d2pco79bmi3f9x3zahtf9q2mt, 2bzdn7cqqonejqmlq85w8z6qd, ejww8hjcn4y4hlik863vaw3qh, 2earc7j2kp3tveehpnxtv1exh, 9xftmtdsxbuu2itzhi3v1xbdh, 98e7uohj6lcvf59sfssff2y8l, 3nins3wtqjz9vt8q06s087vth, de3mpa534obonqn4h2v10f6xh, b7fqivvacy7mmarlp180k276d, 4f7gwrfeqm4x3k29jehes6od1, 8vfi7j34a5veeyswn5g5h4tbe, ns0d3voludn8of98yc2e6ehh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534700683,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-04-16T15:31:52.429Z,2023-04-16T15:31:52Z,4195926519,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534700705,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-04-16T15:31:52.429Z,2023-04-16T15:31:58Z,4195926603,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534700801,3,1,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,49.9,50.3,2023-04-16T15:31:52.529Z,2023-04-16T15:31:59Z,4195927115,279,S,4195927113,213,3.2,4195927111,212,18.5,4195927107,140,32.3,4195927109,141,48.1,4195927105,56,Back,,,,,,,1vv29mash2uijx542ssjk666t,R. Khedira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534701041,7,43,1,0,1,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-04-16T15:31:53.608Z,2023-04-16T15:32:43Z,4195928369,56,Left,4195928377,213,1.7,4195931269,144,1,4195928371,140,74.4,4195928373,141,94.7,4195928375,212,4.7,,,,,,,24vavcwn4hco5je9kdu9ciwgl,J. Haberer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534700803,4,1,1,0,4,a8d2gb2nag8fy0itbuxmcibh2,0,34.9,41.9,2023-04-16T15:31:56.768Z,2023-04-16T15:31:59Z,4195927127,140,76.0,4195927131,212,46.3,4195927129,141,66.7,4195927133,213,0.4,4195927125,56,Center,4195927123,155,,4195927135,1,,,,,87jamhsc8ps9kh5432u36kjc9,P. Jaeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534700849,3,1,1,0,7,eq1oq6y61xnzq88zu0cnw131z,0,21.5,27.4,2023-04-16T15:31:59.531Z,2023-04-16T15:32:01Z,4195927401,141,0.0,4195927405,213,5.3,4195927397,56,Back,4195927403,212,22.9,4195927399,140,33.0,4195927395,3,,,,,,,,8gnpf9kwx2n2rqwf1gixc4bth,I. Ordets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534700853,4,5,1,0,9,eq1oq6y61xnzq88zu0cnw131z,0,30.6,-0.9,2023-04-16T15:32:01.556Z,2023-04-16T15:32:09Z,4195928105,233,5,4195927413,56,Back,4195927415,347,,,,,,,,,,,,,,,,,8gnpf9kwx2n2rqwf1gixc4bth,I. Ordets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534700969,5,5,1,0,9,a8d2gb2nag8fy0itbuxmcibh2,1,69.4,100.9,2023-04-16T15:32:01.556Z,2023-04-16T15:45:09Z,4195928045,347,,4195928053,233,4,4195928043,56,Left,,,,,,,,,,,,,,,,87jamhsc8ps9kh5432u36kjc9,P. Jaeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
