id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/8/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/14/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/18/value
2454835979,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2022-09-03T12:38:09.794Z,2022-09-03T13:28:25Z,3752789911,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752789923,194,64pzn3jdqo6y2izlpm8n3tvpx,3752789907,30,"64pzn3jdqo6y2izlpm8n3tvpx, yq0cm7vwr0tkv7nvt9vo77bp, 582uvj0i3dvm0zwbou9q68pgp, 8cho2d1nz18i5o0zt6aysd68l, x4qyxhfr2vi007sazoqe5vit, 10zt8rbgbmyqxr1m13wm5gfs9, 1u1u438ql6xrordkb65wsxo7p, 97nv3y9z2ajz6b4ynoo0jn3kl, cotiiu6mjkfx5xa63nhfbdf4l, bhsdzppop8jwjsxwftizot1t6, 4603xrdk721lqhd1ejn62x5n9, 4ysxvym6ww4f9d3hflkqsbf11, 4w4ldzomkj7fhrc51iimz8no5, e5mjphb52suw89189nyca72z9, c80tzy7t4hoa8fpbek1od4lw5, 4fq74wp7xzwm214veuxqpdz9x, br2uswvdgoj7ndkx7mnbwgyd, 5ga7g20wsa7oqjbh4ijoeknl6, 7vhnftizqlyu31st2vsmgh6tx, 4skrm2y64va3y5jk70gz4ylpm",3752789917,130,8,3752789913,59,"1, 5, 19, 18, 2, 4, 11, 6, 17, 42, 10, 7, 8, 13, 21, 25, 26, 38, 40, 44",3752789919,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752966979,197,11764,3752789925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454836539,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-09-03T12:38:49.596Z,2022-09-04T00:25:52Z,3752792777,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752792775,30,"8l1mv5qd9vwade754v3l8epjp, 52t6t7cdsr0fjs9ukmwo9y7rp, cl6720rdjeubt0bc3su0qg3qh, 1ywfkwrcysdlvkt859q00kt7t, cab22ojcuhdzdwmbtl20n8i51, 87jamhsc8ps9kh5432u36kjc9, 9qzxygb9hyzag1szans0k2jth, f0x3pa532agezdjdzcsp94l49, cywgibmici8hwp1ad1nhk3ufp, 7424gvk9hiq5up61dj181y66t, 1vv29mash2uijx542ssjk666t, e482cluaxyc6o2auawo9d7npx, 5pnfmmq8b8jxmp1qnf82d8out, 602fyni27c129xjs9ziyn5as5, emtrl7rrhp3ybsibf1f89kyj9, 254i1zsifi2er9rvuxgi9katx, 3gq68k18hhnaazwonmkyjik15, dadiwuzf33969g3808sdd9brp, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy",3752792783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752792779,59,"1, 28, 6, 5, 31, 3, 2, 13, 27, 17, 8, 7, 11, 14, 23, 24, 26, 32, 37, 40",3752792781,130,12,3752967967,197,16256,3752792787,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752792785,194,52t6t7cdsr0fjs9ukmwo9y7rp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454871409,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2022-09-03T13:33:06.589Z,2022-09-03T13:33:07Z,3752986277,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454871387,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-09-03T13:33:06.589Z,2022-09-04T04:18:38Z,3752986219,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454871443,3,1,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,50,50.3,2022-09-03T13:33:06.633Z,2022-09-04T04:22:28Z,3752986451,213,3.2,3752986445,140,26.0,3752986447,141,49.0,3752986453,279,S,3752986443,56,Back,3752986449,212,25.2,3756751683,178,,,,,1vv29mash2uijx542ssjk666t,R. Khedira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454871501,4,1,1,0,3,a8d2gb2nag8fy0itbuxmcibh2,0,27.1,47.6,2022-09-03T13:33:09.670Z,2022-09-04T04:22:34Z,3752986843,56,Left,3752986853,1,,3752986849,212,52.9,3752986841,155,,3756751709,178,,3752986851,213,0.6,3752986847,141,90.1,3752986845,140,69.3,87jamhsc8ps9kh5432u36kjc9,P. Jaeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454871525,3,1,1,0,6,apoawtpvac4zqlancmvw4nk4o,0,38.3,12.8,2022-09-03T13:33:12.763Z,2022-09-04T04:22:37Z,3752986963,56,Right,3756751763,388,,3752986969,212,21.5,3752986961,3,,3752986973,213,6.2,3752986965,140,58.8,3752986967,141,11.3,,,,97nv3y9z2ajz6b4ynoo0jn3kl,J. Kimmich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454871571,5,1,1,0,8,a8d2gb2nag8fy0itbuxmcibh2,0,43.8,90.3,2022-09-03T13:33:14.659Z,2022-09-04T04:22:47Z,3752987189,155,,3752987195,141,70.5,3752987197,212,40.2,3756751845,178,,3752987191,56,Center,3752987199,213,5.9,3752987201,1,,3752987193,140,79.9,cab22ojcuhdzdwmbtl20n8i51,R. Knoche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454871595,4,1,1,0,10,apoawtpvac4zqlancmvw4nk4o,0,23.3,27.9,2022-09-03T13:33:17.152Z,2022-09-04T04:22:51Z,3752987281,140,37.0,3752987299,213,0.2,3752987285,141,32.7,3756751885,388,,3752987277,56,Back,3752987275,3,,3752987291,212,14.8,,,,x4qyxhfr2vi007sazoqe5vit,D. Upamecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454871637,6,1,1,0,12,a8d2gb2nag8fy0itbuxmcibh2,0,63.8,68.1,2022-09-03T13:33:18.909Z,2022-09-04T04:23:02Z,3756751989,388,,3752987477,141,53.8,3752987475,140,78.2,3752987471,3,,3752987481,213,5.7,3752987479,212,18.0,3752987473,56,Center,,,,1vv29mash2uijx542ssjk666t,R. Khedira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
