id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/11/value,qualifier/17/value,qualifier/18/value
2543937807,1,34,16,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2023-05-05T17:38:59.470Z,2023-05-05T18:22:54Z,4252130027,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4252130031,130,13,4252263171,197,16378,4252130035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252130033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252130025,30,"cg6h7oq0b5zpx1g4brhzyk1xx, 9qo448ueot8pfc5oqo378wag9, a41r2ob5fhirgdwxwox6nr4yx, 4foax2b7unlkev1eq6py86lii, 5ec2ede9uwbft3wby33mwowyd, djha3ac2mfhyb7oia64hq2nd, 4tev0kk0om8cr1xbwpt8bozit, 7w63iqek6hmnizlirurla1cr9, 8mcf8c8ht32as6xxrf1gb51m2, 9ydkbbygq6uocors9kcdnzbop, 2k5g68ywtr79lc45wozvifqlm, cis0z72hgahfnfjduk7hdnz3e, 59pu8nnghyxvvt8r3zyndpfpx, 2cq6ocr7j487do4nrm3sreg9h, aze5i6ssy55jrc8k9vhrs8o9h, e4vr28e9cbq3q5nux1jlpuuei, 3ojzrb5okc6i1jf1o7okovnjd, 6rg37ej1x7pwi7r4aq1107pih, 4ilnnpfgjfz35lni9ppzd93v9, 6m9kyt5astmqvzdq2ee81qcwl",4252142403,194,cg6h7oq0b5zpx1g4brhzyk1xx,4252130029,59,"1, 30, 5, 3, 4, 12, 8, 11, 21, 19, 27, 6, 9, 10, 22, 23, 24, 25, 28, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543939255,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-05-05T17:41:46.295Z,2023-05-05T18:35:39Z,4252137645,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, 7rltyxkrvvfg7q1hppl631soa, bkonv3y0vn24mpn6j8abjtux, 6yc09eth94qsachf595dyx6fp, 55z0yap5tml66nes2cchg7ahh, cnf7quyillyf560nh14taliw9, 224uan6ugjt7b2c1zsxrs2pcl, f239q43hdwrm7u7mu5jqyk91x, 89s9fm31pcfq7l28kc2kad4kq, 4w8nqkhp6v62vs319a7qckfs9, 6dzx3oyd42ql69tqxqvg8mpxx, 2ifp36vdm0d6rb3xc7muuvv11, 8n4b6j21nxf1nf628ugg3xsdl, 8mmecefcbz8wu4jcqqywps5p1, 2hb1dyg1auzdfbi3lg9ysap9m",4252137649,59,"20, 2, 14, 28, 4, 24, 29, 7, 27, 11, 37, 1, 3, 8, 15, 17, 19, 21, 23, 47",4252137647,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4252144941,194,21vfv10e7fh6b2xtcu55ihn11,4252272987,197,16229,4252137653,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252137655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252137651,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967043,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-05-05T18:30:11.156Z,2023-05-05T18:30:11Z,4252281725,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967053,2,32,1,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2023-05-05T18:30:11.156Z,2023-05-06T03:16:05Z,4252281749,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967091,3,1,1,0,0,8q1ul09cygzswb7tb456bmifv,1,49.9,49.8,2023-05-05T18:30:11.248Z,2023-05-06T04:05:10Z,4252281907,212,27.6,4253183467,178,,4252281911,279,S,4252281905,141,32.2,4252281903,140,26.2,4252281901,56,Back,4252281909,213,3.6,,,,55z0yap5tml66nes2cchg7ahh,F. Kainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967101,4,1,1,0,2,8q1ul09cygzswb7tb456bmifv,1,26.2,32.2,2023-05-05T18:30:13.281Z,2023-05-06T04:05:17Z,4252281963,56,Back,4252281965,140,23.9,4252281969,212,5.3,4252281967,141,39.2,4252281971,213,2.0,4253183507,178,,,,,,,,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967131,5,1,1,0,3,8q1ul09cygzswb7tb456bmifv,1,23.9,39.2,2023-05-05T18:30:14.920Z,2023-05-06T04:05:27Z,4252282117,1,,4252282105,157,,4252282109,140,69.4,4252282111,141,76.8,4252282113,212,54.2,4252282115,213,0.5,4253183619,178,,4252282107,56,Center,4zfgh6wq7svx418tzwf0gfavp,M. Schwäbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967135,6,44,1,0,7,8q1ul09cygzswb7tb456bmifv,1,71,75.5,2023-05-05T18:30:18.401Z,2023-05-06T09:03:34Z,4252282139,286,,4252282137,56,Center,4252282173,233,3,,,,,,,,,,,,,,,,6yc09eth94qsachf595dyx6fp,D. Selke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967125,3,44,1,0,7,7ad69ngbpjuyzv96drf8d9sn2,0,29,24.5,2023-05-05T18:30:18.402Z,2023-05-06T04:05:37Z,4252282083,56,Back,4252282085,285,,4252282189,233,6,,,,,,,,,,,,,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967177,7,1,1,0,7,8q1ul09cygzswb7tb456bmifv,1,68.9,76.9,2023-05-05T18:30:18.445Z,2023-05-06T09:03:35Z,4252282335,140,85.2,4252282333,56,Left,4252282331,3,,4252282339,212,18.8,4253183767,388,,4252282337,141,88.2,4252282341,213,0.4,,,,6yc09eth94qsachf595dyx6fp,D. Selke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
