id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,keyPass,qualifier/11/value,qualifier/14/value
2458655013,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2022-09-11T12:36:15.758Z,2022-09-11T13:35:05Z,3773067463,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, f239q43hdwrm7u7mu5jqyk91x, 3saz8njlttx2i4ospcwmmaqga, 4w8nqkhp6v62vs319a7qckfs9, 3tdsezcgdlm4laybvh4u49cr9, cnf7quyillyf560nh14taliw9, ojqb7kv87o0cidbckgtg1rdh, es3b9j6925m7m9x7cr72mn0mh, 21vfv10e7fh6b2xtcu55ihn11, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, 8w5vjfl9ntyyxzyn2lo8k4dpm, bkonv3y0vn24mpn6j8abjtux, 89s9fm31pcfq7l28kc2kad4kq, 6dzx3oyd42ql69tqxqvg8mpxx, g64b8x11ndowv2zj29r9i311, 8n4b6j21nxf1nf628ugg3xsdl, 8mmecefcbz8wu4jcqqywps5p1, 7rltyxkrvvfg7q1hppl631soa",3773067481,197,16228,3773067483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773067467,59,"20, 2, 3, 6, 15, 4, 37, 28, 33, 14, 11, 1, 5, 7, 8, 17, 18, 21, 23, 29",3773067465,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773067477,194,21vfv10e7fh6b2xtcu55ihn11,3773067471,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773067469,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458656759,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-09-11T12:38:12.024Z,2022-09-11T13:36:08Z,3773076177,130,12,3773076171,30,"7446u69ki15qcyq2jtszacm3t, 52t6t7cdsr0fjs9ukmwo9y7rp, cl6720rdjeubt0bc3su0qg3qh, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, 87jamhsc8ps9kh5432u36kjc9, f0x3pa532agezdjdzcsp94l49, 24vavcwn4hco5je9kdu9ciwgl, 5xhjvappzv6swoof5qpi0yj9, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, 5pnfmmq8b8jxmp1qnf82d8out, c7gwbtdqptxjtu3tn3xctvit, 602fyni27c129xjs9ziyn5as5, 7424gvk9hiq5up61dj181y66t, 8prrhz0d1i4vxkhgro8p42bxl, emtrl7rrhp3ybsibf1f89kyj9, d3xe46be1ajvxzxzboiaoy385, dadiwuzf33969g3808sdd9brp, bt35y17wl42b5t5tw6z68uwyy",3773076173,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773076179,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773076183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773332571,197,16257,3773076175,59,"37, 28, 6, 4, 31, 3, 13, 19, 45, 27, 8, 11, 12, 14, 17, 21, 23, 25, 32, 40",3773076181,194,52t6t7cdsr0fjs9ukmwo9y7rp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458703791,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2022-09-11T13:30:12.862Z,2022-09-11T21:24:21Z,3773315697,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458703765,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-09-11T13:30:12.862Z,2022-09-11T13:30:13Z,3773315543,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458703881,3,1,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,50,50,2022-09-11T13:30:12.932Z,2022-09-11T21:36:51Z,3773316103,279,S,3773316097,141,34.4,3775113273,178,,3773316093,56,Back,3773316101,213,3.7,3773316099,212,21.1,3773316095,140,32.6,,,,f0x3pa532agezdjdzcsp94l49,A. Schäfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458703907,4,1,1,0,2,a8d2gb2nag8fy0itbuxmcibh2,1,27.7,44.8,2022-09-11T13:30:15.047Z,2022-09-11T21:39:40Z,3773316293,141,70.1,3775117785,178,,3773316297,213,1.9,3773316251,56,Back,3773316255,140,22.8,3773316295,212,18.0,,,,,,,87jamhsc8ps9kh5432u36kjc9,P. Jaeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458703951,5,1,1,0,5,a8d2gb2nag8fy0itbuxmcibh2,1,23.1,70.1,2022-09-11T13:30:18.287Z,2022-09-11T21:39:50Z,3773316523,213,0.2,3773316509,140,65.4,3773316527,1,,3773316505,56,Left,3773316521,212,45.6,3775118181,178,,3773316501,155,,3773316515,141,85.2,cab22ojcuhdzdwmbtl20n8i51,R. Knoche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458703969,6,1,1,0,8,a8d2gb2nag8fy0itbuxmcibh2,0,64.4,85.5,2022-09-11T13:30:20.956Z,2022-09-11T21:40:04Z,3773316597,141,77.1,3773316589,3,,3773316591,168,,3773316593,56,Center,3773316599,212,12.9,3773316601,213,5.8,3773316595,140,75.4,3775118489,388,,24vavcwn4hco5je9kdu9ciwgl,J. Haberer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458703981,3,12,1,0,9,8q1ul09cygzswb7tb456bmifv,1,25.5,24.5,2022-09-11T13:30:22.167Z,2022-09-11T21:40:19Z,3775118831,178,,3773316663,213,3.0,3773316659,141,27.8,3773316657,140,11.2,3773316661,212,15.2,3773316655,56,Back,,,,,,,ojqb7kv87o0cidbckgtg1rdh,E. Skhiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458703987,4,12,1,0,11,8q1ul09cygzswb7tb456bmifv,1,11.2,27.8,2022-09-11T13:30:24.807Z,2022-09-11T21:40:48Z,3773316721,15,,3773316705,56,Back,3775119377,388,,3773316713,213,6.0,3773316711,212,14.9,3773316709,141,20.9,3773316707,140,24.7,,,,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
