id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/21/id,qualifier/21/qualifierId
2518243257,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-03-11T13:38:47.678Z,2023-03-11T15:37:01Z,4088090417,197,1458,4087843811,130,15,4087843813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4087843815,194,eapihgte8ydc4g6hzygsx2e39,4087843805,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 2uz1cmslnjjzsgfcgji26kqg9, 1qthvf5krys0pzk24h8wtr9at, eapihgte8ydc4g6hzygsx2e39, 9prtaifv6stlujgywgq4wd08a, avh60ensgiwz1qalvn1bbqkfd, 7o3fumeufgigw092b7i5n4f6x, ckox9w95duwhmt72xxk7lt2vp, dhhmffih4gl51nlu92hfctqs5, 2pjr6yz65f4uqvwniy4vphn85, 95gjm3yk75rmwyneb350zoktm, 4gq1u1mqg0qzekh1u5djleeax, 8l0am8k4pg2s9g9qbkhwte6dx, cfc7fqq748bz3nklfam2a2fp, 3igg6gfmomgh1t5ohwzbpb5cl, 4qkv71pjmzw66crfaktr6tihh, eliciww307c6fs2mg347z1iei, axj39lx25teh62rih6uv9qor9",4087843807,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4087843817,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087843809,59,"21, 39, 22, 27, 4, 32, 17, 8, 10, 19, 11, 2, 7, 9, 13, 16, 23, 28, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518245145,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-03-11T13:40:36.185Z,2023-03-11T14:28:15Z,4088095659,197,12803,4087853569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4087853567,30,"slsd8022q9s3uugsafaqt2ol, 43eq31reskwn9veb3vickralm, 22zaq3o78o5feeogqdsvig02y, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 1mkbxdrj3myvt6jm4tx8sywgl, 66nvc8a4kd3cyeyj3i474cudx, 514es9hzl2skv9dl5cofgkogl, 7tj7eobo7kmk8egcbfrabe8d1, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, 9bdxi3mvkftmqts59jptqq76d, ao00a4lfe5vs9enjgkuu7vglx, d0qyia80j5079xq5olbttqfl6, 87kc5hjp3ry2z624wty5h7g4q, c3xzgcjooby28l0ntz5uy5rtg, beg4syjd2b5rowhprsbuoax3o",4087853573,130,8,4087853571,59,"21, 29, 20, 17, 3, 30, 23, 6, 10, 32, 14, 5, 7, 11, 13, 18, 19, 22, 48, 49",4087853575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4087853577,194,1mkbxdrj3myvt6jm4tx8sywgl,4087853579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292591,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-03-11T14:30:27.310Z,2023-03-11T14:30:30Z,4088105571,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292575,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-03-11T14:30:27.310Z,2023-03-12T01:32:32Z,4088105497,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292631,3,1,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,50.1,49.7,2023-03-11T14:30:27.461Z,2023-03-12T01:45:02Z,4088105767,279,S,4091063689,178,,4088105759,140,28.8,4088105763,212,22.7,4088105761,141,55.4,4088105765,213,3.0,4088105757,56,Back,,,,dhhmffih4gl51nlu92hfctqs5,André Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292645,4,1,1,0,2,9gefq4dz9b2hl8rqrxwrlrzmp,1,28.8,55.4,2023-03-11T14:30:29.919Z,2023-03-12T01:45:17Z,4091064679,178,,4088105849,140,28.0,4088105847,56,Back,4088105855,213,4.7,4088105851,141,29.3,4088105853,212,17.8,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292663,5,1,1,0,4,9gefq4dz9b2hl8rqrxwrlrzmp,1,27.8,28.9,2023-03-11T14:30:32.070Z,2023-03-12T01:45:20Z,4091064863,178,,4088105991,212,11.8,4088105993,213,4.8,4088105987,140,28.3,4088105989,141,11.5,4088105985,56,Back,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292703,6,1,1,0,6,9gefq4dz9b2hl8rqrxwrlrzmp,1,28.3,11.5,2023-03-11T14:30:33.587Z,2023-03-12T01:45:27Z,4088106159,56,Back,4088106163,141,18.5,4088106161,140,22.7,4088106165,212,7.6,4088106167,213,2.5,4091065245,178,,,,,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292849,7,1,1,0,8,9gefq4dz9b2hl8rqrxwrlrzmp,1,22.6,23,2023-03-11T14:30:36.187Z,2023-03-12T01:45:32Z,4088106923,212,23.2,4088106921,141,57.0,4088106919,140,23.9,4091065557,178,,4088106917,56,Back,4088106925,213,1.5,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518292891,8,1,1,0,15,9gefq4dz9b2hl8rqrxwrlrzmp,1,29.6,57.6,2023-03-11T14:30:42.509Z,2023-03-12T01:45:43Z,4091066371,178,,4088107117,56,Back,4088107125,213,4.7,4088107121,141,23.2,4088107123,212,23.4,4088107119,140,29.2,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
