id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/11/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2471981985,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-10-15T12:48:41.414Z,2022-10-15T13:29:38Z,3844004885,194,9bdxi3mvkftmqts59jptqq76d,3844215817,197,12803,3844004881,130,8,3844004887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844004875,30,"bagn0ce4xunsiz3mezrtqx1p1, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, ckjid5lfgbx8tdyoi32vbwn9x, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 5i8dbjuewybsfgyym63clfw0l, 66nvc8a4kd3cyeyj3i474cudx, 9bdxi3mvkftmqts59jptqq76d, 7tj7eobo7kmk8egcbfrabe8d1, l8bphgwl3llcckvf9zr6ptqt, ao00a4lfe5vs9enjgkuu7vglx, d0qyia80j5079xq5olbttqfl6, 22zaq3o78o5feeogqdsvig02y, slsd8022q9s3uugsafaqt2ol, dwx1vmtmeiiokfqv18g7cb1lh, bc5vmdnoyshdi5hcgu8dgqxyi, dn3zu7kyql966v0fqi1sikpyi, 2fadtqb0v2zreactvdosbxy50",3844004883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844004879,59,"1, 29, 25, 17, 5, 30, 23, 8, 10, 13, 14, 7, 18, 19, 20, 21, 24, 27, 34, 38",3844004877,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471983413,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-10-15T12:50:00.072Z,2022-10-15T13:27:53Z,3844012293,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3844012305,194,acxwc7xxrtyssiy390t859kgl,3844012295,59,"1, 20, 6, 32, 4, 5, 39, 31, 10, 27, 16, 2, 3, 7, 12, 22, 23, 29, 33, 40",3844012307,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844012291,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, 4sd2zs6d5cd4d9n3oo54lglat, 7e7w34imugzsufvytjxytupd5, dodddfi0l5i36vlgbaybhzeqy, aplc9mad75h1k90o3qla9c7l6, d2ykrr75737c8bzlwhjj90vkl, embn1jhcly07i6pjcvcdiavo5, acxwc7xxrtyssiy390t859kgl, b7cso5zljdvzfila9zd4fz4ve, 2mwe6l0eu1tisri3eu26fx8x6, fr9ac60188vlmtbrcddhxii1, 3es8fg7y59lckypu11i68q6s5, 53ozrqkupvt2iyi2xg0swf7px, 6384gzzxuxs6pvmrn8qx4d7u1, eswxx8pxqyuj7rnpvqawpej1l, bjhgmcai5irlexe7oa1g0e5sl, b8if5dg0k9prjik99aiutewh5, 2dxsntw3djezptdjqzu0oxi7e",3844012301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844012297,130,5,3844208809,197,8139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022365,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-10-15T13:31:33.177Z,2022-10-15T13:31:33Z,3844224021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022405,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-10-15T13:31:33.177Z,2022-10-15T22:16:06Z,3844224191,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022411,3,1,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,49.9,50.1,2022-10-15T13:31:33.254Z,2022-10-15T21:30:56Z,3846887285,178,,3844224233,212,10.8,3844224221,56,Back,3844224239,279,S,3844224229,141,54.3,3844224237,213,2.9,3844224225,140,40.0,,,,66nvc8a4kd3cyeyj3i474cudx,M. Thuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022429,4,1,1,0,1,go76xxm0xyfgqt1h6tcrtimm,1,40,54.3,2022-10-15T13:31:34.957Z,2022-10-15T21:31:04Z,3844224323,140,40.7,3846887535,178,,3844224325,141,92.6,3844224329,213,1.5,3844224327,212,26.1,3844224321,56,Back,,,,,,,5i8dbjuewybsfgyym63clfw0l,J. Weigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022473,5,1,1,0,3,go76xxm0xyfgqt1h6tcrtimm,1,40.7,92.6,2022-10-15T13:31:36.361Z,2022-10-15T21:31:14Z,3844224489,56,Back,3844224495,212,18.2,3846887917,178,,3844224491,140,25.2,3844224497,213,3.6,3844224493,141,80.6,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaïni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022495,6,1,1,0,5,go76xxm0xyfgqt1h6tcrtimm,1,25.2,80.6,2022-10-15T13:31:38.795Z,2022-10-15T21:31:24Z,3844224617,141,38.6,3844224615,140,21.2,3846888243,178,,3844224619,212,28.9,3844224621,213,4.6,3844224613,56,Back,,,,,,,8k5c8po5gx3vnxx36viq08xqt,N. Elvedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022523,7,1,1,0,8,go76xxm0xyfgqt1h6tcrtimm,1,21.2,38.6,2022-10-15T13:31:41.560Z,2022-10-15T21:31:33Z,3844224749,140,31.1,3846888533,178,,3844224753,212,13.3,3844224747,56,Back,3844224751,141,50.7,3844224755,213,0.7,,,,,,,ckjid5lfgbx8tdyoi32vbwn9x,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472665165,802,43,1,0,10,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-10-15T13:31:43.887Z,2022-10-16T04:43:00Z,3847701033,178,0,3847701085,144,82,,,,,,,,,,,,,,,,,,,5i8dbjuewybsfgyym63clfw0l,J. Weigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022569,8,1,1,0,11,go76xxm0xyfgqt1h6tcrtimm,1,27.6,49.3,2022-10-15T13:31:44.368Z,2022-10-15T21:31:49Z,3844224953,140,10.0,3844224955,141,50.0,3844224959,212,18.5,3846888833,178,,3844224963,213,3.1,3844224951,56,Back,,,,,,,5i8dbjuewybsfgyym63clfw0l,J. Weigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022701,9,1,1,0,14,go76xxm0xyfgqt1h6tcrtimm,0,8.2,46.7,2022-10-15T13:31:47.624Z,2022-10-15T21:31:56Z,3844225627,155,,3844225639,1,,3844225635,212,57.1,3846889271,178,,3844225631,140,62.1,3844225637,213,0.1,3844225629,56,Center,3844225633,141,57.8,bagn0ce4xunsiz3mezrtqx1p1,Y. Sommer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022707,3,49,1,0,18,a8l3w3n0j99qjlsxj3jnmgkz1,1,35.8,39.4,2022-10-15T13:31:51.728Z,2022-10-15T22:25:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7e7w34imugzsufvytjxytupd5,M. Lacroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472022813,4,1,1,0,21,a8l3w3n0j99qjlsxj3jnmgkz1,1,24,50.6,2022-10-15T13:31:54.437Z,2022-10-15T22:25:29Z,3844226185,212,15.9,3844226181,140,9.3,3844226187,213,3.4,3844226179,56,Back,3844226183,141,44.8,3846979857,178,,,,,,,,7e7w34imugzsufvytjxytupd5,M. Lacroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
