id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/14/value,qualifier/12/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2506197857,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-02-11T13:32:14.869Z,2023-02-11T14:25:28Z,4024235233,30,"920yurg08gqayxwc80q9f8ixh, 2jk8zu0m0tf7if0pyrkbo82xh, b7ve7k983eaewnupejiow3jdh, ejnh215cji6xou661kiwcc91x, 84mp3eqt1ckw107hwxpby9cd1, 6o2v57d92t1mejod24gmufcut, 7o11dzx2cccrslutrjl16ik89, f5ln82l8q7gvouj3zhsp5t4gl, 7c6034wb3zsuq9nhxxiahiuol, dglkt5h4m18p1qcj2uhqymvv9, 2az0f39bhz2kvxhopalzi0h5h, 3r2j2j3v6kgmauw5yv9j3x1hx, e8dpcth2x1y0zbaovljbgk5hx, r4grdzsip637zvi2uu3nl979, bsyv3fmihshve4jcr11qmtmfp, 3w8uk04gxlm4tj4hmsc3msmvp, bh5gxk1kd65fnph0s6kgxt8q2, arjwwth6yazptr851wu2u6e0a, 2es4ydlcwwasm6mu7rmey5r3e, 5n7vp6g13q7sxkzbygfbz27oq",4024235237,59,"26, 17, 30, 27, 28, 3, 42, 8, 38, 22, 32, 1, 5, 7, 9, 18, 23, 29, 33, 34",4024235241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024235235,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4024295251,194,b7ve7k983eaewnupejiow3jdh,4024235243,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024235239,130,8,4024459837,197,8113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506199333,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-02-11T13:33:47.899Z,2023-02-11T14:31:47Z,4024242417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4024242425,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024297765,194,3kti58d195gmtzwrjh5nprx05,4024242419,59,"33, 2, 24, 16, 21, 23, 3, 17, 20, 31, 22, 1, 4, 5, 7, 11, 14, 15, 25, 39",4024471755,197,16500,4024242415,30,"62gct49oglcdzxafhrfucrb2t, 3uqn1adw8rarez1gpen9vng7p, e9u7cmvaem5p7x9px3yq9f179, a4p1m3cqm6z2p1bw97s6k46ad, 8p2yagsx6ujdbmeonkd3u4c89, 4xhnmoqgxoheel005ek6ckfs9, 3kti58d195gmtzwrjh5nprx05, 254i1zsifi2er9rvuxgi9katx, 4nn6rxyzy97wl4ppqqnhhxyax, 2tdxcr1wkubis5n81sg4pzyz9, 3havaatbnk8p6gc9srgajc25l, 5bzowvtg5vhntcx1w3roriehh, bibz1qxakmbflq73marmo4nop, 5l8wtw156meo2vrtrgasif6jt, 5eym30brgmujovaeyb6dhhgfe, 49epln99aa2797cs2zq3al1t6, 9fd19beamnr8qmhqdvzr7fcyy, 7gzdg0j9usc3yq0dd1ad57sgl, 80nniieqtuwjhomwjcebnxyzu, b5mpbec03n9qatneviazigfvu",4024242421,130,4,4024242427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506245981,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-02-11T14:30:51.494Z,2023-02-11T14:30:51Z,4024482519,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506246009,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-02-11T14:30:51.494Z,2023-02-12T06:13:11Z,4024482717,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506246035,3,1,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,50,50,2023-02-11T14:30:51.521Z,2023-02-12T06:36:06Z,4024482839,141,54.8,4024482843,213,3.0,4024482835,56,Back,4027563447,178,,4024482841,212,19.4,4024482837,140,31.8,4024482845,279,S,,,,3havaatbnk8p6gc9srgajc25l,C. Führich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506246085,4,1,1,0,3,3dwlvz6cl4lcavvrg0y2dycrt,0,31.8,54.8,2023-02-11T14:30:54.536Z,2023-02-12T06:45:30Z,4024483145,213,5.7,4024483137,56,Right,4024483147,1,,4024483141,141,19.7,4024483135,155,,4024483143,212,43.1,4024483139,140,66.0,4027573971,178,,4xhnmoqgxoheel005ek6ckfs9,D. Zagadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506246099,3,44,1,0,5,6k5zscdm9ufw0tguvzyjlp5hq,1,33.1,81.5,2023-02-11T14:30:57.483Z,2023-02-12T11:51:53Z,4024483219,233,5,4024483191,285,,4024483187,56,Back,,,,,,,,,,,,,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506246095,5,44,1,0,5,3dwlvz6cl4lcavvrg0y2dycrt,0,66.9,18.5,2023-02-11T14:30:57.484Z,2023-02-12T06:45:33Z,4024483179,56,Right,4024483457,233,3,4024483181,286,,,,,,,,,,,,,,,,,4nn6rxyzy97wl4ppqqnhhxyax,L. Pfeiffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506246115,4,1,1,0,6,6k5zscdm9ufw0tguvzyjlp5hq,1,31.2,80.8,2023-02-11T14:30:57.554Z,2023-02-12T11:51:53Z,4024483271,140,35.2,4024483267,3,,4024483269,56,Back,4024483277,213,5.1,4024483273,141,67.0,4027574061,388,,4024483275,212,10.3,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506246143,5,49,1,0,7,6k5zscdm9ufw0tguvzyjlp5hq,1,36.6,63.9,2023-02-11T14:30:59.441Z,2023-02-12T06:46:21Z,,,,,,,,,,,,,,,,,,,,,,,,,7o11dzx2cccrslutrjl16ik89,R. Dōan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
