id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/10/value,qualifier/14/value,assist,qualifier/15/value
2519143981,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-03-12T13:33:48.820Z,2023-03-12T14:27:38Z,4092601717,59,"26, 17, 30, 8, 28, 5, 42, 27, 38, 9, 32, 1, 14, 18, 22, 25, 29, 33, 34, 35",4092601721,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092601713,30,"920yurg08gqayxwc80q9f8ixh, 2jk8zu0m0tf7if0pyrkbo82xh, b7ve7k983eaewnupejiow3jdh, f5ln82l8q7gvouj3zhsp5t4gl, 84mp3eqt1ckw107hwxpby9cd1, e8dpcth2x1y0zbaovljbgk5hx, 7o11dzx2cccrslutrjl16ik89, ejnh215cji6xou661kiwcc91x, 7c6034wb3zsuq9nhxxiahiuol, bsyv3fmihshve4jcr11qmtmfp, 2az0f39bhz2kvxhopalzi0h5h, 3r2j2j3v6kgmauw5yv9j3x1hx, 7at6knpizbafid4br861pi6zt, 3w8uk04gxlm4tj4hmsc3msmvp, dglkt5h4m18p1qcj2uhqymvv9, d36na8jr6xcc8eronhy8mcz1m, arjwwth6yazptr851wu2u6e0a, 2es4ydlcwwasm6mu7rmey5r3e, 5n7vp6g13q7sxkzbygfbz27oq, e8hf96xbntslqrlottv5yp016",4092900929,194,b7ve7k983eaewnupejiow3jdh,4092601723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092601715,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092601719,130,2,4092889101,197,8113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519146313,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-03-12T13:36:38.771Z,2023-03-12T14:37:27Z,4092614917,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092614907,59,"1, 3, 29, 25, 23, 5, 13, 20, 9, 10, 8, 4, 11, 17, 27, 35, 37, 39, 40, 44",4092614905,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092614913,194,cm8po8ez5w9ms01gid6w3kwk5,4092614909,130,12,4092614911,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092614903,30,"cm8po8ez5w9ms01gid6w3kwk5, shbxc528h0udd6rdf3ax2itx, arwidogdfccsjv8fxa1veezf9, 6yhylu5q0y924amgv7vlodkgl, a5kkysp7c5f577ji17q5v2k0l, 6ki6rv564ybctrajr2xtgyeax, 7hnmtyfmurizitwz1whecjnmy, 8um4xh0ekvr4q6uti3ksld8q2, bkbmygo5f1glcs6xssawl26z9, e9c0v3ik308t91njildxzc6vp, f3v95yyj6j7h7qpprxm4zlre1, 4rrnad6qnutl60z8e1quup6tx, 9uthj64y9f77y63tq7did539x, 4gqnyyx3i92fayq6cxvekqwut, ew18qvvupaejxubhqmxmbd39x, 65v1s740zfmpwkc0z1v3aisd0, 6k3daudjhieulsgywbt9uoep6, 6sj31v61vtwwxe5hhwkj80g7o, 6teffw7m19t1b3auxy22y4m0a, 1yjv2fht4kuph088zlgwfwup6",4092905081,197,3794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519205491,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-03-12T14:30:20.432Z,2023-03-12T14:30:23Z,4092918941,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519205475,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-03-12T14:30:20.432Z,2023-03-13T06:23:43Z,4092918867,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519205547,3,1,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,50,50,2023-03-12T14:30:20.435Z,2023-03-13T07:56:19Z,4092919299,140,32.1,4092919307,279,S,4092919303,212,18.8,4092919301,141,51.1,4092919305,213,3.1,4092919297,56,Back,4095465425,178,,,,,f3v95yyj6j7h7qpprxm4zlre1,D. Geiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519389475,768,1,1,0,1,4l9mrqzmajz5crzlz50mtbt6x,1,31.1,53.3,2023-03-12T14:30:22.001Z,2023-03-13T07:56:23Z,4093909903,56,Back,4095465463,178,,4093909905,140,30.9,4093909909,212,2.6,4093909911,213,1.7,4093909907,141,57.1,,,,,,,6yhylu5q0y924amgv7vlodkgl,K. Akpoguma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519205595,4,1,1,0,2,4l9mrqzmajz5crzlz50mtbt6x,0,32.2,53.6,2023-03-12T14:30:23.287Z,2023-03-13T07:56:27Z,4092919497,141,25.4,4095465501,178,,4092919493,56,Center,4092919491,155,,4092919499,212,42.3,4092919501,213,5.8,4092919495,140,68.1,4092919503,1,,a5kkysp7c5f577ji17q5v2k0l,J. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519205589,3,44,1,0,6,6k5zscdm9ufw0tguvzyjlp5hq,1,32.5,76.6,2023-03-12T14:30:26.835Z,2023-03-13T08:47:54Z,4092919461,285,,4092919459,56,Back,4092919589,233,5,,,,,,,,,,,,,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519205599,5,44,1,0,6,4l9mrqzmajz5crzlz50mtbt6x,0,67.5,23.4,2023-03-12T14:30:26.836Z,2023-03-13T07:56:34Z,4092919657,233,3,4092919525,286,,4092919523,56,Center,,,,,,,,,,,,,,,,shbxc528h0udd6rdf3ax2itx,P. Kadeřábek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519205593,4,1,1,0,6,6k5zscdm9ufw0tguvzyjlp5hq,0,33.3,77.9,2023-03-12T14:30:26.875Z,2023-03-13T08:47:55Z,4092919487,212,5.2,4092919477,56,Back,4095465607,388,,4092919481,140,35.5,4092919473,3,,4092919485,141,71.1,4092919489,213,5.2,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
