id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2499113619,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-01-21T13:42:39.665Z,2023-01-23T10:12:15Z,3987093777,130,17,3987093775,59,"1, 29, 11, 34, 5, 25, 8, 13, 9, 39, 14, 19, 3, 4, 10, 16, 20, 27, 35, 37",3987093771,30,"cm8po8ez5w9ms01gid6w3kwk5, arwidogdfccsjv8fxa1veezf9, 9uthj64y9f77y63tq7did539x, 980t379w5cp7umv1eltwlfca1, 6ki6rv564ybctrajr2xtgyeax, 6yhylu5q0y924amgv7vlodkgl, f3v95yyj6j7h7qpprxm4zlre1, 7hnmtyfmurizitwz1whecjnmy, bkbmygo5f1glcs6xssawl26z9, 6sj31v61vtwwxe5hhwkj80g7o, 5pousbiuqbus68yekd0mhc5pl, bpprd2haoafk6y0rjans4iytx, shbxc528h0udd6rdf3ax2itx, 4rrnad6qnutl60z8e1quup6tx, e9c0v3ik308t91njildxzc6vp, 3rj7x05qx17n925xfpcrl0jpx, 8um4xh0ekvr4q6uti3ksld8q2, ew18qvvupaejxubhqmxmbd39x, 65v1s740zfmpwkc0z1v3aisd0, 6k3daudjhieulsgywbt9uoep6",3987093781,194,cm8po8ez5w9ms01gid6w3kwk5,3987093785,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987237095,197,3794,3987093773,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3987093779,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499113683,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-01-21T13:42:44.306Z,2023-01-21T14:31:50Z,3987094133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987094127,130,12,3987242435,197,16256,3987094121,30,"8l1mv5qd9vwade754v3l8epjp, 52t6t7cdsr0fjs9ukmwo9y7rp, emtrl7rrhp3ybsibf1f89kyj9, 1ywfkwrcysdlvkt859q00kt7t, cab22ojcuhdzdwmbtl20n8i51, 87jamhsc8ps9kh5432u36kjc9, 254i1zsifi2er9rvuxgi9katx, 24vavcwn4hco5je9kdu9ciwgl, 5xhjvappzv6swoof5qpi0yj9, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, e482cluaxyc6o2auawo9d7npx, 602fyni27c129xjs9ziyn5as5, 7424gvk9hiq5up61dj181y66t, 8prrhz0d1i4vxkhgro8p42bxl, d3xe46be1ajvxzxzboiaoy385, dadiwuzf33969g3808sdd9brp, 64vve6gzn5mwodos6ynufwa5m, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy",3987094125,59,"1, 28, 23, 5, 31, 3, 24, 19, 45, 27, 8, 7, 14, 17, 21, 25, 32, 36, 37, 40",3987094131,194,52t6t7cdsr0fjs9ukmwo9y7rp,3987094129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3987094123,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141735,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-01-21T14:31:02.401Z,2023-01-21T21:13:01Z,3987247761,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141723,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-01-21T14:31:02.401Z,2023-01-21T14:31:02Z,3987247723,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141781,3,1,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,50.1,49.7,2023-01-21T14:31:02.498Z,2023-01-22T08:55:27Z,3987247973,140,42.8,3987247971,56,Back,3987247975,141,56.0,3987247987,278,,3987247979,212,8.8,3987247985,279,S,3987253577,189,,3989216649,178,,5pousbiuqbus68yekd0mhc5pl,C. Baumgartner,3987247983,213,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141795,4,1,1,0,3,4l9mrqzmajz5crzlz50mtbt6x,1,44,58.8,2023-01-21T14:31:05.863Z,2023-01-22T01:34:41Z,3987248047,141,91.1,3987248045,140,56.0,3989216779,178,,3987248041,56,Left,3987248053,213,1.0,3987248049,212,25.3,,,,,,,f3v95yyj6j7h7qpprxm4zlre1,D. Geiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141813,5,1,1,0,5,4l9mrqzmajz5crzlz50mtbt6x,1,55.9,92,2023-01-21T14:31:07.696Z,2023-01-22T01:34:46Z,3987248161,140,59.6,3987248165,212,4.0,3987248167,213,0.3,3987248159,56,Left,3987248163,141,93.6,3989216887,178,,,,,,,,7hnmtyfmurizitwz1whecjnmy,A. Stiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141873,6,1,1,0,6,4l9mrqzmajz5crzlz50mtbt6x,1,59.4,92.9,2023-01-21T14:31:08.514Z,2023-01-22T01:34:51Z,3987248499,141,82.4,3987248501,212,30.3,3987248503,213,3.4,3987248495,56,Back,3989216959,178,,3987248497,140,31.4,,,,,,,9uthj64y9f77y63tq7did539x,Angeliño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141891,7,1,1,0,9,4l9mrqzmajz5crzlz50mtbt6x,1,32,81.8,2023-01-21T14:31:11.641Z,2023-01-22T01:34:54Z,3989217003,178,,3987248627,212,25.1,3987248621,56,Back,3987248625,141,61.7,3987248629,213,3.7,3987248623,140,12.0,,,,,,,980t379w5cp7umv1eltwlfca1,S. Nsoki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141921,8,1,1,0,13,4l9mrqzmajz5crzlz50mtbt6x,0,14.1,49.9,2023-01-21T14:31:15.656Z,2023-01-22T01:35:00Z,3987248801,1,,3987248793,140,65.7,3987248799,213,6.0,3987248789,155,,3987248797,212,57.3,3989217105,178,,3987248795,141,22.4,3987248791,56,Center,cm8po8ez5w9ms01gid6w3kwk5,O. Baumann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141949,3,1,1,0,16,a8d2gb2nag8fy0itbuxmcibh2,0,41,78,2023-01-21T14:31:18.769Z,2023-01-22T01:35:05Z,3987248951,141,61.1,3987248947,56,Back,3987248945,3,,3989217193,178,,3987248957,213,4.7,3987248953,212,11.5,3987248949,140,40.5,,,,emtrl7rrhp3ybsibf1f89kyj9,N. Gießelmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499141953,9,44,1,0,18,4l9mrqzmajz5crzlz50mtbt6x,1,62.8,43.4,2023-01-21T14:31:21.070Z,2023-01-22T06:25:31Z,3987249053,233,4,3987248971,286,,3987248969,56,Center,,,,,,,,,,,,,,,,7hnmtyfmurizitwz1whecjnmy,A. Stiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
