id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2500336545,8,1,1,0,12,4l9mrqzmajz5crzlz50mtbt6x,0,40.6,75.3,2023-01-24T19:30:29.693Z,2023-01-25T09:29:25Z,3993518551,155,,3994197781,178,,3993518553,56,Left,3993518555,140,85.8,3993518557,141,92.4,3993518561,213,0.2,3993518559,212,48.9,3993518563,1,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336543,3,49,1,0,16,3dwlvz6cl4lcavvrg0y2dycrt,1,5.2,12.6,2023-01-24T19:30:34.253Z,2023-01-25T09:30:06Z,,,,,,,,,,,,,,,,,,,,,,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336581,4,12,1,0,16,3dwlvz6cl4lcavvrg0y2dycrt,1,13.8,5.3,2023-01-24T19:30:34.317Z,2023-01-25T09:30:12Z,3993518733,140,21.5,3993518731,56,Back,3993518745,167,,3993518739,213,5.9,3993518737,212,8.9,3994198685,178,,3993518735,141,0.0,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336583,5,5,1,0,17,3dwlvz6cl4lcavvrg0y2dycrt,0,25.7,-0.7,2023-01-24T19:30:34.740Z,2023-01-25T09:30:23Z,3993518781,233,9,3993518743,347,,3993518741,56,Back,,,,,,,,,,,,,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336577,9,5,1,0,17,4l9mrqzmajz5crzlz50mtbt6x,1,74.3,100.7,2023-01-24T19:30:34.740Z,2023-01-25T09:30:22Z,3993518713,56,Left,3993518747,233,5,3993518715,347,,,,,,,,,,,,,,,,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336663,10,1,1,0,36,4l9mrqzmajz5crzlz50mtbt6x,1,75.4,100,2023-01-24T19:30:53.522Z,2023-01-25T09:30:28Z,3993519143,140,75.5,3993519141,56,Left,3993519149,213,4.7,3993519137,107,,3993519145,141,87.2,3993519147,212,10.1,,,,,,,9uthj64y9f77y63tq7did539x,Angeliño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336667,11,1,1,0,37,4l9mrqzmajz5crzlz50mtbt6x,1,75.5,87.2,2023-01-24T19:30:54.345Z,2023-01-25T09:30:39Z,3993519175,141,95.4,3993519177,212,5.6,3993519179,213,1.5,3994199157,178,,3993519171,56,Left,3993519173,140,75.8,,,,,,,ew18qvvupaejxubhqmxmbd39x,A. Kramarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336675,12,1,1,0,37,4l9mrqzmajz5crzlz50mtbt6x,1,75.8,95.4,2023-01-24T19:30:55.278Z,2023-01-25T09:30:44Z,3993519203,140,73.1,3993519209,213,3.5,3993519205,141,93.8,3993519207,212,3.0,3993519199,56,Left,3994199243,178,,,,,,,,9uthj64y9f77y63tq7did539x,Angeliño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336679,13,1,1,0,39,4l9mrqzmajz5crzlz50mtbt6x,0,73.1,93.8,2023-01-24T19:30:56.864Z,2023-01-25T09:30:47Z,3993519229,140,72.2,3994199309,178,,3993519231,141,92.1,3993519227,56,Left,3993519295,233,6,3993519233,212,1.5,3993519299,286,,3993519235,213,4.0,7hnmtyfmurizitwz1whecjnmy,A. Stiller,3993519293,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336689,6,74,1,0,39,3dwlvz6cl4lcavvrg0y2dycrt,1,31.2,13.2,2023-01-24T19:30:56.901Z,2023-01-25T09:30:51Z,3994199399,178,,3993519287,285,,3993519285,56,Back,3993519303,233,13,,,,,,,,,,,,,9fd19beamnr8qmhqdvzr7fcyy,S. Katompa Mvumpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
