id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/9/value,assist,qualifier/11/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value,qualifier/16/value
2509051369,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-02-18T13:35:45.895Z,2023-02-18T14:26:36Z,4039249105,194,21vfv10e7fh6b2xtcu55ihn11,4039249109,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039249101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039249095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039459555,197,16229,4039249097,59,"20, 2, 14, 28, 5, 24, 37, 6, 21, 8, 11, 1, 7, 17, 23, 25, 27, 29, 38, 47",4039249093,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 8w5vjfl9ntyyxzyn2lo8k4dpm, mgwgcv336wb93xvv0pfr6dih, cnf7quyillyf560nh14taliw9, 3saz8njlttx2i4ospcwmmaqga, 8n4b6j21nxf1nf628ugg3xsdl, 89s9fm31pcfq7l28kc2kad4kq, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, bkonv3y0vn24mpn6j8abjtux, 6dzx3oyd42ql69tqxqvg8mpxx, 8mmecefcbz8wu4jcqqywps5p1, pjbuqt8wiwm2ql2tfvvcn59m, 6yc09eth94qsachf595dyx6fp, 7rltyxkrvvfg7q1hppl631soa, 1zis1dq0xbudlh2iatvym2rkk, 2hb1dyg1auzdfbi3lg9ysap9m",4039249099,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509051525,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-02-18T13:35:57.800Z,2023-02-18T14:28:55Z,4039249955,194,3kti58d195gmtzwrjh5nprx05,4039249957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039249953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039249951,130,4,4039249945,30,"62gct49oglcdzxafhrfucrb2t, 3uqn1adw8rarez1gpen9vng7p, e9u7cmvaem5p7x9px3yq9f179, a4p1m3cqm6z2p1bw97s6k46ad, 5l8wtw156meo2vrtrgasif6jt, 8p2yagsx6ujdbmeonkd3u4c89, 3kti58d195gmtzwrjh5nprx05, 254i1zsifi2er9rvuxgi9katx, 9fd19beamnr8qmhqdvzr7fcyy, 2tdxcr1wkubis5n81sg4pzyz9, 3havaatbnk8p6gc9srgajc25l, 5bzowvtg5vhntcx1w3roriehh, bibz1qxakmbflq73marmo4nop, 5eym30brgmujovaeyb6dhhgfe, d1gc59ozyrrnl82rog6fbm0dm, 49epln99aa2797cs2zq3al1t6, 7gzdg0j9usc3yq0dd1ad57sgl, 4nn6rxyzy97wl4ppqqnhhxyax, 4xhnmoqgxoheel005ek6ckfs9, 1en0bgq0u842snszevlkscxk9",4039469037,197,16195,4039249949,59,"33, 2, 24, 16, 5, 21, 3, 17, 14, 31, 22, 1, 4, 7, 8, 11, 15, 20, 23, 28",4039249947,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094449,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-02-18T14:30:23.752Z,2023-02-19T04:35:11Z,4039475487,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094539,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-02-18T14:30:23.752Z,2023-02-18T14:30:32Z,4039475953,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094555,3,1,1,0,0,8q1ul09cygzswb7tb456bmifv,1,50,50,2023-02-18T14:30:23.824Z,2023-02-19T04:54:40Z,4039476045,140,36.3,4039476049,212,19.1,4039476039,56,Back,4039476047,141,68.5,4042637903,178,,4039476053,279,S,4039476051,213,2.4,,,,cnf7quyillyf560nh14taliw9,L. Maina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094563,4,1,1,0,2,8q1ul09cygzswb7tb456bmifv,1,38.5,69.3,2023-02-18T14:30:26.346Z,2023-02-19T04:54:44Z,4039476101,140,26.5,4039476103,141,76.3,4039476107,213,2.8,4039476105,212,13.5,4039476099,56,Back,4042637953,178,,,,,,,,ojqb7kv87o0cidbckgtg1rdh,E. Skhiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094569,5,1,1,0,4,8q1ul09cygzswb7tb456bmifv,1,24.6,72.8,2023-02-18T14:30:28.304Z,2023-02-19T04:54:54Z,4042638111,178,,4039476135,212,30.5,4039476131,140,13.0,4039476127,56,Back,4039476133,141,31.6,4039476137,213,4.3,,,,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094669,6,1,1,0,8,8q1ul09cygzswb7tb456bmifv,1,13,26.6,2023-02-18T14:30:32.511Z,2023-02-19T04:54:58Z,4039476685,141,44.7,4039476689,213,1.9,4042638163,178,,4039476681,56,Back,4039476683,140,8.7,4039476687,212,13.1,,,,,,,8w5vjfl9ntyyxzyn2lo8k4dpm,N. Soldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094725,7,1,1,0,12,8q1ul09cygzswb7tb456bmifv,1,10.9,42.7,2023-02-18T14:30:36.495Z,2023-02-19T04:55:00Z,4042638187,178,,4039476945,212,49.2,4039476939,56,Center,4039476949,1,,4039476941,140,54.0,4039476947,213,0.4,4039476943,141,71.1,4039476937,155,,4zfgh6wq7svx418tzwf0gfavp,M. Schwäbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094771,9,1,1,0,15,8q1ul09cygzswb7tb456bmifv,1,54,71.1,2023-02-18T14:30:39.658Z,2023-02-19T04:55:04Z,4039477145,3,,4039477147,56,Back,4042638239,388,,4039477149,140,45.9,4039477155,213,2.2,4039477151,141,87.8,4039477153,212,14.2,,,,8n4b6j21nxf1nf628ugg3xsdl,S. Tigges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
