id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist
2453100549,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-08-29T17:18:46.846Z,2022-08-29T17:58:34Z,3743475351,194,ip62fljz9ng6sil4krcq8dm1,3743475345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3743533717,197,486,3743475339,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3743475337,30,"dmsmbn9a1qucwf100o3v77nbp, armxucjqaulvwfxyufovg3je1, e8si4ph9te020gpicg3k2k3u2, sbxnlkg50itbqkpuh8wnwk45, akfbttkeqfd8pzhe93ra674kp, ip62fljz9ng6sil4krcq8dm1, 1rm3t48auz1wqya7tanmjyjje, arrbpgnwbguhyumc8c1u4jsut, azt0ll196snbxy38eqw7mtln9, bzf3k4wvqvx1tl1mx960wjv85, 6p6sdikmka45csxfw0i0q0l3p, 1o51op6w576yo6t585wkwistm, bmbzc4jvazdiuddsbnceyauei, g0s22zvneqmryewunetlsbje, f2snk84xy67ergwrwoblgt2ad, 6zxcmzp7w6esj54g05tvk7ai1, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, 2sxmpaw4khmgyym320oiwu3u, awokzor2tv5ro47ea34at1gx5, 80dk8iv6p0202z10qcqy8bfca",3743475353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3743475343,130,8,3743475341,59,"1, 19, 12, 15, 4, 21, 24, 18, 33, 10, 29, 2, 8, 14, 17, 20, 22, 23, 26, 27, 28, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453100723,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-08-29T17:19:27.682Z,2022-08-29T18:09:02Z,3743476573,30,"rgspixypiwxuenf1yaukrrop, bk7742h8fac9g6e6wh7nnugkq, eke044f5xni8gdztggk6x4a1h, epkss1rj7z6duqd3axbcm8l0q, 90rgtmdx8g43vz2pvp0hxotwq, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, 6clycir6laxvycsr4yjh9iwa1, 2gwigr63tgo2jw460msz2qgwk, 2072f0p9ful9u577gdvo89yw9, 3usiruyhxf6p9lkiz5qeytze2, eog43l8hrs7pbza9bmwu0p2sq, axbyqn4r430cilb6lbnzpbuvo, gmu8p51rp6bjzs0bss5jupzo, avv12sgcucblnbfb790xovf8, er8v2eo4vlak5ftjetqhinfv8, d2cynimupgko6ekp78iv3kxlg, 1b409f4dv852le376vbcjdmhg, 1dljhkcvmodqq9u1w8iv145m2, 966zp0zv6513cnn3q2t6xvtyi, 50ecz4x9j0zfudh34l7f2ecr8, 88m6s6m8ep0p3fropim4ttcoa",3743476585,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3743476581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3743533843,197,4032,3743476579,130,2,3743476575,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3743476577,59,"12, 32, 21, 8, 3, 4, 7, 11, 16, 10, 9, 1, 2, 5, 14, 15, 23, 24, 22, 28, 30, 31",3743476583,194,7d9x6ojih9obktxl3fnrjskk4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453111845,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2022-08-29T18:01:08.864Z,2022-08-29T18:01:10Z,3743535759,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453111831,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-08-29T18:01:08.864Z,2022-08-29T18:01:09Z,3743535713,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453111901,3,1,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,50.2,50,2022-08-29T18:01:08.964Z,2022-08-29T18:01:13Z,3743535971,56,Back,3743535979,213,3.3,3743535975,141,46.1,3743535977,212,17.9,3743535981,279,S,3743535973,140,33.3,,,,,,,3usiruyhxf6p9lkiz5qeytze2,M. Remans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453111917,4,1,1,0,4,bqm1bnp1bh2apyudlz1o1whr3,1,33.7,45.8,2022-08-29T18:01:13.351Z,2022-08-29T18:01:16Z,3743536067,213,4.5,3743536065,212,14.3,3743536061,140,31.2,3743536063,141,25.2,3743536059,56,Back,,,,,,,,,,7d9x6ojih9obktxl3fnrjskk4,M. Waem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453111927,5,1,1,0,7,bqm1bnp1bh2apyudlz1o1whr3,0,33.4,23.3,2022-08-29T18:01:16.295Z,2022-08-29T18:01:18Z,3743536129,213,0.1,3743536127,212,42.6,3743536125,141,27.6,3743536131,1,,3743536121,56,Center,3743536119,155,,3743536123,140,73.9,,,,90rgtmdx8g43vz2pvp0hxotwq,R. Zeegers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453111939,3,1,1,0,9,dac758ef858jbq7pcb3gfwite,0,25.3,74.8,2022-08-29T18:01:18.157Z,2022-08-29T18:59:23Z,3743536195,212,15.3,3743536197,213,1.2,3743536187,3,,3743536189,56,Back,3743536193,141,96.0,3743536191,140,30.3,,,,,,,ip62fljz9ng6sil4krcq8dm1,J. Hoogma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453111955,6,43,1,0,15,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-08-29T18:01:23.864Z,2022-08-29T18:58:16Z,3743666723,144,3,3743536269,286,0,3743536267,56,Right,,,,,,,,,,,,,,,,2gwigr63tgo2jw460msz2qgwk,J. Steuckers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453135119,443,3,1,0,15,bqm1bnp1bh2apyudlz1o1whr3,1,68.2,8.8,2022-08-29T18:01:23.864Z,2022-08-29T18:59:23Z,3743668481,56,Right,3743668483,286,,3743668485,233,468,,,,,,,,,,,,,,,,2gwigr63tgo2jw460msz2qgwk,J. Steuckers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
