id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/15/value,qualifier/16/value,qualifier/17/value
2478283633,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-10-28T16:57:30.188Z,2022-10-28T18:05:37Z,3877348521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877348517,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877348515,130,4,3877348511,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877348519,194,alimpjocr7xtxu21sumg3b2l1,3877348509,30,"1du03mqsc0o6i4e64n7pzr6ui, 72d57i3mfqxtbsmm196kdv0fd, 5pg02unrm16jaa8vt5ego9z6y, a69sa0h7lgpmlav961cpejbe2, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, 8qc6u3zsblb62it6519a4b6cp, aasoq3euk6e6zqhh08n0wocet, alimpjocr7xtxu21sumg3b2l1, 40l3vtezw1ofwk2occi4z5w45, 3jyb1qtjsf7li8zunui2qpq3u, 3khifxt41tsdr25ea7w5n1mcq, qgusrrldd48qxku8yna03ap5, d6rg9ntx9qa2eh8yiflbke1ux, zhnev5uetomme6rpisaa7wiy, 3p95pudljhqzrnegmko7z56uh, e74wy7br5zhkds5s73ip0tg4, 5et3jsqqhg08ykfqgdniq8fhm, a750kxhudgz2pgboao4iw2mfo, 4o1150mpv9nz55cwj9b0vblk9, 2aaznohtrdkfpf446r3m5itey, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje",3877348513,59,"1, 17, 5, 23, 4, 2, 6, 16, 9, 7, 11, 3, 8, 10, 12, 13, 14, 19, 20, 21, 22, 29, 30",3877472623,197,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478284541,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-10-28T17:01:11.405Z,2022-10-28T18:08:07Z,3877352681,130,8,3877352685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877352673,30,"7wrulbqqdeecd5vegsbb1905w, 30uqa3kfm23ickjssfhmwgdm1, 4nchc9z4464uhu3vveo0p73f8, d29ahwtvs7ls75wdtkf7xr8tm, 9lixevzo8exxiia17altfw8ic, b4vrfh7z9qt9e5gdpkajrqolw, 19wuvqpmewphgvsfzi4yjl756, 3dx91sb6ktg8z1xmoti25kru, 51f3vubki4or5vaft5tromn3e, 9v7zwguzazofzafwg3qevdo4q, a3pwwwba6td400zwqjpbf6pnu, 7ug3a0z74dj7qlq4jbtn1kutw, 7s2zxbtepa7dgr8yl0s48afpw, 8o2iv0qhfft5pgzm75ckuo0es, cdlnfuy9piyga0wud4nrucvtg, 280wxf8wp6bjwgjwt9fy03nmy, cwu5itv65s8p6zsalk3np4ic, b1h2eiqxic31ioxbs1zjd709g, 9nrajqcpld6bcowgarf1zr0iy, cs49ec8y6cubrlo5nmu3j3jtg, 8u19xeh9ugvh8f1mh7jnbbhuc",3877473257,197,8788,3877352679,59,"1, 2, 5, 8, 3, 4, 7, 6, 9, 10, 11, 16, 14, 19, 21, 17, 18, 12, 15, 20, 22",3877352693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877352675,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877352689,194,19wuvqpmewphgvsfzi4yjl756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308625,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-10-28T18:01:26.724Z,2022-10-28T18:01:27Z,3877475593,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308621,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-10-28T18:01:26.724Z,2022-10-28T18:01:26Z,3877475569,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308637,3,1,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,49.9,50,2022-10-28T18:01:26.824Z,2022-10-28T18:01:30Z,3877475649,141,67.5,3877475651,212,28.7,3877475655,279,S,3877475647,140,25.0,3877475645,56,Back,3877475653,213,2.7,,,,,,,a3pwwwba6td400zwqjpbf6pnu,S. Allouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308681,4,1,1,0,3,1wyg1tunyt7go9tnjea1hjqxb,1,25.1,68.9,2022-10-28T18:01:30.596Z,2022-10-28T18:01:34Z,3877475863,1,,3877475859,212,51.3,3877475853,56,Right,3877475857,141,15.7,3877475855,140,59.8,3877475851,155,,3877475861,213,5.5,,,,b4vrfh7z9qt9e5gdpkajrqolw,M. Engel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308685,5,44,1,0,6,1wyg1tunyt7go9tnjea1hjqxb,1,64.2,14.3,2022-10-28T18:01:33.553Z,2022-10-28T18:01:35Z,3877475907,233,3,3877475887,286,,3877475885,56,Right,,,,,,,,,,,,,,,,19wuvqpmewphgvsfzi4yjl756,I. Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308671,3,44,1,0,6,cv5ftekuejf0ryxvd5h2my47r,0,35.8,85.7,2022-10-28T18:01:33.554Z,2022-10-28T18:01:35Z,3877475829,56,Back,3877475921,233,5,3877475831,285,,,,,,,,,,,,,,,,,5pg02unrm16jaa8vt5ego9z6y,S. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308697,6,1,1,0,8,1wyg1tunyt7go9tnjea1hjqxb,0,57.9,13.7,2022-10-28T18:01:34.980Z,2022-10-28T18:01:36Z,3877475931,212,9.7,3877475925,56,Right,3877475927,140,67.0,3877475933,213,0.2,3877475923,3,,3877475929,141,16.3,,,,,,,19wuvqpmewphgvsfzi4yjl756,I. Griffith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478308743,7,1,1,0,10,1wyg1tunyt7go9tnjea1hjqxb,1,86,16.1,2022-10-28T18:01:36.885Z,2022-10-28T18:58:25Z,3877476129,212,7.8,3877476123,56,Right,3877476127,141,6.6,3877476131,213,5.3,3877476125,140,90.2,,,,,,,,,,9v7zwguzazofzafwg3qevdo4q,F. de Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
