id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2491876121,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-12-16T17:58:04.408Z,2022-12-16T19:13:34Z,3948859953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948859951,130,18,3948859949,59,"1, 13, 25, 4, 10, 6, 32, 16, 23, 18, 7, 9, 11, 14, 19, 21, 22, 24, 27, 36, 42, 44",3948859947,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3948859945,30,"etvamcwttnlg4sfxfulgzm7yt, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 7isjog4r71ahzypnhq3ki9xp1, 75o7fx1uwk6pavxbnqqx28y51, 8cox96ikk1k4c24f0y5ef45x, 7dw3mexdcnel375y16vfl0g2y, 9najgqcaamqj0qtiicuq9hey, 47autoxmcbr5z7o6d8998esph, 35uvcvkv4nd0jbsov3xosjsut, bw7s1zgz97p8szhn4shwkx2w9, 5i0e7e59vav8ynqzt7qrvitt6, 88csh50wwpanzfdvu7ia3x1ih, amasl6wz90pv9kkbx3kihj7bp, b9apqidquztaojf6e3my6v7bp, ckx9rplhgmncmcxs0a1z7n6qd, bhn0paq89a5keakgitoyn2hw4, 8dnmp33ergo6zwzb6ubiyvl6, eimwdeabp96ttxf8zywuiu8ve, 39f4hnokkp81ucrkx5bo5sjdg, f4rb3nes422yxsznjzwx0kwlw, 1g092dgjsahqacxxzf5f20wh6",3948885689,194,35uvcvkv4nd0jbsov3xosjsut,3948947035,197,13571,3948859955,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491880783,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-12-16T18:10:31.512Z,2022-12-16T19:07:20Z,3948885155,130,8,3948945511,197,2124,3948885153,59,"1, 27, 28, 18, 22, 20, 14, 23, 35, 24, 33, 3, 4, 5, 6, 7, 8, 9, 11, 16, 31, 32, 34",3948885157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948885159,194,abgzge9xy445z8rdwa2mcapqt,3948885151,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3948885161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3948885149,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 96j7klvrblmkwsprx0wk81b10, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 7b4jmfu1ejoeci2zmvwuejnys, cipmd3k2nfv0ddic0l8go14gl, cglskkkycbja9rjybhui9hdrd, ds0hd4ezvb5rw6l95rhbxtq1g, 92mkw4rtoho0gkf3wr19c9iad, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 7flz5rsy2e31gbd8udiqg14gl, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 11sxalz1nikiipmp7bxvz33rp, 1j33nixshgkkdwjjnuafknahh, 1chxk7d4i11x2f16igblexgyc, es1ohgwfiwq5f9mx2887zul90, g16sstb2lz1ru2hsba2ml6ju, vp0ugvtvnm7d72lyd3gsixhw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892689,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2022-12-16T19:02:27.937Z,2022-12-16T19:02:28Z,3948950073,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892703,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-12-16T19:02:27.937Z,2022-12-16T19:02:31Z,3948950153,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892701,3,1,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,50,50,2022-12-16T19:02:28.037Z,2022-12-16T19:02:31Z,3948950139,56,Back,3948950145,212,19.2,3948950149,279,S,3948950147,213,3.4,3948950143,141,43.6,3948950141,140,32.2,,,,,,,47autoxmcbr5z7o6d8998esph,M. de Leeuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892741,4,1,1,0,3,bk5ltsueqmeng29eovd8m2tml,1,32.7,43.6,2022-12-16T19:02:31.166Z,2022-12-16T19:06:29Z,3948950325,141,74.5,3948950331,1,,3948950321,56,Center,3948950323,140,79.4,3948950329,213,0.4,3948950319,157,,3948950327,212,53.3,,,,8cox96ikk1k4c24f0y5ef45x,W. Dammers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892743,5,61,1,0,8,bk5ltsueqmeng29eovd8m2tml,1,79.4,74.5,2022-12-16T19:02:36.809Z,2022-12-16T19:02:37Z,3948950339,56,Center,,,,,,,,,,,,,,,,,,,,,,ewnmiv6ew1d5cnuul715x4dzp,L. Woudenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892757,3,12,1,0,9,xcevba75jfkrg4s6tl89zl3y,1,24.4,42.4,2022-12-16T19:02:37.510Z,2022-12-16T19:02:39Z,3948950403,213,5.1,3948950399,141,12.5,3948950397,140,31.8,3948950401,212,21.8,3948950395,56,Back,,,,,,,,,,cglskkkycbja9rjybhui9hdrd,M. Kaandorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892763,4,49,1,0,11,xcevba75jfkrg4s6tl89zl3y,1,31.8,12.7,2022-12-16T19:02:39.343Z,2022-12-16T19:02:39Z,,,,,,,,,,,,,,,,,,,,,,,,,5curv1gquatwkxsin86fghvkk,C. Neghli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892783,5,3,1,0,13,xcevba75jfkrg4s6tl89zl3y,0,36.3,7.2,2022-12-16T19:02:41.744Z,2022-12-16T19:02:45Z,3948950517,286,,3948950515,56,Back,3948950593,233,6,,,,,,,,,,,,,,,,5curv1gquatwkxsin86fghvkk,C. Neghli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892795,6,7,1,0,13,bk5ltsueqmeng29eovd8m2tml,1,63.7,92.8,2022-12-16T19:02:41.745Z,2022-12-16T19:02:45Z,3948950553,285,,3948950585,233,5,3948950551,56,Left,,,,,,,,,,,,,,,,7isjog4r71ahzypnhq3ki9xp1,E. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892801,7,49,1,0,16,bk5ltsueqmeng29eovd8m2tml,1,69.7,97.2,2022-12-16T19:02:44.670Z,2022-12-16T19:02:45Z,,,,,,,,,,,,,,,,,,,,,,,,,ewnmiv6ew1d5cnuul715x4dzp,L. Woudenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892807,8,1,1,0,16,bk5ltsueqmeng29eovd8m2tml,0,69.7,97.2,2022-12-16T19:02:44.814Z,2022-12-16T19:02:52Z,3948950977,233,6,3948950615,212,0.7,3948950613,141,97.2,3948950617,213,0.0,3948950981,286,,3948950609,56,Left,3948950611,140,70.4,3948950975,236,,ewnmiv6ew1d5cnuul715x4dzp,L. Woudenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892821,6,74,1,0,16,xcevba75jfkrg4s6tl89zl3y,1,22.9,5.6,2022-12-16T19:02:44.815Z,2022-12-16T19:09:07Z,3948950695,56,Back,3948950999,233,8,3948950697,285,,,,,,,,,,,,,,,,,8eribncmewk65x40tn7pvqymt,R. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892831,7,5,1,0,18,xcevba75jfkrg4s6tl89zl3y,0,27.6,-0.9,2022-12-16T19:02:46.509Z,2022-12-16T19:09:03Z,3948950737,56,Back,3948950739,347,,3948951151,233,9,,,,,,,,,,,,,,,,8eribncmewk65x40tn7pvqymt,R. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892911,9,5,1,0,18,bk5ltsueqmeng29eovd8m2tml,1,72.4,100.9,2022-12-16T19:02:46.509Z,2022-12-16T19:02:55Z,3948951129,347,,3948951131,233,7,3948951125,56,Left,,,,,,,,,,,,,,,,ewnmiv6ew1d5cnuul715x4dzp,L. Woudenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892925,10,1,1,0,27,bk5ltsueqmeng29eovd8m2tml,1,71.4,100,2022-12-16T19:02:55.501Z,2022-12-16T19:02:58Z,3948951205,56,Center,3948951215,1,,3948951213,213,5.3,3948951207,140,86.0,3948951211,212,27.1,3948951209,141,68.4,3948951203,107,,,,,ewnmiv6ew1d5cnuul715x4dzp,L. Woudenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892929,11,1,1,0,30,bk5ltsueqmeng29eovd8m2tml,0,86,68.4,2022-12-16T19:02:58.477Z,2022-12-16T19:02:59Z,3948951233,3,,3948951241,212,6.0,3948951239,141,60.6,3948951237,140,83.3,3948951235,56,Center,3948951243,213,4.2,,,,,,,35uvcvkv4nd0jbsov3xosjsut,J. Bokila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892969,8,12,1,0,32,xcevba75jfkrg4s6tl89zl3y,1,14.4,48.5,2022-12-16T19:03:00.012Z,2022-12-16T19:52:29Z,3948951413,56,Back,3948951419,212,24.2,3948951417,141,13.0,3948951421,213,4.7,3948951415,140,13.4,,,,,,,,,,96j7klvrblmkwsprx0wk81b10,H. Bouihrouchane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491892973,12,1,1,0,34,bk5ltsueqmeng29eovd8m2tml,0,90.6,80.8,2022-12-16T19:03:02.318Z,2022-12-16T19:03:03Z,3948951423,2,,3948951427,56,Center,3948951435,213,4.6,3948951429,140,89.7,3948951433,212,10.1,3948951431,141,66.0,,,,,,,9najgqcaamqj0qtiicuq9hey,R. Meerveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893009,9,12,1,0,37,xcevba75jfkrg4s6tl89zl3y,1,14,36.5,2022-12-16T19:03:05.584Z,2022-12-16T19:03:11Z,3948951653,56,Back,3948951657,141,9.7,3948951659,212,18.2,3948951655,140,14.2,3948951661,213,4.7,,,,,,,,,,abgzge9xy445z8rdwa2mcapqt,Jeffry Fortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893013,10,45,1,0,42,xcevba75jfkrg4s6tl89zl3y,0,17.6,8.2,2022-12-16T19:03:10.014Z,2022-12-16T19:52:31Z,3948951675,56,Back,3948951701,233,13,3948951677,285,,,,,,,,,,,,,,,,,7b4jmfu1ejoeci2zmvwuejnys,P. Brittijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893019,13,3,1,0,42,bk5ltsueqmeng29eovd8m2tml,1,82.4,91.8,2022-12-16T19:03:10.014Z,2022-12-16T19:03:11Z,3948951689,286,,3948951695,233,10,3948951685,56,Left,,,,,,,,,,,,,,,,9najgqcaamqj0qtiicuq9hey,R. Meerveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893061,14,1,1,0,43,bk5ltsueqmeng29eovd8m2tml,1,76.7,92.3,2022-12-16T19:03:11.326Z,2022-12-16T19:03:17Z,3948951893,212,31.4,3948951895,213,3.4,3948951887,56,Back,3948951889,140,47.7,3948951891,141,81.2,,,,,,,,,,9najgqcaamqj0qtiicuq9hey,R. Meerveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893075,15,1,1,0,49,bk5ltsueqmeng29eovd8m2tml,1,46,76.3,2022-12-16T19:03:16.942Z,2022-12-16T19:03:19Z,3948951957,212,9.0,3948951959,213,1.3,3948951953,140,48.0,3948951955,141,89.1,3948951951,56,Back,,,,,,,,,,7isjog4r71ahzypnhq3ki9xp1,E. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893091,16,1,1,0,51,bk5ltsueqmeng29eovd8m2tml,1,47.4,87.4,2022-12-16T19:03:18.974Z,2022-12-16T19:03:20Z,3948952031,141,76.9,3948952027,56,Center,3948952035,213,5.3,3948952029,140,51.5,3948952033,212,8.3,,,,,,,,,,75o7fx1uwk6pavxbnqqx28y51,M. Verreth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893107,17,1,1,0,52,bk5ltsueqmeng29eovd8m2tml,1,46.5,78.4,2022-12-16T19:03:20.782Z,2022-12-16T19:03:22Z,3948952121,213,2.4,3948952117,141,88.7,3948952119,212,9.9,3948952113,56,Back,3948952115,140,39.9,,,,,,,,,,9najgqcaamqj0qtiicuq9hey,R. Meerveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893131,18,1,1,0,54,bk5ltsueqmeng29eovd8m2tml,1,35.1,85.3,2022-12-16T19:03:22.749Z,2022-12-16T19:03:26Z,3948952261,141,59.1,3948952265,213,3.7,3948952263,212,33.2,3948952259,140,8.4,3948952257,56,Back,3948952267,1,,,,,,,,75o7fx1uwk6pavxbnqqx28y51,M. Verreth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491893155,19,1,1,0,58,bk5ltsueqmeng29eovd8m2tml,0,8.4,59.1,2022-12-16T19:03:25.967Z,2022-12-16T19:03:28Z,3948952379,141,60.3,3948952377,140,58.0,3948952373,157,,3948952381,212,52.1,3948952385,1,,3948952383,213,0.0,3948952375,56,Center,,,,etvamcwttnlg4sfxfulgzm7yt,K. Lamprou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
