id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2451055733,1,34,16,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-08-26T17:11:49.077Z,2022-08-26T18:03:27Z,3732600625,194,dh3ksith5iat573zuhdhv91w5,3732600619,59,"30, 13, 12, 19, 15, 4, 10, 8, 11, 20, 9, 1, 3, 5, 6, 7, 14, 16, 18, 22, 23, 31, 39",3732600615,30,"alzgg0nxnnex3nkzr6lgmt1ey, 5e9ek4qs1dnp69oojzpvrltrd, 4zow18ykkg1gvw40r7jsrzkl, 8uw9w30592omb8acpnssgdlh, 7cetznpb0tnu6kdz7bvm8gyxh, 1jn9jog8ou8uxnmypneksizxm, a9233dwa5vm9qv2lncq3kawut, dh3ksith5iat573zuhdhv91w5, b61yiz3lait78xmlbyzr2vd62, dhxpfe8e618lavr0915m9y2ju, 5c5quyl7qxptstbge87w2eqqx, 89dofd1p8ftdgy1u8jlyi58lx, cexuwvet4xiruf1jitkjjp7qi, 2mz4zjaxr4rz219q08h97yn6d, au91rqig6uyyi1zdmlxydk38q, 6dpxvfpnaua6y4gevop02qc8a, 50grkc6r635d7bjqgwrasi8rt, 4z8o35izc3gx6i2bt4mcs1fjd, bquqyyfz4lj0xrerbhbtj1jze, fjistzkvlbsa2v7xsnu0uy95, 5chl0qcvbbkd0yeogurw1fz6x, ebj7cl31vlr8nrltm42ydrdka, b950jt347chmq9whlkgl6fxpm",3732600623,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732600617,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732600627,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732600621,130,4,3732707833,197,2848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451057611,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-08-26T17:15:05.865Z,2022-08-26T18:04:22Z,3732609993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732609987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732609995,194,alimpjocr7xtxu21sumg3b2l1,3732609997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732609991,130,4,3732710967,197,917,3732609985,30,"dhb6r3msmmayy7v0b1gb40445, 3p95pudljhqzrnegmko7z56uh, 5pg02unrm16jaa8vt5ego9z6y, aasoq3euk6e6zqhh08n0wocet, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, qgusrrldd48qxku8yna03ap5, 5et3jsqqhg08ykfqgdniq8fhm, alimpjocr7xtxu21sumg3b2l1, d6rg9ntx9qa2eh8yiflbke1ux, 3jyb1qtjsf7li8zunui2qpq3u, 1du03mqsc0o6i4e64n7pzr6ui, 8qc6u3zsblb62it6519a4b6cp, 40l3vtezw1ofwk2occi4z5w45, zhnev5uetomme6rpisaa7wiy, e74wy7br5zhkds5s73ip0tg4, 4c8o2hegax6vahne1ghqx38d0, 4fcmk1x7n95o7owons6mc5a1g, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje",3732609989,59,"38, 13, 5, 16, 4, 2, 8, 19, 9, 10, 11, 1, 6, 7, 12, 14, 21, 25, 29, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077209,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-08-26T18:01:32.428Z,2022-08-26T18:01:35Z,3732713255,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077199,2,32,1,0,0,dnzj0iv5qtaemm9kthh9pos8q,1,0,0,2022-08-26T18:01:32.428Z,2022-08-26T18:01:32Z,3732713205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077257,3,1,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,50.1,49.3,2022-08-26T18:01:32.528Z,2022-08-26T18:01:36Z,3732713495,279,S,3732713487,140,30.3,3732713493,213,3.7,3732713489,141,28.5,3732713485,56,Back,3732713491,212,25.1,,,,,,,5et3jsqqhg08ykfqgdniq8fhm,Y. Roemer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077273,4,1,1,0,3,cv5ftekuejf0ryxvd5h2my47r,1,34.5,32.2,2022-08-26T18:01:36.416Z,2022-08-26T18:01:37Z,3732713571,212,9.8,3732713567,140,36.8,3732713569,141,18.3,3732713565,56,Back,3732713573,213,5.0,,,,,,,,,,qgusrrldd48qxku8yna03ap5,K. de Boer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077285,5,1,1,0,5,cv5ftekuejf0ryxvd5h2my47r,1,37.5,14.7,2022-08-26T18:01:37.696Z,2022-08-26T18:01:39Z,3732713627,56,Back,3732713633,212,9.8,3732713635,213,1.0,3732713629,140,42.3,3732713631,141,27.0,,,,,,,,,,7i9hjqjogg1iowfo4fu5zpcyd,B. Koglin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077361,6,1,1,0,6,cv5ftekuejf0ryxvd5h2my47r,1,43.4,27.9,2022-08-26T18:01:39.264Z,2022-08-26T18:01:45Z,3732713987,1,,3732713981,141,25.8,3732713977,56,Center,3732713985,213,6.2,3732713979,140,81.1,3732713975,155,,3732713983,212,39.6,,,,qgusrrldd48qxku8yna03ap5,K. de Boer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077375,7,1,1,0,10,cv5ftekuejf0ryxvd5h2my47r,0,90.2,23.9,2022-08-26T18:01:42.696Z,2022-08-26T18:10:41Z,3732714089,286,,3732714085,233,3,3732714059,141,29.1,3732714055,56,Center,3732714063,213,1.5,3732714083,236,,3732714061,212,3.6,3732714057,140,90.6,d6rg9ntx9qa2eh8yiflbke1ux,N. Venema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451077357,3,74,1,0,10,dnzj0iv5qtaemm9kthh9pos8q,1,7.8,75.4,2022-08-26T18:01:42.697Z,2022-08-26T18:10:47Z,3732713961,285,,3732713959,56,Back,3732714091,233,7,,,,,,,,,,,,,,,,4zow18ykkg1gvw40r7jsrzkl,D. van der Sluys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
