id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist
2529857233,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-04-07T17:08:52.063Z,2023-04-07T18:00:00Z,4170243877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170243873,59,"39, 45, 4, 35, 5, 2, 11, 17, 42, 15, 26, 6, 7, 8, 9, 10, 14, 21, 28, 29, 30, 33, 34",4170243881,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170243879,194,8z4wdv767cv7ddqgrkz5txsrt,4170243875,130,8,4170243871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170243869,30,"a8fr8gzw2n7gyl4kb58xjtknp, 1hpmrfb0mbmevf9edj0o0bv56, 8z4wdv767cv7ddqgrkz5txsrt, eybrr6zz7x6d1ftc7u4vphn85, b1zeqxuwoyzx1eukf18ptdgq, 5dxleurgfe6483pe7qvyc00es, 5l4fkm9a0pvfi9qiy6gipf71m, b4a2wu8fdbrh5sirpv34hoewa, 9tru2a7pof2r37s8ro29uv3dh, dbku5mn74cqjzu7o91vzrlbtg, 12y6tmd1yr04c0ed2klslpwb9, 9knokmhy9zckjq0gv7txx9zsa, 4nz928h6p0nl8p161dxg55pn8, cp732f8tqz91xeahijtd35rd, b1yxo0olp9c2ufh1l1qxsef9x, bdpso3uk915bg1tr1d7s0p7je, 7a1f6wedz8jtcvn58d5pomm8k, 7fhe8ij85yc4gz6v3zuq62l05, 17oeipaq6y7pvs42fpx9oy9uy, d8dlbd0v4595gguzgy6xs5jl6, 7c58hgy3g9gntpuqf5w5hpvu2, 5n5otf2ldw9w4nbm8zjabnd1x, 9l5hp0tmizix8z6h5b5vqvhm1",4170347175,197,16592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529857971,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-04-07T17:11:21.845Z,2023-04-07T18:07:44Z,4170346963,197,536,4170248021,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4170248031,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4170248029,194,8r6dkzf3yjnvlz4go6xct0kid,4170248025,130,12,4170248019,30,"1ljgis575ujto4361ed15w0r9, 49vbyk5qvhihphrqfnmmz8woa, ma3my4q4wln06xyl1z3v9fmy, 7to5mb4x91kjhbd9tb0nqz74l, 8tepha2kd43sp9jtafxuf209h, 8r6dkzf3yjnvlz4go6xct0kid, 4qj88r9cjfbu05ly92vfhpi39, 2yivr64anye4c0p62m16l78yc, c9shc6t28oroqthopifjvg9ux, 3epda2hg43s8uxvf9xno74d4a, 85rm5s7x9di62hw3l31y5w8o9, cul6phe87idi5dn1hsfywxhwp, dsi2wezhn07auutl4wzckh6uh, 7f7zwd6c14rr59u9al3naenkl, 49xsd6e4oyjrhtwsdbdm4rj84, btm3mtkmwofz1dgcdsew1kmp5, 7797kpi7lkhc9dasfxuv9h7f9, 3apsq2r6q8lzdat7sy5h6tmqy, 3of6006vsu0udxkyhw65ga0pg, c9pmoa9m23jh5emy6w4olm3xm, 1s50ua48peo4wd0o7unmps06h, bgzkdepav40x6focwuaf9qxre, 6eccwl9cpgmq7pp6d90lbi6wa",4170248023,59,"21, 17, 5, 10, 4, 13, 8, 25, 9, 26, 16, 1, 44, 3, 6, 11, 14, 15, 18, 20, 23, 29, 36",4170248027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876867,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-04-07T18:02:10.611Z,2023-04-07T18:02:10Z,4170353043,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876879,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-04-07T18:02:10.611Z,2023-04-07T18:02:12Z,4170353067,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876907,3,1,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,49.9,49.7,2023-04-07T18:02:10.711Z,2023-04-07T18:02:14Z,4170353219,56,Back,4170353223,141,56.9,4170353227,213,2.9,4170353221,140,32.2,4170353225,212,19.2,4170353229,279,S,,,,,,,9tru2a7pof2r37s8ro29uv3dh,M. Bilate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876957,4,1,1,0,3,e8hiwrw6ocxm5iht6sp7jiv19,1,33.8,57.9,2023-04-07T18:02:14.159Z,2023-04-07T18:02:19Z,4170353525,212,30.4,4170353523,141,13.2,4170353527,213,4.7,4170353519,56,Back,4170353521,140,32.1,,,,,,,,,,eybrr6zz7x6d1ftc7u4vphn85,R. Kishna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529876987,5,1,1,0,8,e8hiwrw6ocxm5iht6sp7jiv19,1,32.2,12.9,2023-04-07T18:02:19.326Z,2023-04-07T18:02:22Z,4170353727,140,16.4,4170353733,213,2.7,4170353731,212,18.1,4170353725,56,Back,4170353729,141,23.4,,,,,,,,,,1hpmrfb0mbmevf9edj0o0bv56,Guillem Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877021,6,1,1,0,12,e8hiwrw6ocxm5iht6sp7jiv19,1,14.5,28.8,2023-04-07T18:02:22.782Z,2023-04-07T18:02:25Z,4170353905,140,2.1,4170353911,213,2.2,4170353909,212,21.4,4170353903,56,Back,4170353907,141,53.7,,,,,,,,,,b1zeqxuwoyzx1eukf18ptdgq,D. Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877045,7,1,1,0,14,e8hiwrw6ocxm5iht6sp7jiv19,1,3,56.4,2023-04-07T18:02:25.534Z,2023-04-07T18:02:28Z,4170354007,140,16.5,4170354013,213,1.0,4170354009,141,89.4,4170354011,212,26.5,4170354005,56,Back,,,,,,,,,,a8fr8gzw2n7gyl4kb58xjtknp,S. Stevens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529877057,8,1,1,0,18,e8hiwrw6ocxm5iht6sp7jiv19,0,17.5,92.9,2023-04-07T18:02:28.798Z,2023-04-07T18:02:32Z,4170354067,141,93.3,4170354063,56,Back,4170354245,286,,4170354065,140,19.3,4170354071,213,0.1,4170354069,212,1.9,4170354241,233,3,4170354237,236,,8z4wdv767cv7ddqgrkz5txsrt,B. Kemper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
