id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/12/value,qualifier/17/value,assist
2516552355,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-03-06T18:09:08.037Z,2023-03-06T19:16:40Z,4078884921,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078884919,30,"1ljgis575ujto4361ed15w0r9, dsi2wezhn07auutl4wzckh6uh, ma3my4q4wln06xyl1z3v9fmy, c9pmoa9m23jh5emy6w4olm3xm, 8r6dkzf3yjnvlz4go6xct0kid, 8tepha2kd43sp9jtafxuf209h, 4qj88r9cjfbu05ly92vfhpi39, 2yivr64anye4c0p62m16l78yc, c9shc6t28oroqthopifjvg9ux, bgzkdepav40x6focwuaf9qxre, 85rm5s7x9di62hw3l31y5w8o9, cul6phe87idi5dn1hsfywxhwp, 7f7zwd6c14rr59u9al3naenkl, bzsoq42nf6sgdh9oe64n7rnfu, 7to5mb4x91kjhbd9tb0nqz74l, btm3mtkmwofz1dgcdsew1kmp5, 7797kpi7lkhc9dasfxuv9h7f9, 3apsq2r6q8lzdat7sy5h6tmqy, 49vbyk5qvhihphrqfnmmz8woa, 1s50ua48peo4wd0o7unmps06h, 2wuprdfbbn9mo0paqr5tm7bop, 3epda2hg43s8uxvf9xno74d4a, 6eccwl9cpgmq7pp6d90lbi6wa",4078884927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078884929,194,8r6dkzf3yjnvlz4go6xct0kid,4078884925,130,12,4078884923,59,"21, 44, 5, 20, 13, 4, 8, 25, 9, 29, 16, 1, 3, 7, 10, 11, 14, 15, 17, 23, 27, 26, 36",4078957853,197,536,4078884931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516554143,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-03-06T18:15:00.069Z,2023-03-06T19:05:50Z,4078895369,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078895387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078895381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078895383,194,9wo8twcbs1jnqzdy0c6y8adey,4078895367,30,"ebqj8v33xv3otev2pycc6xomh, 2tu58roj0u0vpaqcaz266a415, ealh7n21gctxxw5ol3l3yxzze, ed5sclhs7op7a2mdvetub4dwq, 9wo8twcbs1jnqzdy0c6y8adey, c3mpk7pjhma4lwkjl8v5mhox6, 5nhideyjwp2347ryi1n9wfq50, 1s6yn52hlqtmmz4lerscf457u, d7ml58kwwpetvnw46qja9ru5m, c3akpx5mnexpkslo0sqqezsru, 2n5747kdxok0ifg5o37336plg, deb7ysp5fwiouttlarstuxgyc, enyk37znns1ie2djrh4y3uck4, ah3d8xugrx3pqaqxcmg06iyok, a6vduk9b8pcf250he49x1vitw, et56bifus2obkmtcwzhqpzxn8, 5q6qsh7qw0f9y754i3ylqfl04, 1kuswan9lk455u02x1ff389re, dodkgckgbecal0vivr1jf0hzo, 81lcssd0e5g5rerdpyjlrkkyc, cvobl9pqqtj7hrgtu28grvdre, btrg844mxkl6kbn89s7aecj8q",4078960041,197,2842,4078895373,59,"1, 2, 5, 6, 3, 14, 11, 8, 10, 7, 9, 16, 17, 23, 21, 31, 22, 24, 19, 15, 12, 18",4078895377,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516566397,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-03-06T19:03:05.502Z,2023-03-06T19:03:07Z,4078965851,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516566395,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-03-06T19:03:05.502Z,2023-03-06T19:03:21Z,4078965847,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516566443,3,1,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,50.2,50.1,2023-03-06T19:03:05.602Z,2023-03-06T19:53:05Z,4078966133,279,S,4078966127,141,36.4,4078966131,213,3.6,4078966123,56,Back,4078966125,140,32.0,4078966129,212,21.3,,,,,,,c9shc6t28oroqthopifjvg9ux,D. Vente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516591431,395,1,1,0,2,7rmv5ns2rj7bn4otpkur0mx0x,1,34.2,26.4,2023-03-06T19:03:07.502Z,2023-03-06T19:53:42Z,4079102107,141,31.5,4079102111,213,1.9,4079102105,140,32.9,4079102103,56,Back,4079102109,212,3.7,,,,,,,,,,8tepha2kd43sp9jtafxuf209h,G. Joppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516569009,63,1,1,0,3,7rmv5ns2rj7bn4otpkur0mx0x,0,36.6,39.4,2023-03-06T19:03:09.047Z,2023-03-06T19:53:59Z,4078981159,155,,4078981169,213,5.7,4078981161,56,Right,4078981167,212,49.2,4078981163,140,75.0,4078981165,141,0.0,4078981171,1,,,,,8r6dkzf3yjnvlz4go6xct0kid,N. Röseler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516566461,3,1,1,0,4,ch82doz9w9t1sw9ae3a4ffh0j,0,24.6,82.1,2023-03-06T19:03:09.997Z,2023-03-06T19:03:12Z,4078966239,141,95.1,4078966233,3,,4078966235,56,Back,4078966241,212,15.0,4078966243,213,0.6,4078966237,140,36.2,,,,,,,ealh7n21gctxxw5ol3l3yxzze,Y. Leliendal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516591509,396,61,1,0,10,7rmv5ns2rj7bn4otpkur0mx0x,0,61.4,6.5,2023-03-06T19:03:15.502Z,2023-03-06T19:54:04Z,4079102591,56,Right,,,,,,,,,,,,,,,,,,,,,,dsi2wezhn07auutl4wzckh6uh,B. Reith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516566541,4,5,1,0,11,ch82doz9w9t1sw9ae3a4ffh0j,1,25.8,101.6,2023-03-06T19:03:16.639Z,2023-03-06T19:08:00Z,4078981745,233,64,4078966691,347,,4078966689,56,Back,,,,,,,,,,,,,,,,ealh7n21gctxxw5ol3l3yxzze,Y. Leliendal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
