id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2490332135,1,34,16,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-12-11T12:29:52.871Z,2022-12-11T13:32:15Z,3940644457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940644451,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940644459,194,alimpjocr7xtxu21sumg3b2l1,3940799835,197,917,3940644461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940644449,30,"1du03mqsc0o6i4e64n7pzr6ui, 72d57i3mfqxtbsmm196kdv0fd, 5pg02unrm16jaa8vt5ego9z6y, aasoq3euk6e6zqhh08n0wocet, b3gyml6d5i3lqxsnh072nhuqd, 7i9hjqjogg1iowfo4fu5zpcyd, qgusrrldd48qxku8yna03ap5, 3p95pudljhqzrnegmko7z56uh, alimpjocr7xtxu21sumg3b2l1, a69sa0h7lgpmlav961cpejbe2, 40l3vtezw1ofwk2occi4z5w45, 3khifxt41tsdr25ea7w5n1mcq, 8qc6u3zsblb62it6519a4b6cp, d6rg9ntx9qa2eh8yiflbke1ux, 3jyb1qtjsf7li8zunui2qpq3u, zhnev5uetomme6rpisaa7wiy, e74wy7br5zhkds5s73ip0tg4, 4o1150mpv9nz55cwj9b0vblk9, 6xxqoump892rybgmvw743p4ic, 8z868vetpqyeatv2rtfwpsbje, dzet4aycjrqmpv1lzp9ekqzje, dhb6r3msmmayy7v0b1gb40445",3940644453,59,"1, 17, 5, 16, 4, 2, 8, 13, 9, 23, 7, 3, 6, 10, 11, 12, 14, 21, 24, 29, 30, 38",3940644455,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490341801,1,34,16,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-12-11T12:52:33.856Z,2022-12-11T13:31:43Z,3940696695,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940696689,130,8,3940696693,194,7d9x6ojih9obktxl3fnrjskk4,3940696687,59,"12, 21, 5, 31, 2, 4, 7, 8, 9, 16, 14, 1, 6, 11, 15, 17, 22, 23, 24, 28, 30",3940696683,30,"rgspixypiwxuenf1yaukrrop, eke044f5xni8gdztggk6x4a1h, gmu8p51rp6bjzs0bss5jupzo, 88m6s6m8ep0p3fropim4ttcoa, axbyqn4r430cilb6lbnzpbuvo, 7d9x6ojih9obktxl3fnrjskk4, 2kdavfzjymb8uhgjj3c97e2uh, epkss1rj7z6duqd3axbcm8l0q, 3usiruyhxf6p9lkiz5qeytze2, 2gwigr63tgo2jw460msz2qgwk, avv12sgcucblnbfb790xovf8, eog43l8hrs7pbza9bmwu0p2sq, 3y42dpjrp17dr2gzktbrmudbd, 6clycir6laxvycsr4yjh9iwa1, er8v2eo4vlak5ftjetqhinfv8, e4k6t8tld877pq2s0e1vo5p4a, 1dljhkcvmodqq9u1w8iv145m2, d2cynimupgko6ekp78iv3kxlg, 1b409f4dv852le376vbcjdmhg, 966zp0zv6513cnn3q2t6xvtyi, 50ecz4x9j0zfudh34l7f2ecr8",3940696685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940696691,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940799085,197,4032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360773,2,32,1,0,0,cv5ftekuejf0ryxvd5h2my47r,1,0,0,2022-12-11T13:33:35.452Z,2022-12-11T13:33:35Z,3940802579,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360783,2,32,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,0,0,2022-12-11T13:33:35.452Z,2022-12-11T13:33:38Z,3940802617,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360799,3,1,1,0,0,bqm1bnp1bh2apyudlz1o1whr3,1,50.4,49.9,2022-12-11T13:33:35.552Z,2022-12-11T13:55:41Z,3940802677,141,42.5,3940802683,279,S,3940802679,212,17.4,3940802673,56,Back,3940802675,140,34.5,3940802681,213,3.4,,,,,,,3usiruyhxf6p9lkiz5qeytze2,M. Remans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360847,4,1,1,0,3,bqm1bnp1bh2apyudlz1o1whr3,0,30.8,40.6,2022-12-11T13:33:39.397Z,2022-12-11T13:33:43Z,3940802897,141,90.5,3940802901,213,0.7,3940802891,155,,3940802899,212,51.1,3940802903,1,,3940802893,56,Left,3940802895,140,67.2,,,,axbyqn4r430cilb6lbnzpbuvo,R. Van Helden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360843,3,44,1,0,6,cv5ftekuejf0ryxvd5h2my47r,1,30.6,11.4,2022-12-11T13:33:41.933Z,2022-12-11T13:33:44Z,3940802987,233,5,3940802879,285,,3940802877,56,Back,,,,,,,,,,,,,,,,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360861,5,44,1,0,6,bqm1bnp1bh2apyudlz1o1whr3,0,69.4,88.6,2022-12-11T13:33:41.934Z,2022-12-11T13:33:44Z,3940803031,233,3,3940802949,286,,3940802945,56,Left,,,,,,,,,,,,,,,,avv12sgcucblnbfb790xovf8,R. van Bommel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360855,4,1,1,0,6,cv5ftekuejf0ryxvd5h2my47r,0,28.4,13.2,2022-12-11T13:33:42.236Z,2022-12-11T13:33:43Z,3940802913,3,,3940802915,56,Back,3940802923,213,6.1,3940802919,141,10.4,3940802921,212,12.4,3940802917,140,40.1,,,,,,,72d57i3mfqxtbsmm196kdv0fd,T. Dekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490360893,6,1,1,0,8,bqm1bnp1bh2apyudlz1o1whr3,0,59.6,90.8,2022-12-11T13:33:43.924Z,2022-12-11T13:34:49Z,3940803107,212,10.9,3940803099,3,,3940803105,141,87.8,3940803103,140,69.8,3940803109,213,6.1,3940803101,56,Left,,,,,,,gmu8p51rp6bjzs0bss5jupzo,L. Schenk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
