id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2476930975,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-10-24T17:24:42.280Z,2022-10-24T18:20:21Z,3870250941,197,16428,3870176883,130,13,3870176887,194,c78t1bgro2lh7gvw8rwi6p239,3870176885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870176877,30,"8l31bne12p5cp51o46h92zjrp, 88vryegnhss2q5xz8aoj2phey, da3d2iu2j4yb7q1ag063mu44q, 46oot98163lb6atyes4j0mup5, 1qqqigufis9zdf4mdqt6mgfl5, 476jyuzjm08o0d5g3t4nh1cyd, a49duk4f5m5zmyvwht0ikal05, m10ml783dkbr4i0fpb06cm3t, c78t1bgro2lh7gvw8rwi6p239, 7o8auo4uu5mzh7f4a44ucdf8q, 2pva2d9if0phol0efqnur68a2, ag4gnhbvomc0q9ohvkyroftas, 61wt62anweh75oguqg0vbozu2, 9tmi00hx820vuwghg30jhzidx, 5t2yht2zjn4g7otqpaer3ia22, e7vke1zwf6w6xvxtsi2b8f9m2, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, dh8jo5uq1oq0qv7gpu5rrbwx6, ajt9gf8zqsc3m6z4kof5m99ii, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq",3870176889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870176881,59,"1, 16, 27, 5, 4, 3, 12, 21, 9, 19, 10, 2, 6, 8, 11, 14, 18, 20, 23, 25, 28, 29",3870176879,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476932291,1,34,16,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-10-24T17:27:36.437Z,2022-10-24T18:01:58Z,3870184399,194,9v7zwguzazofzafwg3qevdo4q,3870184391,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3870184389,30,"b7owk879trwk2tu8ud574xq3u, 30uqa3kfm23ickjssfhmwgdm1, 4nchc9z4464uhu3vveo0p73f8, 3dx91sb6ktg8z1xmoti25kru, b1h2eiqxic31ioxbs1zjd709g, b4vrfh7z9qt9e5gdpkajrqolw, 4cegvsj3s6t0o1l5xap6jypuy, d29ahwtvs7ls75wdtkf7xr8tm, 19wuvqpmewphgvsfzi4yjl756, 9v7zwguzazofzafwg3qevdo4q, a3pwwwba6td400zwqjpbf6pnu, 7ug3a0z74dj7qlq4jbtn1kutw, 4oyjji4wqmuu3uia6htj0q1hw, 8o2iv0qhfft5pgzm75ckuo0es, 280wxf8wp6bjwgjwt9fy03nmy, 9lixevzo8exxiia17altfw8ic, 9nrajqcpld6bcowgarf1zr0iy, cs49ec8y6cubrlo5nmu3j3jtg",3870184395,130,8,3870250677,197,8653,3870184393,59,"1, 2, 5, 6, 3, 4, 7, 8, 9, 10, 11, 16, 20, 19, 17, 14, 15, 18",3870184397,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3870184401,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943813,2,32,1,0,0,1wyg1tunyt7go9tnjea1hjqxb,1,0,0,2022-10-24T18:01:34.443Z,2022-10-24T18:01:37Z,3870252707,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943811,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-10-24T18:01:34.443Z,2022-10-24T18:01:34Z,3870252705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943817,3,1,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,50.1,50.3,2022-10-24T18:01:34.543Z,2022-10-24T18:01:37Z,3870252729,213,3.6,3870252721,56,Back,3870252723,140,38.7,3870252725,141,40.6,3870252731,279,S,3870252727,212,13.7,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943831,4,1,1,0,2,zjawy6qdzk3y69v5pa3zl2cb,1,37.8,37.4,2022-10-24T18:01:37.265Z,2022-10-24T18:01:40Z,3870252779,140,24.2,3870252781,141,70.0,3870252783,212,26.4,3870252777,56,Back,3870252785,213,2.1,,,,,,,,,,a49duk4f5m5zmyvwht0ikal05,T. Overtoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943847,5,1,1,0,5,zjawy6qdzk3y69v5pa3zl2cb,1,24.6,70.3,2022-10-24T18:01:40.272Z,2022-10-24T18:01:43Z,3870252867,213,4.8,3870252859,56,Back,3870252861,140,26.2,3870252869,1,,3870252865,212,33.2,3870252863,141,21.6,,,,,,,46oot98163lb6atyes4j0mup5,D. Blackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943863,6,1,1,0,8,zjawy6qdzk3y69v5pa3zl2cb,1,27.7,19.1,2022-10-24T18:01:43.233Z,2022-10-24T18:01:45Z,3870252951,56,Back,3870252959,213,1.8,3870252953,140,23.7,3870252955,141,43.4,3870252957,212,17.0,,,,,,,,,,476jyuzjm08o0d5g3t4nh1cyd,M. Apau,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943875,7,1,1,0,10,zjawy6qdzk3y69v5pa3zl2cb,1,24.3,42.1,2022-10-24T18:01:45.201Z,2022-10-24T18:01:48Z,3870253021,140,25.3,3870253023,141,16.2,3870253019,56,Back,3870253027,213,4.8,3870253025,212,17.6,,,,,,,,,,1qqqigufis9zdf4mdqt6mgfl5,Ö. Aktaş,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476943907,8,1,1,0,13,zjawy6qdzk3y69v5pa3zl2cb,1,25.6,15.2,2022-10-24T18:01:48.209Z,2022-10-24T18:01:57Z,3870253191,140,22.4,3870253195,212,21.6,3870253189,56,Back,3870253197,213,1.7,3870253193,141,46.6,,,,,,,,,,46oot98163lb6atyes4j0mup5,D. Blackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
