id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2533130477,1,34,16,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-04-14T17:20:17.384Z,2023-04-14T18:14:29Z,4187657739,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187657745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187745217,194,ip62fljz9ng6sil4krcq8dm1,4187745219,197,486,4187657743,130,4,4187657737,30,"dmsmbn9a1qucwf100o3v77nbp, 4dk7h575fifmw2lhslevhmhux, e8si4ph9te020gpicg3k2k3u2, f2snk84xy67ergwrwoblgt2ad, akfbttkeqfd8pzhe93ra674kp, ip62fljz9ng6sil4krcq8dm1, sbxnlkg50itbqkpuh8wnwk45, arrbpgnwbguhyumc8c1u4jsut, azt0ll196snbxy38eqw7mtln9, bzf3k4wvqvx1tl1mx960wjv85, 6p6sdikmka45csxfw0i0q0l3p, afdwdm1rkz1ir3c0tukfh3jhm, 8loz5cz4zynb8plfusi3ewd79, bmbzc4jvazdiuddsbnceyauei, armxucjqaulvwfxyufovg3je1, 5r73kuy4vdv1epvmzrhb6nskq, 1jeb7li66vn913oub7t7l7x79, we5jzu2ad4z3wxaerwe6sdex, awokzor2tv5ro47ea34at1gx5, g2e3oq7zuglwqsf7vqcs055g, 80dk8iv6p0202z10qcqy8bfca, e5c8wtame01unosnz4zchwljo, 49zitlyt01houmqy6hk04x36y",4187657747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187657741,59,"1, 5, 12, 17, 4, 21, 15, 18, 33, 10, 29, 6, 7, 8, 19, 22, 23, 26, 28, 30, 32, 34, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533131741,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-04-14T17:24:43.028Z,2023-04-14T18:05:42Z,4187665085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4187665083,130,12,4187766619,197,536,4187665087,194,c9shc6t28oroqthopifjvg9ux,4187665079,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4187665081,59,"21, 17, 5, 10, 4, 23, 8, 25, 9, 26, 6, 1, 44, 3, 7, 11, 14, 15, 16, 18, 20, 29, 36",4187665077,30,"1ljgis575ujto4361ed15w0r9, 49vbyk5qvhihphrqfnmmz8woa, ma3my4q4wln06xyl1z3v9fmy, 7to5mb4x91kjhbd9tb0nqz74l, 8tepha2kd43sp9jtafxuf209h, 1s50ua48peo4wd0o7unmps06h, 4qj88r9cjfbu05ly92vfhpi39, 2yivr64anye4c0p62m16l78yc, c9shc6t28oroqthopifjvg9ux, 3epda2hg43s8uxvf9xno74d4a, 49xsd6e4oyjrhtwsdbdm4rj84, cul6phe87idi5dn1hsfywxhwp, dsi2wezhn07auutl4wzckh6uh, 7f7zwd6c14rr59u9al3naenkl, bzsoq42nf6sgdh9oe64n7rnfu, btm3mtkmwofz1dgcdsew1kmp5, 7797kpi7lkhc9dasfxuv9h7f9, 3apsq2r6q8lzdat7sy5h6tmqy, 85rm5s7x9di62hw3l31y5w8o9, 3of6006vsu0udxkyhw65ga0pg, c9pmoa9m23jh5emy6w4olm3xm, bgzkdepav40x6focwuaf9qxre, 6eccwl9cpgmq7pp6d90lbi6wa",4187665089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533147757,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-04-14T18:01:08.550Z,2023-04-14T18:01:11Z,4187748615,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533147751,2,32,1,0,0,dac758ef858jbq7pcb3gfwite,1,0,0,2023-04-14T18:01:08.550Z,2023-04-14T18:01:08Z,4187748589,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533147763,3,1,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,49.9,49.9,2023-04-14T18:01:08.650Z,2023-04-14T18:53:08Z,4187748625,140,32.8,4187748631,213,3.9,4187748623,56,Back,4187748633,279,S,4187748627,141,23.3,4187748629,212,25.5,,,,,,,c9shc6t28oroqthopifjvg9ux,D. Vente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533147781,4,1,1,0,3,7rmv5ns2rj7bn4otpkur0mx0x,1,34.2,23.3,2023-04-14T18:01:11.918Z,2023-04-14T18:01:12Z,4187748767,212,5.4,4187748765,141,29.8,4187748763,140,31.3,4187748761,56,Back,4187748769,213,2.2,,,,,,,,,,1s50ua48peo4wd0o7unmps06h,F. Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533147785,5,1,1,0,4,7rmv5ns2rj7bn4otpkur0mx0x,0,31.3,29.8,2023-04-14T18:01:12.830Z,2023-04-14T18:01:13Z,4187748791,140,39.1,4187748789,56,Back,4187748793,141,29.2,4187748795,212,8.2,4187748787,155,,4187748797,213,6.2,,,,,,,8tepha2kd43sp9jtafxuf209h,G. Joppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533147819,6,4,1,0,9,7rmv5ns2rj7bn4otpkur0mx0x,1,36.8,36.6,2023-04-14T18:01:17.893Z,2023-04-14T18:14:28Z,4187748973,10,,4187748975,56,Back,4187748979,286,,4187748977,152,,4187802203,233,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533147817,3,4,1,0,9,dac758ef858jbq7pcb3gfwite,0,63.2,63.4,2023-04-14T18:01:17.894Z,2023-04-14T18:51:50Z,4187748967,56,Center,4187802221,233,6,4187748965,10,,4187802163,285,,4187748969,152,,,,,,,,,,,sbxnlkg50itbqkpuh8wnwk45,L. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533147853,7,1,1,0,14,7rmv5ns2rj7bn4otpkur0mx0x,1,32.9,25.2,2023-04-14T18:01:23.095Z,2023-04-14T18:01:24Z,4187749125,152,,4187749131,141,42.8,4187749123,5,,4187749133,212,12.5,4187749127,56,Back,4187749129,140,29.4,4187749135,213,1.9,,,,1s50ua48peo4wd0o7unmps06h,F. Mayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
