id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/10/value,assist
2499583825,1,34,16,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-01-22T10:37:25.308Z,2023-01-22T11:30:52Z,3989570205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989618179,197,2842,3989570193,30,"790v7fu7f2s40e160mlrb6dt6, 84isfq4ix06ebaf7a7jcvd9wq, ealh7n21gctxxw5ol3l3yxzze, dodkgckgbecal0vivr1jf0hzo, c6i4usq34m3389rtbqptahrai, 1kuswan9lk455u02x1ff389re, ed5sclhs7op7a2mdvetub4dwq, c2d9oidweb7cj1g39jwuugro4, 2n5747kdxok0ifg5o37336plg, 8r3k1iuul274c0ha0vy90jys, c3akpx5mnexpkslo0sqqezsru, deb7ysp5fwiouttlarstuxgyc, enyk37znns1ie2djrh4y3uck4, asvxbmdd5j5tlz2fo1jpcrrx0, cnajg4djcd0enb5rsrluwzms4, ah3d8xugrx3pqaqxcmg06iyok, 4lsj3yc6adimhltkab6tzfj84, 5q6qsh7qw0f9y754i3ylqfl04, et56bifus2obkmtcwzhqpzxn8, 81lcssd0e5g5rerdpyjlrkkyc, cvobl9pqqtj7hrgtu28grvdre",3989570197,59,"1, 2, 5, 10, 3, 14, 6, 8, 9, 11, 7, 16, 21, 15, 24, 23, 19, 18, 31, 17, 12",3989570201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989570195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989570203,194,ed5sclhs7op7a2mdvetub4dwq,3989570199,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499584703,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-01-22T10:41:42.654Z,2023-01-22T11:15:39Z,3989575217,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3989575225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989618157,197,451,3989575223,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3989575221,130,4,3989575215,30,"axhjtqfa2xxud2tdle8zfxrkl, b1zeqxuwoyzx1eukf18ptdgq, dineetneurorxpx1yv0v8tega, b4a2wu8fdbrh5sirpv34hoewa, 5n5otf2ldw9w4nbm8zjabnd1x, 8z4wdv767cv7ddqgrkz5txsrt, cp732f8tqz91xeahijtd35rd, 7c58hgy3g9gntpuqf5w5hpvu2, b1yxo0olp9c2ufh1l1qxsef9x, 4nz928h6p0nl8p161dxg55pn8, 12y6tmd1yr04c0ed2klslpwb9, brpt79b4v36wx3kj3joyjjjkl, 9knokmhy9zckjq0gv7txx9zsa, bdpso3uk915bg1tr1d7s0p7je, 5l4fkm9a0pvfi9qiy6gipf71m, 7a1f6wedz8jtcvn58d5pomm8k, 17oeipaq6y7pvs42fpx9oy9uy, d8dlbd0v4595gguzgy6xs5jl6, 9l5hp0tmizix8z6h5b5vqvhm1, 9tru2a7pof2r37s8ro29uv3dh, 1hpmrfb0mbmevf9edj0o0bv56",3989575219,59,"23, 5, 24, 17, 33, 4, 8, 30, 9, 7, 26, 3, 6, 10, 11, 14, 28, 29, 34, 42, 45",3989618155,194,8z4wdv767cv7ddqgrkz5txsrt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499593353,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2023-01-22T11:16:25.391Z,2023-01-22T11:16:27Z,3989619645,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499593349,2,32,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,0,0,2023-01-22T11:16:25.391Z,2023-01-22T11:16:25Z,3989619623,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499593371,3,1,1,0,0,ch82doz9w9t1sw9ae3a4ffh0j,1,50.1,50.1,2023-01-22T11:16:25.491Z,2023-01-22T11:16:28Z,3989619765,279,S,3989619761,212,12.3,3989619763,213,3.1,3989619757,140,38.4,3989619759,141,51.2,3989619755,56,Back,,,,,,,c3akpx5mnexpkslo0sqqezsru,E. Reijnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499593405,4,1,1,0,2,ch82doz9w9t1sw9ae3a4ffh0j,1,36.3,60,2023-01-22T11:16:27.932Z,2023-01-22T11:16:32Z,3989619905,56,Back,3989619909,141,64.8,3989619907,140,25.6,3989619911,212,11.7,3989619913,213,2.9,,,,,,,,,,ed5sclhs7op7a2mdvetub4dwq,Y. Ikeshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499593421,5,1,1,0,7,ch82doz9w9t1sw9ae3a4ffh0j,1,28,60,2023-01-22T11:16:32.764Z,2023-01-22T11:16:35Z,3989619989,212,18.3,3989619983,56,Back,3989619985,140,27.6,3989619991,213,4.7,3989619987,141,33.1,,,,,,,,,,1kuswan9lk455u02x1ff389re,C. Mamengi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499593431,6,1,1,0,10,ch82doz9w9t1sw9ae3a4ffh0j,1,29.3,27.6,2023-01-22T11:16:35.756Z,2023-01-22T11:16:37Z,3989620035,141,43.0,3989620031,56,Back,3989620039,213,0.9,3989620033,140,36.7,3989620037,212,13.0,,,,,,,,,,c6i4usq34m3389rtbqptahrai,R. Meissen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499593441,7,1,1,0,11,ch82doz9w9t1sw9ae3a4ffh0j,1,35,48.5,2023-01-22T11:16:36.988Z,2023-01-22T11:16:38Z,3989620107,213,3.2,3989620101,140,23.8,3989620103,141,48.1,3989620099,56,Back,3989620105,212,11.8,,,,,,,,,,ed5sclhs7op7a2mdvetub4dwq,Y. Ikeshita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499593467,8,1,1,0,13,ch82doz9w9t1sw9ae3a4ffh0j,1,23,46.1,2023-01-22T11:16:38.859Z,2023-01-22T11:16:43Z,3989620281,213,4.7,3989620277,141,24.4,3989620273,56,Back,3989620279,212,14.8,3989620275,140,22.4,,,,,,,,,,1kuswan9lk455u02x1ff389re,C. Mamengi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
