id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2509750797,1,34,16,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-02-19T10:22:00.487Z,2023-02-19T11:12:45Z,4042970283,194,8r6dkzf3yjnvlz4go6xct0kid,4043038593,197,536,4042970267,30,"1ljgis575ujto4361ed15w0r9, dsi2wezhn07auutl4wzckh6uh, ma3my4q4wln06xyl1z3v9fmy, bgzkdepav40x6focwuaf9qxre, 8r6dkzf3yjnvlz4go6xct0kid, c9pmoa9m23jh5emy6w4olm3xm, 85rm5s7x9di62hw3l31y5w8o9, 49xsd6e4oyjrhtwsdbdm4rj84, c9shc6t28oroqthopifjvg9ux, 2yivr64anye4c0p62m16l78yc, bzsoq42nf6sgdh9oe64n7rnfu, cul6phe87idi5dn1hsfywxhwp, 7f7zwd6c14rr59u9al3naenkl, 8tepha2kd43sp9jtafxuf209h, 4qj88r9cjfbu05ly92vfhpi39, 7to5mb4x91kjhbd9tb0nqz74l, btm3mtkmwofz1dgcdsew1kmp5, 7797kpi7lkhc9dasfxuv9h7f9, 3apsq2r6q8lzdat7sy5h6tmqy, 49vbyk5qvhihphrqfnmmz8woa, 2wuprdfbbn9mo0paqr5tm7bop, 3epda2hg43s8uxvf9xno74d4a, 6eccwl9cpgmq7pp6d90lbi6wa",4042970271,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4042970275,59,"21, 44, 5, 29, 13, 20, 16, 6, 9, 25, 7, 1, 3, 4, 8, 10, 11, 14, 15, 17, 27, 26, 36",4042970279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4042970277,130,7,4042970285,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509751605,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-02-19T10:26:31.124Z,2023-02-19T11:19:31Z,4042976325,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4042976321,130,8,4042976315,30,"cf70r39m2wgbijtw0co5t6yfp, abgzge9xy445z8rdwa2mcapqt, 3yq9brnhlfinrzrfbzcv99nmd, 7flz5rsy2e31gbd8udiqg14gl, 969cpy2geokwer9gjapk7zj3e, 62ft9dfhds3wn0dv650d4gkph, 1j33nixshgkkdwjjnuafknahh, 7b4jmfu1ejoeci2zmvwuejnys, 3h7rkufywz6c2aye1l5b0ihp0, 5curv1gquatwkxsin86fghvkk, ds0hd4ezvb5rw6l95rhbxtq1g, 1chxk7d4i11x2f16igblexgyc, 1n0syrrxf9x7neh3tn19sc89h, cglskkkycbja9rjybhui9hdrd, 117h1l06g6f9osjp3pbb4tvro, 8eribncmewk65x40tn7pvqymt, 56i6rp74me1bdnqz1hzilzyfo, es1ohgwfiwq5f9mx2887zul90, g16sstb2lz1ru2hsba2ml6ju, vp0ugvtvnm7d72lyd3gsixhw, cipmd3k2nfv0ddic0l8go14gl, 8jm8a7w3a5b5nzikcom7cvf2s",4042981361,194,abgzge9xy445z8rdwa2mcapqt,4042976319,59,"1, 22, 28, 6, 20, 4, 11, 23, 17, 14, 33, 16, 21, 24, 25, 27, 29, 31, 32, 34, 35, 44",4042976317,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4042976323,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043040063,197,2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763737,2,32,1,0,0,7rmv5ns2rj7bn4otpkur0mx0x,1,0,0,2023-02-19T11:17:08.983Z,2023-02-19T11:17:09Z,4043047171,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763727,3,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2023-02-19T11:17:08.983Z,2023-02-19T11:17:09Z,4043047121,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763755,4,1,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,50.1,50.1,2023-02-19T11:17:09.083Z,2023-02-19T12:10:39Z,4043047251,212,22.1,4043047255,279,S,4043047245,56,Back,4043047253,213,3.1,4043047249,141,49.9,4043047247,140,29.1,,,,,,,5curv1gquatwkxsin86fghvkk,C. Neghli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763769,5,1,1,0,4,xcevba75jfkrg4s6tl89zl3y,0,29.9,50.6,2023-02-19T11:17:13.121Z,2023-02-19T11:17:16Z,4043047339,213,6.0,4043047333,140,72.2,4043047337,212,46.3,4043047331,56,Center,4043047335,141,31.6,4043047341,1,,4043047329,155,,,,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763793,3,1,1,0,8,7rmv5ns2rj7bn4otpkur0mx0x,0,19.7,77.8,2023-02-19T11:17:17.353Z,2023-02-19T11:17:32Z,4043047469,140,26.8,4043047467,56,Back,4043047475,213,0.9,4043047471,141,91.5,4043047473,212,11.9,4043047465,3,,,,,,,,c9pmoa9m23jh5emy6w4olm3xm,X. Lambrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763801,6,1,1,0,12,xcevba75jfkrg4s6tl89zl3y,0,88.6,9.1,2023-02-19T11:17:21.457Z,2023-02-19T11:18:25Z,4043047547,141,52.6,4043047543,56,Center,4043047549,212,30.5,4043047539,2,,4043047545,140,95.6,4043047551,213,1.3,4043047541,155,,,,,3h7rkufywz6c2aye1l5b0ihp0,D. Haen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763825,4,12,1,0,15,7rmv5ns2rj7bn4otpkur0mx0x,1,4.8,56.1,2023-02-19T11:17:24.517Z,2023-02-19T11:17:28Z,4043047635,141,100.0,4043047631,56,Back,4043047633,140,15.2,4043047639,213,1.2,4043047637,212,32.8,4043047721,15,,4043047685,167,,,,,8r6dkzf3yjnvlz4go6xct0kid,N. Röseler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509763829,5,5,1,0,17,7rmv5ns2rj7bn4otpkur0mx0x,0,15.4,101.3,2023-02-19T11:17:26.715Z,2023-02-19T11:23:32Z,4043058151,233,63,4043047647,56,Back,4043047649,347,,,,,,,,,,,,,,,,,8r6dkzf3yjnvlz4go6xct0kid,N. Röseler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
