id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/8/value,assist,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value
2497615117,1,34,16,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-01-15T10:35:16.918Z,2023-01-15T11:26:13Z,3979194159,194,8cox96ikk1k4c24f0y5ef45x,3979194161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979194149,30,"etvamcwttnlg4sfxfulgzm7yt, e42jh6bbwn4aybdnysonrvutx, ewnmiv6ew1d5cnuul715x4dzp, 7isjog4r71ahzypnhq3ki9xp1, 75o7fx1uwk6pavxbnqqx28y51, 8cox96ikk1k4c24f0y5ef45x, 7dw3mexdcnel375y16vfl0g2y, 88csh50wwpanzfdvu7ia3x1ih, bw7s1zgz97p8szhn4shwkx2w9, 47autoxmcbr5z7o6d8998esph, 9najgqcaamqj0qtiicuq9hey, 9hz7j1p4f0d2hxyz2bdkbyk0l, 1l34qvjvar8qec3kbrg4rew2d, 5i0e7e59vav8ynqzt7qrvitt6, amasl6wz90pv9kkbx3kihj7bp, 35uvcvkv4nd0jbsov3xosjsut, ckx9rplhgmncmcxs0a1z7n6qd, 8dnmp33ergo6zwzb6ubiyvl6, eimwdeabp96ttxf8zywuiu8ve, 39f4hnokkp81ucrkx5bo5sjdg, f4rb3nes422yxsznjzwx0kwlw, 1g092dgjsahqacxxzf5f20wh6",3979194153,59,"1, 13, 25, 4, 10, 6, 32, 11, 7, 23, 16, 3, 8, 9, 14, 18, 21, 24, 27, 36, 42, 44",3979194157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979246021,197,1504,3979194155,130,10,3979194151,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497618033,1,34,16,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-01-15T10:44:49.778Z,2023-01-15T11:13:36Z,3979207739,130,8,3979207743,194,6ylzm57bvpufg3cenadtv7qhh,3979207741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979207735,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979207733,30,"6q72mpmc478hlf4f7ths9ez56, dolfy51fw3jycb0cfhoecbo16, c46xp363o8m76eswzfmlsel4a, d1dq7upxtawnps3wljz6wf9jo, 6ylzm57bvpufg3cenadtv7qhh, 9jofs3271wn4cwlkj9hfay7vu, 14csdlb8p0tnj6zqrs148ct1w, a49001euf7xwpx5wodembjbo5, bs14utcyx2am6s46cuv52nf56, dmtsvsqvdoqqtmrset0uz0and, ebnm8xj9pggemio5qay9pcc0l, cx3fqj7odbuc6i0kppcie4jmy, ab8p14hbfeph28j3ig36nzob9, bdtti3sckhcppilsisgu7well, 48sqqhgtmfmpqb3602iirspd6, 2c8alz6gmphvy6aqpgykva0yy, 9vu68zcajmrqmkkchmpdrebu2, 88e3xx835uqx9x850y6u0dbai, 5b7rnpnnllz8qdc6fx2c5mzje, 9o41me3111mj3zl4lxqqhvod0, a59aos4xq3vklv2joqa09axre, evz953s9rvki1w9c3hsljss7p",3979207737,59,"1, 20, 5, 28, 4, 22, 39, 18, 9, 14, 7, 3, 6, 11, 17, 19, 26, 35, 36, 38, 46, 40",3979249029,197,16350,3979207745,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497627477,2,32,1,0,0,bk5ltsueqmeng29eovd8m2tml,1,0,0,2023-01-15T11:16:59.359Z,2023-01-15T11:17:00Z,3979255859,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497627473,2,32,1,0,0,1fttb31hnskynpku8qd09yhm8,1,0,0,2023-01-15T11:16:59.359Z,2023-01-15T11:16:59Z,3979255845,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497627499,3,1,1,0,0,1fttb31hnskynpku8qd09yhm8,1,50,50.3,2023-01-15T11:16:59.459Z,2023-01-15T12:11:22Z,3979255975,141,38.0,3979255981,279,S,3979255979,213,5.6,3979255971,56,Center,3979255973,140,59.8,3979255977,212,13.3,,,,,,,bs14utcyx2am6s46cuv52nf56,J. Hilterman,,,,,,,,,,,,,,,,,,,,,,,,,,
2497627511,4,1,1,0,4,1fttb31hnskynpku8qd09yhm8,1,51.7,46.1,2023-01-15T11:17:03.469Z,2023-01-15T12:06:14Z,3979256049,141,39.1,3979256045,56,Back,3979256047,140,24.9,3979256051,212,28.5,3979256053,213,3.3,,,,,,,,,,dmtsvsqvdoqqtmrset0uz0and,Pascu,,,,,,,,,,,,,,,,,,,,,,,,,,
2497627535,5,1,1,0,6,1fttb31hnskynpku8qd09yhm8,1,26,37,2023-01-15T11:17:05.501Z,2023-01-15T11:17:09Z,3979256169,213,5.1,3979256167,212,19.9,3979256163,140,34.0,3979256165,141,10.4,3979256161,56,Back,,,,,,,,,,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,,,,,,,,,,,,,,,,,,,,,,,,
2497627551,6,1,1,0,10,1fttb31hnskynpku8qd09yhm8,1,32,10,2023-01-15T11:17:10.285Z,2023-01-15T11:17:11Z,3979256267,213,2.3,3979256263,141,37.7,3979256261,140,14.7,3979256259,56,Back,3979256265,212,26.2,,,,,,,,,,dolfy51fw3jycb0cfhoecbo16,H. Akujobi,,,,,,,,,,,,,,,,,,,,,,,,,,
2497627579,7,1,1,0,11,1fttb31hnskynpku8qd09yhm8,1,14.7,37.7,2023-01-15T11:17:11.261Z,2023-01-15T11:17:16Z,3979256433,213,1.3,3979256429,141,76.1,3979256425,56,Back,3979256431,212,27.3,3979256427,140,22.4,,,,,,,,,,6ylzm57bvpufg3cenadtv7qhh,D. van Bruggen,,,,,,,,,,,,,,,,,,,,,,,,,,
2497627593,8,1,1,0,16,1fttb31hnskynpku8qd09yhm8,1,23.5,72.2,2023-01-15T11:17:15.933Z,2023-01-15T11:17:18Z,3979256495,140,19.5,3979256501,213,4.5,3979256493,56,Back,3979256497,141,37.1,3979256499,212,24.2,,,,,,,,,,9jofs3271wn4cwlkj9hfay7vu,T. Barbet,,,,,,,,,,,,,,,,,,,,,,,,,,
