id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/16/value
2481337853,1,34,16,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-11-04T18:05:46.345Z,2022-11-04T19:06:17Z,3893445529,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3893445527,30,"8jml2tgzk1am30cy4gkgx0wd1, bdb33nwcpd2jufn9ggtl7gvzd, 7oo6h3pq8wv5rgp1dkaolrhg4, 89plvrt8pzppcclh4axvii0ru, d5g7rl9a83vu3cyyzvu5yveqy, 4mhahoh3a6rir882ug9hdb5nu, 3xza88l7s8dlki9kleqwz2puy, 5gunbyh0bjzutryox97ihxot1, 2an4s7uuqa9a6sl7vutznc7o5, 5v3sd56kh9pmvzk6wczhs9o4q, f48jetdaq8dttcdo11mugaxnt, 6djx23ctpkopwbtavfr8ov8id, 4j9ug0ng9dhx6xwhdwx6fafx0, 6nd0ifv6ljza9nauxcpejqzft, ekur9x1kzp8wq0lwfwev0b0bu, 36u3tovqdi3885wk3139wczfu, 41es2x265ddlzqjqa6wb9vey2, emaf4mjxn2255qlcn1pcxn36x, cg6es3riwivh8kbgtmi72q0ut, 9urh0cy0a8ni61fuxmiqosnis, 8gkh6rsfo2tsrsiirv05bm1yi",3893445537,194,89plvrt8pzppcclh4axvii0ru,3893445531,59,"1, 2, 25, 6, 3, 24, 18, 16, 9, 17, 27, 7, 8, 10, 11, 12, 14, 19, 22, 23, 36",3893445539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893445535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893445533,130,4,3893560743,197,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481338573,1,34,16,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-11-04T18:07:53.384Z,2022-11-04T19:07:33Z,3893449169,59,"1, 27, 16, 5, 4, 3, 12, 21, 10, 19, 6, 7, 8, 11, 14, 18, 20, 23, 25, 28, 29",3893449167,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3893564731,197,16428,3893449173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893449175,194,61wt62anweh75oguqg0vbozu2,3893449171,130,12,3893449177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3893449165,30,"8l31bne12p5cp51o46h92zjrp, da3d2iu2j4yb7q1ag063mu44q, 88vryegnhss2q5xz8aoj2phey, 46oot98163lb6atyes4j0mup5, 1qqqigufis9zdf4mdqt6mgfl5, 476jyuzjm08o0d5g3t4nh1cyd, a49duk4f5m5zmyvwht0ikal05, m10ml783dkbr4i0fpb06cm3t, 2pva2d9if0phol0efqnur68a2, 7o8auo4uu5mzh7f4a44ucdf8q, 61wt62anweh75oguqg0vbozu2, 4j7mtyvi7jg9e4ontiyt9vwbu, 9tmi00hx820vuwghg30jhzidx, 5t2yht2zjn4g7otqpaer3ia22, e7vke1zwf6w6xvxtsi2b8f9m2, 9jx0oun9o3zqncgu9axt2qxka, 53c63f5ekinmj6bquc3rbsbxm, dh8jo5uq1oq0qv7gpu5rrbwx6, ajt9gf8zqsc3m6z4kof5m99ii, 9fb368ot1vtjx63e4l4y0ss9g, adp5a6klr2nygqjmdd1ekc8kq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361129,2,32,1,0,0,59t7flioj4w4mpwnrwbm0m8ck,1,0,0,2022-11-04T19:03:07.169Z,2022-11-04T19:03:09Z,3893565661,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361121,2,32,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,0,0,2022-11-04T19:03:07.169Z,2022-11-04T19:03:07Z,3893565643,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361171,3,1,1,0,0,zjawy6qdzk3y69v5pa3zl2cb,1,50,50,2022-11-04T19:03:07.269Z,2022-11-04T19:52:52Z,3893565855,212,11.8,3893565849,56,Back,3893565853,141,54.3,3893565857,213,2.9,3893565851,140,39.1,3893565859,279,S,,,,,,,7o8auo4uu5mzh7f4a44ucdf8q,D. Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361199,4,1,1,0,2,zjawy6qdzk3y69v5pa3zl2cb,1,39.3,51.2,2022-11-04T19:03:09.598Z,2022-11-04T19:03:12Z,3893566051,213,4.1,3893566043,56,Back,3893566045,140,25.7,3893566049,212,24.1,3893566047,141,22.7,,,,,,,,,,a49duk4f5m5zmyvwht0ikal05,T. Overtoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361225,5,1,1,0,5,zjawy6qdzk3y69v5pa3zl2cb,1,25.7,23.3,2022-11-04T19:03:12.893Z,2022-11-04T19:51:48Z,3893566163,56,Back,3893566165,140,8.0,3893566171,213,2.4,3893566169,212,25.4,3893566167,141,48.7,,,,,,,,,,476jyuzjm08o0d5g3t4nh1cyd,M. Apau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361263,6,1,1,0,9,zjawy6qdzk3y69v5pa3zl2cb,0,8,48.7,2022-11-04T19:03:16.399Z,2022-11-04T19:51:49Z,3893566385,56,Center,3893566383,157,,3893566391,212,60.9,3893566387,140,65.8,3893566395,1,,3893566393,213,6.2,3893566389,141,41.8,,,,8l31bne12p5cp51o46h92zjrp,R. Koeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361297,3,1,1,0,10,59t7flioj4w4mpwnrwbm0m8ck,1,39.1,67.3,2022-11-04T19:03:17.822Z,2022-11-04T19:53:05Z,3893566573,213,5.6,3893566569,141,46.1,3893566565,140,54.7,3893566563,56,Center,3893566571,212,21.8,3893566559,3,,,,,,,,4mhahoh3a6rir882ug9hdb5nu,T. Velthuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361303,4,49,1,0,13,59t7flioj4w4mpwnrwbm0m8ck,1,54.7,46.1,2022-11-04T19:03:20.219Z,2022-11-04T19:03:20Z,,,,,,,,,,,,,,,,,,,,,,,,,5v3sd56kh9pmvzk6wczhs9o4q,V. Kotzebue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
