id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/15/value
2475042921,1,34,16,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-10-21T17:03:09.734Z,2022-10-21T18:05:46Z,3860182217,194,b1yxo0olp9c2ufh1l1qxsef9x,3860182215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860182209,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3860290903,197,451,3860182207,30,"4xjwsmhvtnq3f2bgyd4mjqq96, 1hpmrfb0mbmevf9edj0o0bv56, dineetneurorxpx1yv0v8tega, 7fhe8ij85yc4gz6v3zuq62l05, 5dxleurgfe6483pe7qvyc00es, f49vqdy6topqx2b3ku5cixd2i, 9l5hp0tmizix8z6h5b5vqvhm1, cp732f8tqz91xeahijtd35rd, b1yxo0olp9c2ufh1l1qxsef9x, 9knokmhy9zckjq0gv7txx9zsa, 4nz928h6p0nl8p161dxg55pn8, bdpso3uk915bg1tr1d7s0p7je, 5l4fkm9a0pvfi9qiy6gipf71m, 7a1f6wedz8jtcvn58d5pomm8k, b4a2wu8fdbrh5sirpv34hoewa, axhjtqfa2xxud2tdle8zfxrkl, 9oajgqqc9gkgbcz090it0tlhw, 408icqrc0uwh4ln5e3xl7fbe2, d8dlbd0v4595gguzgy6xs5jl6, 7c58hgy3g9gntpuqf5w5hpvu2, 5n5otf2ldw9w4nbm8zjabnd1x, eybrr6zz7x6d1ftc7u4vphn85, 9tru2a7pof2r37s8ro29uv3dh",3860182211,59,"1, 45, 24, 21, 2, 20, 34, 8, 9, 6, 7, 10, 11, 14, 17, 23, 25, 26, 29, 30, 33, 35, 42",3860182219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860182213,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475044259,1,34,16,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-10-21T17:06:25.988Z,2022-10-21T18:00:07Z,3860189291,30,"cf70r39m2wgbijtw0co5t6yfp, 8eribncmewk65x40tn7pvqymt, 3yq9brnhlfinrzrfbzcv99nmd, 7b4jmfu1ejoeci2zmvwuejnys, abgzge9xy445z8rdwa2mcapqt, 969cpy2geokwer9gjapk7zj3e, 5curv1gquatwkxsin86fghvkk, 1n0syrrxf9x7neh3tn19sc89h, 11sxalz1nikiipmp7bxvz33rp, 440ry78r7c0ntspgph192c0r9, ds0hd4ezvb5rw6l95rhbxtq1g, 92mkw4rtoho0gkf3wr19c9iad, 62ft9dfhds3wn0dv650d4gkph, 78t5clx87mnpzn7c5ynoa37x1, 7flz5rsy2e31gbd8udiqg14gl, 3y7w3ngh3kby9mehxe5q7glpl, 85rm5s7x9di62hw3l31y5w8o9, 1chxk7d4i11x2f16igblexgyc, 3h7rkufywz6c2aye1l5b0ihp0, 96j7klvrblmkwsprx0wk81b10, cglskkkycbja9rjybhui9hdrd, g16sstb2lz1ru2hsba2ml6ju, cipmd3k2nfv0ddic0l8go14gl",3860189299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860288791,197,2125,3860189293,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3860189303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3860189301,194,440ry78r7c0ntspgph192c0r9,3860189297,130,8,3860189295,59,"1, 27, 28, 23, 22, 20, 14, 21, 9, 10, 33, 3, 4, 5, 6, 7, 8, 16, 17, 18, 24, 32, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064257,2,32,1,0,0,e8hiwrw6ocxm5iht6sp7jiv19,1,0,0,2022-10-21T18:02:21.429Z,2022-10-21T18:02:22Z,3860291433,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064255,2,32,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,0,0,2022-10-21T18:02:21.429Z,2022-10-21T18:02:21Z,3860291427,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064269,3,1,1,0,0,xcevba75jfkrg4s6tl89zl3y,1,50,50,2022-10-21T18:02:21.529Z,2022-10-21T18:02:30Z,3860291451,56,Back,3860291459,213,2.9,3860291453,140,26.1,3860291461,279,S,3860291457,212,25.9,3860291455,141,59.3,,,,,,,1n0syrrxf9x7neh3tn19sc89h,J. Valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064301,4,1,1,0,3,xcevba75jfkrg4s6tl89zl3y,0,26.7,60.5,2022-10-21T18:02:25.037Z,2022-10-21T18:02:27Z,3860291555,56,Center,3860291557,140,81.6,3860291563,213,5.9,3860291561,212,63.0,3860291565,1,,3860291559,141,23.1,3860291553,155,,,,,969cpy2geokwer9gjapk7zj3e,R. Hillen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064325,3,1,1,0,7,e8hiwrw6ocxm5iht6sp7jiv19,0,23.8,72.1,2022-10-21T18:02:28.598Z,2022-10-21T18:02:29Z,3860291667,141,91.7,3860291665,140,43.4,3860291669,212,24.5,3860291663,56,Back,3860291671,213,0.6,3860291661,3,,,,,,,,f49vqdy6topqx2b3ku5cixd2i,G. Siereveld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064357,5,1,1,0,7,xcevba75jfkrg4s6tl89zl3y,0,55.2,7.3,2022-10-21T18:02:29.357Z,2022-10-21T18:07:37Z,3860291831,3,,3860291839,212,25.5,3860291833,56,Right,3860291837,141,2.5,3860291835,140,79.3,3860291841,213,6.2,,,,,,,8eribncmewk65x40tn7pvqymt,R. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475064367,4,1,1,0,12,e8hiwrw6ocxm5iht6sp7jiv19,0,22.2,93,2022-10-21T18:02:33.693Z,2022-10-21T18:06:59Z,3860291885,56,Back,3860292365,286,,3860292359,236,,3860291893,213,6.0,3860292361,233,6,3860292345,1,,3860291887,140,24.2,3860291889,141,92.1,dineetneurorxpx1yv0v8tega,A. Absalem,3860292343,157,3860291891,212,2.2,,,,,,,,,,,,,,,,,,,,,,,,
2475064359,6,74,1,0,12,xcevba75jfkrg4s6tl89zl3y,1,79.2,2.8,2022-10-21T18:02:33.694Z,2022-10-21T18:07:42Z,3860291849,56,Right,3860291851,285,,3860291935,233,4,,,,,,,,,,,,,,,,5curv1gquatwkxsin86fghvkk,C. Neghli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
